Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,27328,37897,38680,35885,33207,32789,32986,34698,32756,34738,33889,36835,36442,,,,,,,,
Quarterly Results,Expenses,23064,33350,36777,35403,32651,30128,29405,30490,28908,29948,29952,33665,32907,,,,,,,,
Quarterly Results,Operating Profit,4264,4547,1904,482,556,2660,3580,4208,3849,4790,3937,3169,3535,,,,,,,,
Quarterly Results,OPM %,16%,12%,5%,1%,2%,8%,11%,12%,12%,14%,12%,9%,10%,,,,,,,,
Quarterly Results,Other Income,788,419,548,999,871,529,595,915,651,685,643,3211,672,,,,,,,,
Quarterly Results,Interest,57,58,82,120,107,185,200,176,159,209,188,169,182,,,,,,,,
Quarterly Results,Depreciation,619,677,695,699,631,722,837,872,1241,1152,922,939,786,,,,,,,,
Quarterly Results,Profit before tax,4375,4230,1675,662,689,2283,3138,4075,3099,4114,3470,5272,3240,,,,,,,,
Quarterly Results,Tax %,21%,23%,22%,40%,7%,21%,22%,22%,20%,23%,22%,23%,23%,,,,,,,,
Quarterly Results,Net Profit,3474,3251,1305,398,643,1793,2442,3193,2474,3183,2690,4084,2506,,,,,,,,
Quarterly Results,EPS in Rs,5.19,4.95,2.00,0.63,0.96,2.73,3.72,4.86,3.75,4.84,4.10,6.21,3.79,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,92770,,,,145668,,,,133228,,,,141903,61765,60557,52053,48552,54496,76190,72518,57372
Profit & Loss,Expenses,77608,,,,138168,,,,118914,,,,126472,53777,54926,47517,42531,46695,66252,63495,50127
Profit & Loss,Operating Profit,15161,,,,7500,,,,14314,,,,15432,7988,5631,4536,6021,7802,9938,9022,7245
Profit & Loss,OPM %,16%,,,,5%,,,,11%,,,,11%,13%,9%,9%,12%,14%,13%,12%,13%
Profit & Loss,Other Income,2925,,,,2822,,,,2672,,,,5211,1247,945,731,1212,948,1719,3796,2833
Profit & Loss,Interest,202,,,,365,,,,719,,,,748,669,652,822,509,295,159,309,179
Profit & Loss,Depreciation,2420,,,,2702,,,,3672,,,,3799,1644,1433,1496,1541,1527,1667,2080,2174
Profit & Loss,Profit before tax,15464,,,,7256,,,,12595,,,,16096,6922,4492,2949,5183,6928,9831,10429,7725
Profit & Loss,Tax %,20%,,,,23%,,,,21%,,,,23%,32%,32%,37%,35%,31%,33%,9%,20%
