Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2025,Mar 2021
Quarterly Results,Sales,0.33,1.13,3.46,2.18,3.61,1.87,1.91,1.49,2.20,1.64,3.32,3.86,4.84,,,,,,,,,,
Quarterly Results,Expenses,2.49,2.50,3.32,1.70,2.42,1.32,1.34,0.90,1.44,0.96,2.59,2.07,2.10,,,,,,,,,,
Quarterly Results,Operating Profit,-2.16,-1.37,0.14,0.48,1.19,0.55,0.57,0.59,0.76,0.68,0.73,1.79,2.74,,,,,,,,,,
Quarterly Results,OPM %,-654.55%,-121.24%,4.05%,22.02%,32.96%,29.41%,29.84%,39.60%,34.55%,41.46%,21.99%,46.37%,56.61%,,,,,,,,,,
Quarterly Results,Other Income,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.00,0.02,0.01,0.01,0.28,0.63,,,,,,,,,,
Quarterly Results,Interest,0.01,0.00,0.15,0.16,0.75,0.13,0.12,0.12,0.26,0.16,0.15,0.00,0.00,,,,,,,,,,
Quarterly Results,Depreciation,0.20,0.17,0.18,0.18,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.39,0.73,,,,,,,,,,
Quarterly Results,Profit before tax,-2.34,-1.53,-0.16,0.15,0.27,0.24,0.28,0.29,0.33,0.36,0.42,1.68,2.64,,,,,,,,,,
Quarterly Results,Tax %,0.43%,0.00%,0.00%,0.00%,3.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.17%,33.71%,,,,,,,,,,
Quarterly Results,Net Profit,-2.35,-1.53,-0.16,0.15,0.26,0.23,0.28,0.30,0.33,0.35,0.41,1.61,1.75,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.03,-0.02,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2.11,,,,10.39,,,,7.47,,,,13.66,37.66,24.03,74.28,195.29,385.56,233.33,157.73,16.82,,
Profit & Loss,Expenses,13.55,,,,9.85,,,,5.00,,,,7.72,26.86,16.72,53.51,113.11,293.13,221.88,180.62,23.36,,
Profit & Loss,Operating Profit,-11.44,,,,0.54,,,,2.47,,,,5.94,10.80,7.31,20.77,82.18,92.43,11.45,-22.89,-6.54,,
Profit & Loss,OPM %,-542.18%,,,,5.20%,,,,33.07%,,,,43.48%,28.68%,30.42%,27.96%,42.08%,23.97%,4.91%,-14.51%,-38.88%,,
Profit & Loss,Other Income,4.50,,,,0.06,,,,0.04,,,,0.92,0.23,-5.12,0.40,0.15,0.13,0.00,-16.57,0.05,,
Profit & Loss,Interest,0.61,,,,1.06,,,,0.63,,,,0.31,0.13,0.00,0.00,0.17,0.18,0.99,0.46,0.00,,
Profit & Loss,Depreciation,0.47,,,,0.70,,,,0.74,,,,1.47,3.03,3.21,4.76,15.45,28.13,28.80,12.94,2.99,,
Profit & Loss,Profit before tax,-8.02,,,,-1.16,,,,1.14,,,,5.08,7.87,-1.02,16.41,66.71,64.25,-18.34,-52.86,-9.48,,
Profit & Loss,Tax %,0.12%,,,,0.86%,,,,0.88%,,,,18.70%,-3.05%,-85.29%,11.46%,0.52%,25.40%,-11.45%,-1.32%,-6.22%,,
Profit & Loss,Net Profit,-8.04,,,,-1.18,,,,1.13,,,,4.12,8.10,-0.15,14.53,66.35,47.94,-50.41,-61.42,-8.88,,
Profit & Loss,EPS in Rs,-0.09,,,,-0.01,,,,0.01,,,,0.04,0.10,-0.00,0.16,0.72,0.36,-0.57,-0.66,-0.10,,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,28.63,,,,28.71,,,,39.94,,,,79.88,20.65,21.00,22.81,22.81,28.63,28.63,28.63,28.63,,
Balance Sheet,Reserves,-34.61,,,,-35.32,,,,-32.81,,,,-30.23,2.25,3.39,49.52,118.42,136.22,42.26,-18.17,-25.57,,
Balance Sheet,Borrowings,16.74,,,,17.20,,,,8.85,,,,0.00,0.00,0.00,2.92,1.15,17.17,107.68,2.33,1.31,,
Balance Sheet,Other Liabilities,1.51,,,,2.48,,,,2.46,,,,16.71,5.16,13.63,4.98,12.10,103.12,29.02,22.92,1.49,,
Balance Sheet,Total Liabilities,12.27,,,,13.07,,,,18.44,,,,66.36,28.06,38.02,80.23,154.48,285.14,207.59,35.71,5.86,,
Balance Sheet,Fixed Assets,2.17,,,,1.83,,,,1.09,,,,18.23,13.76,11.47,41.35,92.10,101.86,41.35,6.59,0.57,,
Balance Sheet,CWIP,0.00,,,,0.00,,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Balance Sheet,Investments,0.00,,,,0.00,,,,0.00,,,,6.80,0.00,0.00,3.13,0.18,5.14,15.29,4.45,0.00,,
Balance Sheet,Other Assets,10.10,,,,11.24,,,,17.35,,,,41.33,14.30,26.55,35.75,62.20,178.14,150.95,24.67,5.29,,
Balance Sheet,Total Assets,12.27,,,,13.07,,,,18.44,,,,66.36,28.06,38.02,80.23,154.48,285.14,207.59,35.71,5.86,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-10.32,,,,0.35,,,,-3.45,,,,-4.58,3.97,4.93,9.35,59.10,48.23,8.63,11.25,-3.99,,
Cash Flows,Cash from Investing Activity,-2.06,,,,-0.32,,,,0.03,,,,-24.85,-3.89,-6.79,-37.65,-62.09,-44.16,-24.10,-1.26,3.17,,
Cash Flows,Cash from Financing Activity,12.29,,,,-0.05,,,,3.62,,,,29.23,-0.12,1.71,36.17,-1.80,16.41,89.68,-105.79,-1.02,,
