Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,
Quarterly Results,Expenses,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,
Quarterly Results,OPM %,,,,,,,,
Quarterly Results,Other Income,,,,,,,,
Quarterly Results,Interest,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,
Quarterly Results,Tax %,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,
,,,,,,,,,
Profit & Loss,Sales,,,,,,,,
Profit & Loss,Expenses,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,
Profit & Loss,OPM %,,,,,,,,
Profit & Loss,Other Income,,,,,,,,
Profit & Loss,Interest,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,
Profit & Loss,Tax %,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,
,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,
Balance Sheet,Reserves,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,
Balance Sheet,CWIP,,,,,,,,
Balance Sheet,Investments,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,
,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,
,,,,,,,,,
Ratios,Debtor Days,,,,,,,,
Ratios,Inventory Days,,,,,,,,
Ratios,Days Payable,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,
Ratios,Working Capital Days,,,,,,,,
Ratios,ROCE %,,,,,,,,
,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,19.15%,19.15%,19.15%,19.16%,19.16%,19.16%,19.16%,19.16%
Shareholding Pattern (Quarterly),FIIs,20.84%,21.41%,18.32%,15.84%,15.70%,15.95%,16.57%,15.67%
Shareholding Pattern (Quarterly),DIIs,10.74%,8.78%,8.87%,6.01%,6.37%,6.17%,6.23%,5.98%
Shareholding Pattern (Quarterly),Public,49.28%,50.66%,53.66%,58.98%,58.79%,58.71%,58.05%,59.19%
Shareholding Pattern (Quarterly),No. of Shareholders,75851,66857,64701,64620,62882,68568,66972,66288
,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,19.16%,,,,19.16%
Shareholding Pattern (Yearly),FIIs,,,,15.84%,,,,15.67%
Shareholding Pattern (Yearly),DIIs,,,,6.01%,,,,5.98%
Shareholding Pattern (Yearly),Public,,,,58.98%,,,,59.19%
Shareholding Pattern (Yearly),No. of Shareholders,,,,64620,,,,66288
,,,,,,,,,
