Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,3019.15,2777.29,3017.94,3100.18,3000.52,3036.06,3207.38,2506.70,3062.96,3244.18,3433.80,3387.55,3256.20,,,,,,,,
Quarterly Results,Expenses,2555.75,2345.69,2538.97,2626.14,2602.60,2598.71,2745.08,2715.35,2558.61,2655.97,2831.89,2787.33,2695.18,,,,,,,,
Quarterly Results,Operating Profit,463.40,431.60,478.97,474.04,397.92,437.35,462.30,-208.65,504.35,588.21,601.91,600.22,561.02,,,,,,,,
Quarterly Results,OPM %,15.35%,15.54%,15.87%,15.29%,13.26%,14.41%,14.41%,-8.32%,16.47%,18.13%,17.53%,17.72%,17.23%,,,,,,,,
Quarterly Results,Other Income,24.67,183.16,86.36,209.43,-695.81,-32.30,-205.00,87.45,350.75,31.49,39.42,31.13,-361.13,,,,,,,,
Quarterly Results,Interest,86.85,59.99,82.94,97.11,109.14,111.61,121.46,134.34,148.56,39.58,48.48,52.29,66.71,,,,,,,,
Quarterly Results,Depreciation,131.52,146.76,145.77,151.51,135.02,142.04,141.45,147.08,151.34,117.79,120.28,122.74,125.21,,,,,,,,
Quarterly Results,Profit before tax,269.70,408.01,336.62,434.85,-542.05,151.40,-5.61,-402.62,555.20,462.33,472.57,456.32,7.97,,,,,,,,
Quarterly Results,Tax %,36.01%,48.26%,17.22%,33.13%,-25.63%,-14.35%,997.33%,-17.83%,318.71%,26.41%,24.99%,23.73%,45.04%,,,,,,,,
Quarterly Results,Net Profit,172.57,211.11,278.67,290.76,-403.13,173.12,-61.57,-330.81,-1214.27,340.24,354.48,348.03,4.38,,,,,,,,
Quarterly Results,EPS in Rs,5.51,6.82,9.23,9.66,-15.18,5.31,-2.90,-12.45,-43.17,12.06,12.55,12.33,0.16,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,12305,,,,11583,,,,11813,,,,13322,6005,6563,7562,9079,9074,9865,10641,10944
Profit & Loss,Expenses,9978,,,,9948,,,,10618,,,,10970,4914,5348,6125,7043,7457,8280,8942,8860
Profit & Loss,Operating Profit,2327,,,,1635,,,,1195,,,,2351,1091,1214,1437,2037,1617,1586,1699,2084
Profit & Loss,OPM %,19%,,,,14%,,,,10%,,,,18%,18%,18%,19%,22%,18%,16%,16%,19%
Profit & Loss,Other Income,-101,,,,-10,,,,336,,,,-259,11,-180,20,-44,89,375,191,95
