Section,,Mar 2022,Mar 2023,Mar 2024,Jun 2025
Quarterly Results,Sales,,,,
Quarterly Results,Expenses,,,,
Quarterly Results,Operating Profit,,,,
Quarterly Results,OPM %,,,,
Quarterly Results,Other Income,,,,
Quarterly Results,Interest,,,,
Quarterly Results,Depreciation,,,,
Quarterly Results,Profit before tax,,,,
Quarterly Results,Tax %,,,,
Quarterly Results,Net Profit,,,,
Quarterly Results,EPS in Rs,,,,
Quarterly Results,Raw PDF,,,,
,,,,,
Profit & Loss,Sales,286,233,332,
Profit & Loss,Expenses,262,212,287,
Profit & Loss,Operating Profit,24,21,45,
Profit & Loss,OPM %,8%,9%,13%,
Profit & Loss,Other Income,1,2,3,
Profit & Loss,Interest,14,13,23,
Profit & Loss,Depreciation,3,3,4,
Profit & Loss,Profit before tax,7,7,21,
Profit & Loss,Tax %,26%,28%,27%,
Profit & Loss,Net Profit,5,5,15,
Profit & Loss,EPS in Rs,21.01,19.60,62.14,
Profit & Loss,Dividend Payout %,0%,0%,0%,
,,,,,
Balance Sheet,Equity Capital,2,2,2,
Balance Sheet,Reserves,55,60,75,
Balance Sheet,Borrowings,71,97,125,
Balance Sheet,Other Liabilities,102,115,116,
Balance Sheet,Total Liabilities,230,275,318,
Balance Sheet,Fixed Assets,20,21,29,
Balance Sheet,CWIP,0,0,0,
Balance Sheet,Investments,0,0,0,
Balance Sheet,Other Assets,210,254,289,
Balance Sheet,Total Assets,230,275,318,
,,,,,
Cash Flows,Cash from Operating Activity,7,-11,4,
Cash Flows,Cash from Investing Activity,0,-3,-11,
Cash Flows,Cash from Financing Activity,-10,15,7,
Cash Flows,Net Cash Flow,-2,0,-0,
,,,,,
Ratios,Debtor Days,47,106,107,
Ratios,Inventory Days,936,858,1312,
Ratios,Days Payable,400,451,500,
Ratios,Cash Conversion Cycle,583,514,918,
Ratios,Working Capital Days,147,239,216,
Ratios,ROCE %,,13%,24%,
,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,63.41%
Shareholding Pattern (Quarterly),FIIs,,,,3.27%
Shareholding Pattern (Quarterly),DIIs,,,,10.96%
Shareholding Pattern (Quarterly),Public,,,,22.37%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,28730
,,,,,
Shareholding Pattern (Yearly),Promoters,,,,63.41%
Shareholding Pattern (Yearly),FIIs,,,,3.27%
Shareholding Pattern (Yearly),DIIs,,,,10.96%
Shareholding Pattern (Yearly),Public,,,,22.37%
Shareholding Pattern (Yearly),No. of Shareholders,,,,28730
,,,,,
