Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,724,828,1019,920,796,1046,1158,1250,875,1170,1384,1589,1573,,,,,,,,
Quarterly Results,Expenses,561,626,779,710,644,794,934,1022,685,905,1112,1228,1304,,,,,,,,
Quarterly Results,Operating Profit,164,201,241,210,152,253,224,228,191,266,272,361,269,,,,,,,,
Quarterly Results,OPM %,23%,24%,24%,23%,19%,24%,19%,18%,22%,23%,20%,23%,17%,,,,,,,,
Quarterly Results,Other Income,25,2,43,79,44,53,38,87,114,-14,102,80,136,,,,,,,,
Quarterly Results,Interest,11,6,7,7,9,7,7,6,4,6,5,3,4,,,,,,,,
Quarterly Results,Depreciation,37,38,39,39,37,37,36,36,28,36,32,28,42,,,,,,,,
Quarterly Results,Profit before tax,140,159,238,243,149,262,219,272,273,210,338,411,359,,,,,,,,
Quarterly Results,Tax %,26%,17%,25%,23%,26%,16%,25%,22%,21%,15%,26%,23%,22%,,,,,,,,
Quarterly Results,Net Profit,104,142,202,199,147,254,202,212,215,229,248,316,280,,,,,,,,
Quarterly Results,EPS in Rs,19.95,27.37,38.82,38.32,28.29,48.94,38.87,40.84,41.19,43.96,47.76,60.75,53.72,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2688,,,,3562,,,,4420,,,,5611,2477,2586,2331,2403,2326,2497,2877,2525
Profit & Loss,Expenses,2054,,,,2759,,,,3527,,,,4434,2111,2219,2006,2149,2065,2094,2284,1984
Profit & Loss,Operating Profit,633,,,,804,,,,892,,,,1177,367,367,324,254,260,403,592,541
Profit & Loss,OPM %,24%,,,,23%,,,,20%,,,,21%,15%,14%,14%,11%,11%,16%,21%,21%
Profit & Loss,Other Income,114,,,,252,,,,375,,,,349,12,32,37,47,73,79,107,119
Profit & Loss,Interest,34,,,,29,,,,26,,,,12,29,19,10,4,2,1,30,31
Profit & Loss,Depreciation,145,,,,154,,,,146,,,,124,91,108,107,98,98,99,155,141
Profit & Loss,Profit before tax,568,,,,873,,,,1095,,,,1390,259,271,244,199,233,383,514,487
Profit & Loss,Tax %,23%,,,,21%,,,,19%,,,,23%,32%,33%,30%,31%,32%,32%,25%,23%
Profit & Loss,Net Profit,438,,,,690,,,,884,,,,1072,175,183,170,137,159,260,385,376
Profit & Loss,EPS in Rs,84.25,,,,132.80,,,,169.84,,,,206.18,33.76,35.26,32.63,26.39,30.60,50.07,74.02,72.41
Profit & Loss,Dividend Payout %,33%,,,,33%,,,,33%,,,,29%,24%,23%,25%,30%,26%,16%,32%,33%
