Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2081,2510,2445,2324,2095,2510,2571,2345,2134,2351,2449,2450,2134,,,,,,,,
Quarterly Results,Expenses,1912,2348,2295,2187,2020,2317,2369,2186,1986,2125,2225,2230,1987,,,,,,,,
Quarterly Results,Operating Profit,169,162,150,136,75,193,201,159,148,226,223,220,147,,,,,,,,
Quarterly Results,OPM %,8%,6%,6%,6%,4%,8%,8%,7%,7%,10%,9%,9%,7%,,,,,,,,
Quarterly Results,Other Income,69,20,13,84,23,32,20,21,20,25,25,22,25,,,,,,,,
Quarterly Results,Interest,18,22,26,25,27,29,28,25,25,30,40,34,29,,,,,,,,
Quarterly Results,Depreciation,46,45,46,47,48,53,53,53,56,55,58,57,56,,,,,,,,
Quarterly Results,Profit before tax,174,116,92,148,23,142,141,102,87,166,150,151,87,,,,,,,,
Quarterly Results,Tax %,20%,24%,24%,23%,-4%,25%,26%,19%,25%,21%,36%,27%,24%,,,,,,,,
Quarterly Results,Net Profit,140,88,70,115,23,107,104,83,65,132,96,110,66,,,,,,,,
Quarterly Results,EPS in Rs,6.37,4.30,3.73,6.06,1.61,5.48,5.48,4.78,2.97,7.03,5.84,5.80,3.68,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,8306,,,,9374,,,,9561,,,,9383,3102,3312,3750,4911,5186,5918,6964,6267
Profit & Loss,Expenses,7637,,,,8851,,,,8856,,,,8567,2863,3043,3579,4471,4741,5462,6475,5703
Profit & Loss,Operating Profit,669,,,,523,,,,704,,,,816,240,269,171,440,445,456,489,564
Profit & Loss,OPM %,8%,,,,6%,,,,7%,,,,9%,8%,8%,5%,9%,9%,8%,7%,9%
Profit & Loss,Other Income,109,,,,139,,,,90,,,,97,36,104,315,95,58,154,49,90
Profit & Loss,Interest,63,,,,99,,,,108,,,,133,40,65,98,86,45,34,42,46
Profit & Loss,Depreciation,173,,,,185,,,,214,,,,226,28,37,52,75,86,98,148,154
Profit & Loss,Profit before tax,542,,,,378,,,,473,,,,554,207,271,336,375,372,477,349,453
Profit & Loss,Tax %,23%,,,,22%,,,,24%,,,,27%,24%,22%,22%,27%,32%,27%,14%,23%
Profit & Loss,Net Profit,419,,,,295,,,,359,,,,403,157,210,261,273,251,349,301,348
Profit & Loss,EPS in Rs,20.96,,,,15.71,,,,18.71,,,,22.35,118.36,22.69,28.19,13.44,11.94,17.13,15.94,16.33
Profit & Loss,Dividend Payout %,45%,,,,60%,,,,53%,,,,49%,23%,114%,16%,33%,38%,26%,34%,49%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,192,,,,192,,,,192,,,,192,13,93,93,185,192,192,192,192
Balance Sheet,Reserves,2076,,,,2145,,,,2324,,,,2189,505,548,690,824,1219,1457,1646,1859
Balance Sheet,Borrowings,1599,,,,1433,,,,1416,,,,1396,620,685,1372,664,410,398,651,1024
Balance Sheet,Other Liabilities,1689,,,,1673,,,,1734,,,,1739,435,417,957,1535,1714,2183,2183,1705
Balance Sheet,Total Liabilities,5556,,,,5444,,,,5667,,,,5516,1573,1742,3111,3208,3535,4230,4672,4779
Balance Sheet,Fixed Assets,2407,,,,2568,,,,2806,,,,2936,594,693,1507,1473,1492,2051,2156,2281
Balance Sheet,CWIP,90,,,,204,,,,192,,,,40,149,138,64,50,190,94,153,141
Balance Sheet,Investments,160,,,,158,,,,177,,,,139,0,37,59,175,195,117,129,124
Balance Sheet,Other Assets,2900,,,,2513,,,,2492,,,,2402,830,873,1481,1509,1657,1969,2233,2234
