Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2761,2864,2776,2743,2639,2464,4119,3340,3938,4290,4810,4988,5462,,,,,,
Quarterly Results,Expenses,2675,2805,2710,2665,2565,2410,4038,3267,3843,4174,4660,4848,5340,,,,,,
Quarterly Results,Operating Profit,86,60,66,78,74,54,81,72,94,116,150,140,122,,,,,,
Quarterly Results,OPM %,3%,2%,2%,3%,3%,2%,2%,2%,2%,3%,3%,3%,2%,,,,,,
Quarterly Results,Other Income,6,3,3,4,7,7,7,8,9,8,8,8,10,,,,,,
Quarterly Results,Interest,13,18,23,26,24,23,37,30,34,42,49,44,48,,,,,,
Quarterly Results,Depreciation,7,7,7,7,7,7,8,8,9,14,13,13,14,,,,,,
Quarterly Results,Profit before tax,71,37,39,48,50,31,43,43,60,68,97,91,70,,,,,,
Quarterly Results,Tax %,19%,24%,24%,24%,25%,24%,22%,21%,26%,22%,26%,20%,30%,,,,,,
Quarterly Results,Net Profit,58,28,29,37,38,24,34,34,44,53,71,72,49,,,,,,
Quarterly Results,EPS in Rs,3.92,1.92,2.00,2.50,2.56,1.63,2.29,2.28,3.00,3.58,4.84,4.91,3.30,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,10384,,,,10740,,,,13854,,,,19551,3631,4288,5060,4545,5586,8371
Profit & Loss,Expenses,10159,,,,10475,,,,13559,,,,19022,3578,4204,4953,4427,5466,8230
Profit & Loss,Operating Profit,225,,,,264,,,,295,,,,528,53,84,107,118,120,141
Profit & Loss,OPM %,2%,,,,2%,,,,2%,,,,3%,1%,2%,2%,3%,2%,2%
Profit & Loss,Other Income,17,,,,17,,,,32,,,,34,17,21,11,10,13,17
Profit & Loss,Interest,56,,,,78,,,,118,,,,183,40,53,70,84,84,62
Profit & Loss,Depreciation,29,,,,29,,,,32,,,,54,15,21,28,30,23,30
Profit & Loss,Profit before tax,156,,,,175,,,,177,,,,325,15,31,20,14,26,66
Profit & Loss,Tax %,21%,,,,24%,,,,23%,,,,24%,36%,35%,23%,23%,27%,32%
Profit & Loss,Net Profit,123,,,,132,,,,136,,,,246,9,20,15,11,19,45
Profit & Loss,EPS in Rs,8.33,,,,8.97,,,,9.20,,,,16.64,0.69,1.47,1.14,0.80,1.41,3.29
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,29,,,,30,,,,30,,,,30,26,26,26,26,26,26
Balance Sheet,Reserves,442,,,,621,,,,757,,,,1006,160,180,195,208,229,274
Balance Sheet,Borrowings,305,,,,484,,,,604,,,,544,225,292,345,311,317,246
Balance Sheet,Other Liabilities,942,,,,986,,,,1817,,,,2500,856,790,739,753,887,1007
Balance Sheet,Total Liabilities,1717,,,,2121,,,,3207,,,,4080,1268,1289,1305,1299,1459,1554
Balance Sheet,Fixed Assets,264,,,,355,,,,742,,,,817,135,178,222,216,240,233
Balance Sheet,CWIP,17,,,,106,,,,6,,,,113,33,15,10,11,3,4
Balance Sheet,Investments,1,,,,3,,,,10,,,,18,25,0,11,12,13,14
Balance Sheet,Other Assets,1435,,,,1656,,,,2449,,,,3132,1074,1096,1062,1060,1203,1302
Balance Sheet,Total Assets,1717,,,,2121,,,,3207,,,,4080,1268,1289,1305,1299,1459,1554
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,60,,,,20,,,,355,,,,467,133,-7,-52,102,132,135
Cash Flows,Cash from Investing Activity,-46,,,,-199,,,,-297,,,,-217,-14,11,-68,-15,-32,-8
Cash Flows,Cash from Financing Activity,60,,,,143,,,,2,,,,-247,-49,33,3,-98,-83,-127
Cash Flows,Net Cash Flow,74,,,,-37,,,,61,,,,4,69,36,-118,-12,16,0
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,7,,,,14,,,,10,,,,10,30,33,27,27,25,24
Ratios,Inventory Days,27,,,,23,,,,36,,,,37,39,32,32,41,32,17
Ratios,Days Payable,33,,,,34,,,,46,,,,46,88,68,54,63,58,44
Ratios,Cash Conversion Cycle,2,,,,4,,,,0,,,,1,-20,-4,5,5,-1,-3
Ratios,Working Capital Days,5,,,,8,,,,5,,,,5,-3,4,13,13,5,3
Ratios,ROCE %,32%,,,,26%,,,,23%,,,,34%,,18%,17%,18%,20%,23%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.17%,72.17%,72.17%,71.97%,72.56%,72.56%,72.56%,73.62%,73.67%,73.67%,73.67%,73.67%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.22%,0.24%,0.21%,0.05%,0.05%,0.06%,0.05%,0.76%,0.82%,1.11%,1.35%,1.51%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.03%,0.04%,,,,,,
Shareholding Pattern (Quarterly),Public,,27.61%,27.58%,27.62%,27.98%,27.39%,27.38%,27.38%,25.62%,25.51%,25.16%,24.95%,24.77%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,29371,31447,43302,43460,45730,45601,43870,43225,42479,51645,49914,48921,,,,,,
