Section,,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,
Quarterly Results,Expenses,,,,,
Quarterly Results,Operating Profit,,,,,
Quarterly Results,OPM %,,,,,
Quarterly Results,Other Income,,,,,
Quarterly Results,Interest,,,,,
Quarterly Results,Depreciation,,,,,
Quarterly Results,Profit before tax,,,,,
Quarterly Results,Tax %,,,,,
Quarterly Results,Net Profit,,,,,
Quarterly Results,EPS in Rs,,,,,
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Sales,,,,,
Profit & Loss,Expenses,,,,,
Profit & Loss,Operating Profit,,,,,
Profit & Loss,OPM %,,,,,
Profit & Loss,Other Income,,,,,
Profit & Loss,Interest,,,,,
Profit & Loss,Depreciation,,,,,
Profit & Loss,Profit before tax,,,,,
Profit & Loss,Tax %,,,,,
Profit & Loss,Net Profit,,,,,
Profit & Loss,EPS in Rs,,,,,
Profit & Loss,Dividend Payout %,,,,,
,,,,,,
Balance Sheet,Equity Capital,,,,,
Balance Sheet,Reserves,,,,,
Balance Sheet,Borrowings,,,,,
Balance Sheet,Other Liabilities,,,,,
Balance Sheet,Total Liabilities,,,,,
Balance Sheet,Fixed Assets,,,,,
Balance Sheet,CWIP,,,,,
Balance Sheet,Investments,,,,,
Balance Sheet,Other Assets,,,,,
Balance Sheet,Total Assets,,,,,
,,,,,,
Cash Flows,Cash from Operating Activity,,,,,
Cash Flows,Cash from Investing Activity,,,,,
Cash Flows,Cash from Financing Activity,,,,,
Cash Flows,Net Cash Flow,,,,,
,,,,,,
Ratios,Debtor Days,,,,,
Ratios,Inventory Days,,,,,
Ratios,Days Payable,,,,,
Ratios,Cash Conversion Cycle,,,,,
Ratios,Working Capital Days,,,,,
Ratios,ROCE %,,,,,
,,,,,,
Shareholding Pattern (Quarterly),Promoters,81.48%,81.48%,81.48%,81.48%,81.47%
Shareholding Pattern (Quarterly),FIIs,3.18%,2.20%,2.26%,1.64%,1.57%
Shareholding Pattern (Quarterly),DIIs,6.70%,6.85%,5.64%,6.52%,7.01%
Shareholding Pattern (Quarterly),Public,8.63%,9.46%,10.60%,10.37%,9.95%
Shareholding Pattern (Quarterly),No. of Shareholders,134875,112169,92074,77329,78741
,,,,,,
Shareholding Pattern (Yearly),Promoters,81.48%,,,,81.47%
Shareholding Pattern (Yearly),FIIs,3.18%,,,,1.57%
Shareholding Pattern (Yearly),DIIs,6.70%,,,,7.01%
Shareholding Pattern (Yearly),Public,8.63%,,,,9.95%
Shareholding Pattern (Yearly),No. of Shareholders,134875,,,,78741
,,,,,,
