Section,,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,
Quarterly Results,Expenses,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,
Quarterly Results,OPM %,,,,,,,,
Quarterly Results,Other Income,,,,,,,,
Quarterly Results,Interest,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,
Quarterly Results,Tax %,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,
,,,,,,,,,
Profit & Loss,Sales,212,243,337,,,,,
Profit & Loss,Expenses,176,194,263,,,,,
Profit & Loss,Operating Profit,36,49,74,,,,,
Profit & Loss,OPM %,17%,20%,22%,,,,,
Profit & Loss,Other Income,4,6,5,,,,,
Profit & Loss,Interest,14,14,11,,,,,
Profit & Loss,Depreciation,11,12,14,,,,,
Profit & Loss,Profit before tax,15,29,54,,,,,
Profit & Loss,Tax %,26%,27%,23%,,,,,
Profit & Loss,Net Profit,11,21,42,,,,,
Profit & Loss,EPS in Rs,6.11,11.76,5.22,,,,,
Profit & Loss,Dividend Payout %,-0%,47%,115%,,,,,
,,,,,,,,,
Balance Sheet,Equity Capital,18,18,80,,,,,
Balance Sheet,Reserves,109,116,78,,,,,
Balance Sheet,Borrowings,157,166,96,,,,,
Balance Sheet,Other Liabilities,25,18,70,,,,,
Balance Sheet,Total Liabilities,308,317,323,,,,,
Balance Sheet,Fixed Assets,226,220,220,,,,,
Balance Sheet,CWIP,2,0,1,,,,,
Balance Sheet,Investments,1,1,10,,,,,
Balance Sheet,Other Assets,80,97,92,,,,,
Balance Sheet,Total Assets,308,317,323,,,,,
,,,,,,,,,
Cash Flows,Cash from Operating Activity,41,43,66,,,,,
Cash Flows,Cash from Investing Activity,-54,-16,-5,,,,,
Cash Flows,Cash from Financing Activity,12,-22,-57,,,,,
Cash Flows,Net Cash Flow,-1,4,3,,,,,
,,,,,,,,,
Ratios,Debtor Days,30,26,15,,,,,
Ratios,Inventory Days,60,41,30,,,,,
Ratios,Days Payable,314,165,121,,,,,
Ratios,Cash Conversion Cycle,-224,-98,-76,,,,,
Ratios,Working Capital Days,28,64,28,,,,,
Ratios,ROCE %,,14%,24%,,,,,
,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,65.57%,65.57%,65.57%,65.57%,65.57%
Shareholding Pattern (Quarterly),FIIs,,,,6.68%,5.38%,4.70%,4.71%,4.49%
Shareholding Pattern (Quarterly),DIIs,,,,11.61%,11.88%,10.80%,11.30%,11.35%
Shareholding Pattern (Quarterly),Public,,,,16.14%,17.16%,18.92%,18.41%,18.59%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,76664,71293,74737,70147,68365
,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,65.57%,,,,65.57%
Shareholding Pattern (Yearly),FIIs,,,,6.68%,,,,4.49%
Shareholding Pattern (Yearly),DIIs,,,,11.61%,,,,11.35%
Shareholding Pattern (Yearly),Public,,,,16.14%,,,,18.59%
Shareholding Pattern (Yearly),No. of Shareholders,,,,76664,,,,68365
,,,,,,,,,
