Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,666,580,683,789,749,703,836,758,863,908,927,996,1037,,,,,,,,
Quarterly Results,Expenses,597,564,624,712,686,645,764,677,791,820,864,916,945,,,,,,,,
Quarterly Results,Operating Profit,70,16,59,78,63,58,73,80,72,88,63,81,92,,,,,,,,
Quarterly Results,OPM %,10%,3%,9%,10%,8%,8%,9%,11%,8%,10%,7%,8%,9%,,,,,,,,
Quarterly Results,Other Income,-1,50,7,-5,23,23,14,15,25,7,40,29,36,,,,,,,,
Quarterly Results,Interest,14,11,10,9,10,13,11,13,12,13,12,13,6,,,,,,,,
Quarterly Results,Depreciation,5,5,6,6,7,8,9,9,12,7,7,8,8,,,,,,,,
Quarterly Results,Profit before tax,49,50,50,58,70,61,67,74,72,75,85,89,115,,,,,,,,
Quarterly Results,Tax %,7%,11%,10%,12%,8%,14%,12%,17%,4%,9%,15%,12%,17%,,,,,,,,
Quarterly Results,Net Profit,46,45,45,50,64,53,59,61,69,68,72,78,95,,,,,,,,
Quarterly Results,EPS in Rs,5.99,6.16,6.46,7.27,9.24,7.54,8.38,8.73,9.99,9.75,10.43,10.56,12.89,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2216,,,,2801,,,,3161,,,,3869,516,501,430,655,1017,1242,1348,1410
Profit & Loss,Expenses,1998,,,,2594,,,,2873,,,,3545,472,480,412,596,926,1180,1239,1288
Profit & Loss,Operating Profit,217,,,,207,,,,287,,,,324,44,20,18,59,92,62,109,121
Profit & Loss,OPM %,10%,,,,7%,,,,9%,,,,8%,9%,4%,4%,9%,9%,5%,8%,9%
Profit & Loss,Other Income,6,,,,88,,,,76,,,,112,-3,4,3,1,2,5,-12,1
Profit & Loss,Interest,38,,,,44,,,,52,,,,43,10,11,9,11,20,26,31,31
Profit & Loss,Depreciation,21,,,,24,,,,38,,,,29,6,6,7,6,9,12,18,20
Profit & Loss,Profit before tax,165,,,,228,,,,274,,,,363,25,7,6,44,64,30,47,71
Profit & Loss,Tax %,10%,,,,10%,,,,12%,,,,14%,12%,-33%,8%,19%,26%,34%,22%,20%
Profit & Loss,Net Profit,148,,,,204,,,,242,,,,313,22,10,5,35,48,19,37,57
Profit & Loss,EPS in Rs,20.19,,,,29.13,,,,34.65,,,,42.32,3.13,0.97,0.64,4.78,6.42,2.25,4.81,7.60
Profit & Loss,Dividend Payout %,15%,,,,15%,,,,15%,,,,15%,26%,21%,31%,13%,11%,13%,15%,14%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,15,14,14,14,14,14,14,14,14
Balance Sheet,Reserves,373,,,,575,,,,824,,,,2055,98,102,105,136,176,186,211,255
Balance Sheet,Borrowings,392,,,,348,,,,548,,,,286,82,103,99,166,233,250,279,261
Balance Sheet,Other Liabilities,219,,,,268,,,,217,,,,159,26,31,22,39,70,123,110,196
Balance Sheet,Total Liabilities,998,,,,1205,,,,1602,,,,2515,220,250,240,355,492,573,614,726
Balance Sheet,Fixed Assets,191,,,,273,,,,348,,,,436,61,54,54,68,109,137,182,172
Balance Sheet,CWIP,42,,,,46,,,,43,,,,39,6,6,15,32,24,46,15,13
Balance Sheet,Investments,0,,,,1,,,,16,,,,528,0,0,0,0,0,0,0,0
Balance Sheet,Other Assets,764,,,,885,,,,1194,,,,1512,153,190,170,255,359,390,418,540
Balance Sheet,Total Assets,998,,,,1205,,,,1602,,,,2515,220,250,240,355,492,573,614,726
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,10,,,,200,,,,42,,,,282,18,-0,29,1,-3,89,34,77
Cash Flows,Cash from Investing Activity,-69,,,,-105,,,,-158,,,,-864,-8,-2,-10,-49,-42,-66,-14,-19
Cash Flows,Cash from Financing Activity,72,,,,-87,,,,121,,,,640,-10,6,-17,49,40,-17,-21,-57
Cash Flows,Net Cash Flow,12,,,,7,,,,5,,,,59,-0,3,2,2,-4,6,-2,1
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,18,,,,18,,,,31,,,,26,30,19,25,34,41,28,18,15
Ratios,Inventory Days,107,,,,95,,,,96,,,,71,57,81,77,77,72,64,75,115
Ratios,Days Payable,7,,,,14,,,,10,,,,5,7,12,8,10,21,35,29,44
Ratios,Cash Conversion Cycle,119,,,,99,,,,117,,,,92,80,88,94,101,91,58,65,87
