Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,389,308,422,424,470,464,457,420,441,386,399,386,397,,,,,,,
Quarterly Results,Expenses,292,240,309,313,332,332,341,328,365,320,330,325,345,,,,,,,
Quarterly Results,Operating Profit,97,69,113,111,138,132,117,92,76,66,69,60,51,,,,,,,
Quarterly Results,OPM %,25%,22%,27%,26%,29%,28%,26%,22%,17%,17%,17%,16%,13%,,,,,,,
Quarterly Results,Other Income,2,1,2,2,4,7,14,-4,9,6,7,1,7,,,,,,,
Quarterly Results,Interest,-4,11,2,1,3,3,2,11,3,4,2,6,0,,,,,,,
Quarterly Results,Depreciation,17,17,19,18,18,18,18,18,17,18,18,18,18,,,,,,,
Quarterly Results,Profit before tax,86,41,94,94,120,118,110,58,64,50,55,37,40,,,,,,,
Quarterly Results,Tax %,34%,28%,29%,33%,33%,34%,34%,36%,-7%,25%,26%,8%,26%,,,,,,,
Quarterly Results,Net Profit,56,30,67,63,81,78,72,38,69,37,41,35,30,,,,,,,
Quarterly Results,EPS in Rs,4.60,2.43,5.47,5.14,6.57,6.33,5.91,3.06,5.62,3.04,3.34,2.82,2.43,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1021,,,,1625,,,,1783,,,,1567,0,599,877,,,,
Profit & Loss,Expenses,814,,,,1192,,,,1364,,,,1320,0,522,738,,,,
Profit & Loss,Operating Profit,207,,,,433,,,,419,,,,247,-0,77,138,,,,
Profit & Loss,OPM %,20%,,,,27%,,,,24%,,,,16%,,13%,16%,,,,
Profit & Loss,Other Income,-0,,,,6,,,,23,,,,21,0,13,-9,,,,
Profit & Loss,Interest,37,,,,17,,,,19,,,,12,0,25,48,,,,
Profit & Loss,Depreciation,69,,,,73,,,,72,,,,73,0,53,69,,,,
Profit & Loss,Profit before tax,101,,,,349,,,,351,,,,183,-0,12,12,,,,
Profit & Loss,Tax %,32%,,,,31%,,,,27%,,,,22%,0%,-179%,-23%,,,,
Profit & Loss,Net Profit,69,,,,240,,,,257,,,,143,-0,35,14,,,,
Profit & Loss,EPS in Rs,5.61,,,,19.61,,,,20.92,,,,11.64,,,1.18,,,,
Profit & Loss,Dividend Payout %,0%,,,,8%,,,,7%,,,,13%,0%,0%,0%,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,12,0.10,0.00,12,,,,
Balance Sheet,Reserves,718,,,,939,,,,1182,,,,1305,-0,633,649,,,,
Balance Sheet,Borrowings,447,,,,316,,,,228,,,,296,0,587,561,,,,
Balance Sheet,Other Liabilities,278,,,,275,,,,283,,,,278,0,238,243,,,,
Balance Sheet,Total Liabilities,1455,,,,1542,,,,1705,,,,1891,0,1458,1466,,,,
Balance Sheet,Fixed Assets,1074,,,,1038,,,,992,,,,982,0,1138,1111,,,,
Balance Sheet,CWIP,4,,,,0,,,,5,,,,313,0,4,6,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,98,0,0,0,,,,
Balance Sheet,Other Assets,377,,,,504,,,,708,,,,498,0,317,349,,,,
Balance Sheet,Total Assets,1455,,,,1542,,,,1705,,,,1891,0,1458,1466,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,155,,,,366,,,,337,,,,135,-0,17,100,,,,
Cash Flows,Cash from Investing Activity,-11,,,,-136,,,,-248,,,,-158,0,-99,-22,,,,
Cash Flows,Cash from Financing Activity,-142,,,,-185,,,,-134,,,,50,0,102,-86,,,,
Cash Flows,Net Cash Flow,2,,,,44,,,,-44,,,,27,0,20,-8,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,28,,,,9,,,,9,,,,7,,28,29,,,,
Ratios,Inventory Days,118,,,,90,,,,75,,,,107,,191,143,,,,
Ratios,Days Payable,102,,,,75,,,,54,,,,58,,116,112,,,,
Ratios,Cash Conversion Cycle,43,,,,25,,,,29,,,,55,,103,60,,,,
Ratios,Working Capital Days,5,,,,17,,,,19,,,,29,,23,34,,,,
Ratios,ROCE %,12%,,,,30%,,,,27%,,,,13%,,6%,6%,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,53.10%,53.09%,53.09%,53.09%,53.09%,53.12%,53.12%,53.12%,,,,53.12%,53.12%,53.12%,53.13%
Shareholding Pattern (Quarterly),FIIs,,,,,,6.27%,6.39%,4.56%,4.43%,4.30%,4.41%,3.22%,2.99%,,,,2.12%,2.70%,3.00%,2.92%
Shareholding Pattern (Quarterly),DIIs,,,,,,21.45%,21.19%,21.30%,21.18%,21.60%,22.83%,24.53%,25.81%,,,,26.76%,27.70%,28.47%,28.62%
Shareholding Pattern (Quarterly),Government,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.05%,0.06%,,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,,,,,19.18%,19.33%,21.03%,21.30%,21.00%,19.57%,19.06%,18.00%,,,,17.98%,16.46%,15.40%,15.31%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,80128,98211,112666,117341,121296,122316,122776,123718,,,,121220,108642,98171,96587
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,53.10%,,,,53.10%,,,,53.09%,,,,53.12%,,,53.10%,,,,53.13%
Shareholding Pattern (Yearly),FIIs,4.21%,,,,5.84%,,,,4.43%,,,,2.99%,,,10.74%,,,,2.92%
Shareholding Pattern (Yearly),DIIs,19.02%,,,,21.24%,,,,21.18%,,,,25.81%,,,18.58%,,,,28.62%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.06%,,,0.00%,,,,0.00%
Shareholding Pattern (Yearly),Public,23.67%,,,,19.82%,,,,21.30%,,,,18.00%,,,17.58%,,,,15.31%
Shareholding Pattern (Yearly),No. of Shareholders,19607,,,,63467,,,,117341,,,,123718,,,19091,,,,96587
,,,,,,,,,,,,,,,,,,,,,
