Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,449,454,495,428,427,430,568,582,600,584,640,614,649,,,,,,,,
Quarterly Results,Expenses,404,414,447,398,399,404,519,532,543,531,587,561,602,,,,,,,,
Quarterly Results,Operating Profit,45,40,48,30,28,27,48,50,57,53,53,54,46,,,,,,,,
Quarterly Results,OPM %,10%,9%,10%,7%,7%,6%,8%,9%,10%,9%,8%,9%,7%,,,,,,,,
Quarterly Results,Other Income,3,2,1,13,4,-3,-2,16,4,6,2,3,6,,,,,,,,
Quarterly Results,Interest,2,5,7,6,3,8,12,15,9,10,14,5,13,,,,,,,,
Quarterly Results,Depreciation,7,8,9,10,8,11,14,15,15,15,15,15,15,,,,,,,,
Quarterly Results,Profit before tax,38,28,33,27,22,5,21,37,38,34,26,36,24,,,,,,,,
Quarterly Results,Tax %,25%,27%,28%,-32%,50%,82%,33%,26%,25%,2%,32%,33%,32%,,,,,,,,
Quarterly Results,Net Profit,29,21,24,36,11,1,14,27,28,33,18,24,17,,,,,,,,
Quarterly Results,EPS in Rs,2.36,1.69,1.92,2.93,0.90,0.07,1.13,2.17,2.29,2.67,1.42,1.96,1.32,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1563,,,,1663,,,,2180,,,,2488,2217,1567,1646,1668,912,1412,1420,1165
Profit & Loss,Expenses,1413,,,,1530,,,,1994,,,,2284,1945,1355,1403,1421,848,1266,1265,1050
Profit & Loss,Operating Profit,150,,,,133,,,,185,,,,204,272,211,243,247,64,146,156,115
Profit & Loss,OPM %,10%,,,,8%,,,,9%,,,,8%,12%,13%,15%,15%,7%,10%,11%,10%
Profit & Loss,Other Income,12,,,,12,,,,12,,,,16,4,15,7,4,86,6,-48,6
Profit & Loss,Interest,12,,,,9,,,,43,,,,43,64,38,31,19,8,19,21,17
Profit & Loss,Depreciation,26,,,,26,,,,55,,,,60,60,47,50,51,18,22,26,23
Profit & Loss,Profit before tax,125,,,,111,,,,100,,,,117,153,141,170,181,124,111,61,81
Profit & Loss,Tax %,24%,,,,17%,,,,30%,,,,22%,23%,12%,24%,31%,11%,28%,22%,25%
Profit & Loss,Net Profit,95,,,,91,,,,70,,,,92,118,124,128,125,111,80,47,61
Profit & Loss,EPS in Rs,7.73,,,,7.44,,,,5.66,,,,7.34,9.76,10.31,10.63,10.23,9.02,6.50,3.85,4.97
Profit & Loss,Dividend Payout %,6%,,,,7%,,,,9%,,,,7%,6%,6%,6%,6%,7%,6%,10%,8%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,12,12,12,12,12,12,12,12,12
Balance Sheet,Reserves,526,,,,632,,,,697,,,,796,572,474,602,760,865,323,366,424
Balance Sheet,Borrowings,309,,,,695,,,,549,,,,515,748,332,270,446,712,250,279,203
Balance Sheet,Other Liabilities,311,,,,341,,,,405,,,,628,488,331,316,356,521,302,305,275
Balance Sheet,Total Liabilities,1159,,,,1680,,,,1663,,,,1952,1820,1149,1200,1575,2111,887,962,915
Balance Sheet,Fixed Assets,353,,,,459,,,,865,,,,857,699,533,542,526,580,252,314,308
Balance Sheet,CWIP,110,,,,513,,,,12,,,,44,117,14,9,269,770,17,5,6
Balance Sheet,Investments,26,,,,6,,,,43,,,,67,0,35,29,26,18,22,24,23
Balance Sheet,Other Assets,671,,,,702,,,,742,,,,984,1004,567,620,754,742,596,619,578
Balance Sheet,Total Assets,1159,,,,1680,,,,1663,,,,1952,1820,1149,1200,1575,2111,887,962,915
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,92,,,,62,,,,111,,,,219,189,187,191,212,113,98,58,228
Cash Flows,Cash from Investing Activity,-130,,,,-410,,,,-144,,,,-147,-172,-105,-63,-363,-328,-89,-58,-124
Cash Flows,Cash from Financing Activity,80,,,,318,,,,47,,,,-83,-23,-82,-100,190,164,-28,-19,-92
Cash Flows,Net Cash Flow,42,,,,-30,,,,14,,,,-11,-6,1,28,39,-50,-19,-20,12
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,44,,,,50,,,,42,,,,47,61,60,74,65,114,79,92,61
Ratios,Inventory Days,88,,,,98,,,,96,,,,127,121,76,55,65,150,72,77,96
Ratios,Days Payable,84,,,,86,,,,92,,,,132,100,92,99,86,142,99,101,109
Ratios,Cash Conversion Cycle,47,,,,63,,,,46,,,,43,82,45,30,45,122,52,68,47
Ratios,Working Capital Days,40,,,,63,,,,46,,,,41,63,48,47,38,79,50,62,45
Ratios,ROCE %,18%,,,,11%,,,,11%,,,,12%,18%,15%,24%,19%,10%,12%,21%,15%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,52.29%,52.32%,52.32%,52.32%,52.14%,52.12%,51.97%,52.00%,52.01%,52.01%,51.66%,51.69%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,3.40%,3.18%,2.32%,2.16%,2.15%,2.07%,4.10%,4.13%,4.91%,5.60%,5.76%,5.42%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,33.41%,32.91%,32.94%,32.87%,32.41%,32.39%,29.76%,30.31%,30.33%,30.66%,30.91%,31.05%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,10.90%,11.57%,12.42%,12.65%,13.29%,13.41%,14.16%,13.54%,12.75%,11.73%,11.69%,11.85%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,40796,43009,48170,50076,47710,49204,46179,51375,48073,54007,52918,53465,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,52.31%,,,,52.32%,,,,52.00%,,,,51.69%,,,,51.03%,51.03%,51.03%,52.01%,52.20%
Shareholding Pattern (Yearly),FIIs,3.58%,,,,2.16%,,,,4.13%,,,,5.42%,,,,12.22%,11.69%,10.90%,10.82%,1.99%
Shareholding Pattern (Yearly),DIIs,31.98%,,,,32.87%,,,,30.31%,,,,31.05%,,,,20.26%,19.32%,20.51%,22.88%,28.16%
Shareholding Pattern (Yearly),Public,12.14%,,,,12.65%,,,,13.54%,,,,11.85%,,,,16.49%,17.96%,17.56%,14.28%,17.65%
Shareholding Pattern (Yearly),No. of Shareholders,41385,,,,50076,,,,51375,,,,53465,,,,9790,15714,23775,19705,29056
,,,,,,,,,,,,,,,,,,,,,,
