Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2035,3018,2488,3479,2384,2063,3119,2008,1965,2163,2635,2814,1922,,,,,,,,
Quarterly Results,Expenses,1616,2493,2097,3133,2058,1921,2881,1900,1939,2053,2352,2656,1842,,,,,,,,
Quarterly Results,Operating Profit,418,525,391,346,326,142,237,108,26,110,284,158,80,,,,,,,,
Quarterly Results,OPM %,21%,17%,16%,10%,14%,7%,8%,5%,1%,5%,11%,6%,4%,,,,,,,,
Quarterly Results,Other Income,65,32,73,20,28,51,197,83,54,52,154,60,61,,,,,,,,
Quarterly Results,Interest,3,3,3,6,3,2,2,1,7,2,2,2,4,,,,,,,,
Quarterly Results,Depreciation,44,45,46,46,45,45,46,46,47,47,48,49,48,,,,,,,,
Quarterly Results,Profit before tax,435,509,415,313,305,146,387,144,26,113,387,168,89,,,,,,,,
Quarterly Results,Tax %,34%,32%,31%,-31%,26%,23%,20%,18%,7%,22%,23%,20%,19%,,,,,,,,
Quarterly Results,Net Profit,286,346,285,410,225,112,309,118,24,87,298,134,72,,,,,,,,
Quarterly Results,EPS in Rs,7.17,8.68,7.16,10.29,5.64,2.82,7.75,2.96,0.62,2.19,7.48,3.36,1.80,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,9085,,,,11369,,,,9155,,,,9534,5386,5311,6108,5265,6266,8491,7798,7634
Profit & Loss,Expenses,7764,,,,9781,,,,8641,,,,8902,4819,4719,5451,4775,5701,7742,7477,7063
Profit & Loss,Operating Profit,1321,,,,1588,,,,514,,,,632,567,592,657,489,565,749,321,571
Profit & Loss,OPM %,15%,,,,14%,,,,6%,,,,7%,11%,11%,11%,9%,9%,9%,4%,7%
Profit & Loss,Other Income,183,,,,152,,,,385,,,,326,120,101,65,61,99,107,105,184
Profit & Loss,Interest,10,,,,15,,,,11,,,,10,45,18,31,65,51,61,115,43
Profit & Loss,Depreciation,179,,,,182,,,,183,,,,192,145,101,97,104,119,126,171,177
Profit & Loss,Profit before tax,1315,,,,1543,,,,704,,,,756,496,575,594,382,493,669,141,535
Profit & Loss,Tax %,32%,,,,18%,,,,20%,,,,22%,31%,30%,31%,-11%,4%,26%,22%,16%
Profit & Loss,Net Profit,899,,,,1266,,,,564,,,,591,349,409,416,424,474,493,110,450
