Section,,Mar 2009,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,221,1008,1398,913,952,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,190,425,626,709,562,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,31,582,772,204,391,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,14%,58%,55%,22%,41%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,142,75,-1,-89,5,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,103,657,977,469,459,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,141,575,791,252,239,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-71,-574,-998,-605,-302,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,-104%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,3,-574,-998,-743,-603,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.03,-3.95,-7.20,-3.18,-2.45,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,816,957,957,2336,2460,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,449,441,-248,-3216,-3889,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,3548,11352,11987,4935,4895,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,410,3251,3369,485,607,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,5223,16002,16065,4540,4073,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,2158,11597,12333,3261,3138,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,1047,977,285,46,43,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,33,802,836,531,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,2018,3395,2646,398,360,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,5223,16002,16065,4540,4073,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,532,-290,826,449,543,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-1338,-1460,-414,-19,-139,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,797,1134,-508,-419,-413,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-8,-616,-96,12,-8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,91,26,24,34,25,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
