Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,617,631,655,686,692,774,779,851,808,843,856,887,891,,,,,,,,
Quarterly Results,Expenses,488,510,524,574,591,655,655,730,695,730,748,782,786,,,,,,,,
Quarterly Results,Operating Profit,129,121,131,112,101,120,124,121,113,113,107,105,105,,,,,,,,
Quarterly Results,OPM %,21%,19%,20%,16%,15%,15%,16%,14%,14%,13%,13%,12%,12%,,,,,,,,
Quarterly Results,Other Income,11,15,8,20,-10,6,11,10,7,7,7,9,8,,,,,,,,
Quarterly Results,Interest,4,2,2,2,3,4,5,6,7,7,6,9,8,,,,,,,,
Quarterly Results,Depreciation,65,69,74,76,100,74,82,91,90,92,90,93,94,,,,,,,,
Quarterly Results,Profit before tax,71,64,63,54,-11,48,48,33,22,22,18,13,11,,,,,,,,
Quarterly Results,Tax %,20%,25%,24%,26%,-4%,26%,25%,26%,26%,31%,24%,27%,3%,,,,,,,,
Quarterly Results,Net Profit,57,48,47,40,-11,35,36,25,16,15,14,10,11,,,,,,,,
Quarterly Results,EPS in Rs,4.84,3.85,3.99,3.34,-1.04,3.19,3.04,2.11,1.17,1.27,1.14,0.90,0.95,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2414,,,,2664,,,,3212,,,,3477,577,623,736,908,1091,1246,2384,2467
Profit & Loss,Expenses,1881,,,,2198,,,,2735,,,,3045,421,474,583,697,797,905,1921,1947
Profit & Loss,Operating Profit,533,,,,466,,,,477,,,,432,156,149,154,211,294,340,464,520
Profit & Loss,OPM %,22%,,,,18%,,,,15%,,,,12%,27%,24%,21%,23%,27%,27%,19%,21%
Profit & Loss,Other Income,24,,,,32,,,,34,,,,30,2,9,8,33,17,-44,-30,51
Profit & Loss,Interest,14,,,,10,,,,23,,,,30,40,42,47,64,42,51,45,23
Profit & Loss,Depreciation,253,,,,319,,,,337,,,,369,72,84,107,139,171,202,232,260
Profit & Loss,Profit before tax,290,,,,169,,,,151,,,,64,46,33,8,41,98,43,158,288
Profit & Loss,Tax %,25%,,,,26%,,,,26%,,,,23%,47%,39%,54%,36%,42%,43%,44%,27%
Profit & Loss,Net Profit,219,,,,125,,,,112,,,,49,25,20,4,26,56,25,88,210
Profit & Loss,EPS in Rs,17.75,,,,10.13,,,,9.51,,,,4.26,120.10,83.50,0.75,4.10,5.43,1.68,6.91,16.73
Profit & Loss,Dividend Payout %,23%,,,,39%,,,,42%,,,,47%,0%,0%,7%,24%,18%,60%,43%,24%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,112,,,,112,,,,112,,,,112,2,2,98,98,112,112,112,112
Balance Sheet,Reserves,919,,,,991,,,,1047,,,,1051,316,331,282,289,545,552,616,768
Balance Sheet,Borrowings,130,,,,149,,,,242,,,,313,282,240,466,546,328,345,223,165
Balance Sheet,Other Liabilities,1141,,,,1420,,,,1617,,,,1792,458,542,628,776,916,1004,1194,1273
Balance Sheet,Total Liabilities,2303,,,,2672,,,,3019,,,,3268,1058,1115,1474,1709,1902,2014,2145,2318
Balance Sheet,Fixed Assets,1507,,,,1768,,,,2029,,,,2068,674,696,904,1054,1210,1214,1325,1393
Balance Sheet,CWIP,92,,,,113,,,,88,,,,108,22,11,61,60,38,32,32,71
Balance Sheet,Investments,9,,,,9,,,,11,,,,12,9,15,19,10,14,15,14,10
Balance Sheet,Other Assets,694,,,,782,,,,891,,,,1081,354,393,491,585,639,754,773,844
Balance Sheet,Total Assets,2303,,,,2672,,,,3019,,,,3268,1058,1115,1474,1709,1902,2014,2145,2318
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,396,,,,583,,,,455,,,,452,219,209,225,266,412,284,394,551
Cash Flows,Cash from Investing Activity,-311,,,,-461,,,,-477,,,,-380,-268,-96,-366,-272,-334,-235,-254,-378
