Section,,Mar 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024
Quarterly Results,Sales,331,300,400,,,,,,,,,
Quarterly Results,Expenses,289,260,351,,,,,,,,,
Quarterly Results,Operating Profit,42,40,49,,,,,,,,,
Quarterly Results,OPM %,13%,13%,12%,,,,,,,,,
Quarterly Results,Other Income,1,0,0,,,,,,,,,
Quarterly Results,Interest,10,12,12,,,,,,,,,
Quarterly Results,Depreciation,10,13,14,,,,,,,,,
Quarterly Results,Profit before tax,24,15,23,,,,,,,,,
Quarterly Results,Tax %,29%,27%,26%,,,,,,,,,
Quarterly Results,Net Profit,17,11,17,,,,,,,,,
Quarterly Results,EPS in Rs,5.81,3.63,5.57,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,1153,,1357,,,,,,,,,
Profit & Loss,Expenses,1015,,1182,,,,,,,,,
Profit & Loss,Operating Profit,139,,175,,,,,,,,,
Profit & Loss,OPM %,12%,,13%,,,,,,,,,
Profit & Loss,Other Income,5,,3,,,,,,,,,
Profit & Loss,Interest,33,,45,,,,,,,,,
Profit & Loss,Depreciation,34,,50,,,,,,,,,
Profit & Loss,Profit before tax,77,,83,,,,,,,,,
Profit & Loss,Tax %,27%,,26%,,,,,,,,,
Profit & Loss,Net Profit,57,,62,,,,,,,,,
Profit & Loss,EPS in Rs,19.68,,19.93,,,,,,,,,
Profit & Loss,Dividend Payout %,3%,,3%,,,,,,,,,
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,29,,31,,,,,,,,,
Balance Sheet,Reserves,435,,542,,,,,,,,,
Balance Sheet,Borrowings,371,,400,,,,,,,,,
Balance Sheet,Other Liabilities,45,,224,,,,,,,,,
Balance Sheet,Total Liabilities,880,,1197,,,,,,,,,
Balance Sheet,Fixed Assets,366,,424,,,,,,,,,
Balance Sheet,CWIP,13,,12,,,,,,,,,
Balance Sheet,Investments,0,,0,,,,,,,,,
Balance Sheet,Other Assets,501,,761,,,,,,,,,
Balance Sheet,Total Assets,880,,1197,,,,,,,,,
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,5,,79,,,,,,,,,
Cash Flows,Cash from Investing Activity,-182,,-86,,,,,,,,,
Cash Flows,Cash from Financing Activity,74,,31,,,,,,,,,
Cash Flows,Net Cash Flow,-102,,24,,,,,,,,,
,,,,,,,,,,,,,
Ratios,Debtor Days,39,,54,,,,,,,,,
Ratios,Inventory Days,122,,149,,,,,,,,,
Ratios,Days Payable,8,,65,,,,,,,,,
Ratios,Cash Conversion Cycle,153,,138,,,,,,,,,
Ratios,Working Capital Days,131,,132,,,,,,,,,
Ratios,ROCE %,,,14%,,,,,,,,,
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,58.28%,57.27%,57.27%,66.03%,66.03%,66.03%,60.92%,60.91%,60.91%,60.91%,57.16%,57.15%
Shareholding Pattern (Quarterly),FIIs,6.51%,9.40%,9.49%,2.18%,2.70%,2.11%,2.52%,2.22%,2.81%,2.58%,10.10%,9.55%
Shareholding Pattern (Quarterly),DIIs,0.00%,0.05%,0.23%,0.43%,0.37%,0.37%,0.18%,0.00%,0.00%,0.00%,0.16%,0.38%
Shareholding Pattern (Quarterly),Public,35.21%,33.30%,33.02%,31.35%,30.90%,31.51%,36.38%,36.86%,36.28%,36.52%,32.59%,32.93%
Shareholding Pattern (Quarterly),No. of Shareholders,43563,49733,54056,38508,33471,32856,30703,35945,37850,39806,44373,45720
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,58.28%,,57.27%,,,,60.92%,,,,,
Shareholding Pattern (Yearly),FIIs,6.51%,,9.49%,,,,2.52%,,,,,
Shareholding Pattern (Yearly),DIIs,0.00%,,0.23%,,,,0.18%,,,,,
Shareholding Pattern (Yearly),Public,35.21%,,33.02%,,,,36.38%,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,43563,,54056,,,,30703,,,,,
,,,,,,,,,,,,,
