Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2921,2229,2257,1358,3094,1927,1833,1474,1773,1816,1407,1007,1374,,,,,,,,
Quarterly Results,Expenses,2538,2203,1916,1502,2779,1630,1579,1236,1891,1663,1165,1090,1085,,,,,,,,
Quarterly Results,Operating Profit,383,26,341,-144,315,296,254,239,-118,152,242,-83,288,,,,,,,,
Quarterly Results,OPM %,13%,1%,15%,-11%,10%,15%,14%,16%,-7%,8%,17%,-8%,21%,,,,,,,,
Quarterly Results,Other Income,11,16,250,74,171,30,35,199,710,33,46,589,18,,,,,,,,
Quarterly Results,Interest,294,263,248,236,266,246,256,146,165,146,159,183,111,,,,,,,,
Quarterly Results,Depreciation,53,32,32,32,32,29,28,30,18,26,26,90,22,,,,,,,,
Quarterly Results,Profit before tax,47,-253,312,-338,187,51,5,261,410,14,102,234,173,,,,,,,,
Quarterly Results,Tax %,66%,10%,-2%,-24%,-1%,-4%,161%,30%,40%,118%,38%,117%,48%,,,,,,,,
Quarterly Results,Net Profit,16,-279,319,-258,190,53,-3,182,246,-2,64,-39,90,,,,,,,,
Quarterly Results,EPS in Rs,0.09,-1.66,1.90,-1.54,1.13,0.31,-0.02,1.09,1.46,-0.01,0.38,-0.21,0.50,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,10668,,,,8270,,,,7007,,,,5603,9668,10353,8540,9867,10132,10544,9444,8248
Profit & Loss,Expenses,9480,,,,7722,,,,6336,,,,4969,8830,9108,7500,9103,9401,9763,8600,7857
Profit & Loss,Operating Profit,1188,,,,548,,,,671,,,,634,838,1244,1040,764,731,781,844,391
Profit & Loss,OPM %,11%,,,,7%,,,,10%,,,,11%,9%,12%,12%,8%,7%,7%,9%,5%
Profit & Loss,Other Income,615,,,,497,,,,974,,,,653,159,164,126,-37,-105,-452,487,-122
Profit & Loss,Interest,1036,,,,1012,,,,813,,,,600,1091,1280,1220,1543,1525,808,817,1001
Profit & Loss,Depreciation,138,,,,128,,,,105,,,,164,307,327,250,206,201,177,152,136
Profit & Loss,Profit before tax,628,,,,-94,,,,726,,,,523,-401,-199,-304,-1022,-1100,-657,362,-867
