Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Quarterly Results,Sales,22597,23464,24686,26700,26606,26296,26672,28446,28499,28057,28862,29890,30246,,,,,,,,,
Quarterly Results,Expenses,17545,18489,19261,20335,20743,20931,20743,21659,22382,22264,22493,23030,23764,,,,,,,,,
Quarterly Results,Operating Profit,5052,4975,5425,6365,5863,5365,5929,6787,6117,5793,6369,6860,6482,,,,,,,,,
Quarterly Results,OPM %,22%,21%,22%,24%,22%,20%,22%,24%,21%,21%,22%,23%,21%,,,,,,,,,
Quarterly Results,Other Income,317,409,236,260,453,344,365,370,416,1103,456,477,449,,,,,,,,,
Quarterly Results,Interest,65,64,79,116,94,86,156,140,171,191,131,166,156,,,,,,,,,
Quarterly Results,Depreciation,984,983,998,1137,1027,927,1010,1143,1093,998,1007,1039,1040,,,,,,,,,
Quarterly Results,Profit before tax,4320,4337,4584,5372,5195,4696,5128,5874,5269,5707,5687,6132,5735,,,,,,,,,
Quarterly Results,Tax %,17%,24%,24%,24%,23%,25%,25%,26%,24%,25%,26%,25%,25%,,,,,,,,,
Quarterly Results,Net Profit,3599,3281,3487,4096,3981,3531,3833,4351,3995,4259,4237,4594,4309,,,,,,,,,
Quarterly Results,EPS in Rs,13.24,12.10,12.86,15.09,14.68,13.02,14.12,16.03,14.69,15.69,15.61,16.92,15.88,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,85651,,,,101456,,,,109913,,,,117055,32144,36701,31136,47568,50569,60427,70676,75379,
Profit & Loss,Expenses,65122,,,,78828,,,,85715,,,,91551,24108,28215,24482,37178,39323,46501,53360,55331,
Profit & Loss,Operating Profit,20529,,,,22628,,,,24198,,,,25504,8035,8486,6654,10390,11246,13926,17316,20048,
Profit & Loss,OPM %,24%,,,,22%,,,,22%,,,,22%,25%,23%,21%,22%,22%,23%,24%,27%,
Profit & Loss,Other Income,1067,,,,1358,,,,1495,,,,2485,677,1126,871,1069,1230,943,589,927,
Profit & Loss,Interest,319,,,,353,,,,553,,,,644,114,91,74,89,69,174,505,511,
Profit & Loss,Depreciation,4326,,,,4145,,,,4173,,,,4084,681,404,410,828,1383,2073,3420,4611,
Profit & Loss,Profit before tax,16951,,,,19488,,,,20967,,,,23261,7917,9117,7041,10542,11024,12622,13980,15853,
Profit & Loss,Tax %,20%,,,,24%,,,,25%,,,,25%,18%,20%,20%,18%,21%,20%,21%,30%,
Profit & Loss,Net Profit,13523,,,,14845,,,,15710,,,,17399,6528,7342,5602,8606,8722,10120,11057,11169,
Profit & Loss,EPS in Rs,49.74,,,,54.73,,,,57.86,,,,64.12,23.25,26.02,19.86,30.16,31.32,37.31,40.75,41.07,
Profit & Loss,Dividend Payout %,84%,,,,88%,,,,90%,,,,94%,11%,58%,40%,40%,19%,11%,25%,24%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,543,,,,543,,,,543,,,,543,140,281,,285,278,271,543,543,282
Balance Sheet,Reserves,61371,,,,64862,,,,67720,,,,69112,19410,23943,,32664,36108,41095,50724,59370,27109
Balance Sheet,Borrowings,6343,,,,4794,,,,5758,,,,6276,1018,648,,582,557,4195,7986,6864,1090
Balance Sheet,Other Liabilities,20664,,,,23051,,,,24985,,,,29613,9412,10372,,12231,11046,12788,23566,19270,10859
Balance Sheet,Total Liabilities,88921,,,,93250,,,,99006,,,,105544,29980,35245,,45762,47989,58349,82819,86047,39341
Balance Sheet,Fixed Assets,35077,,,,34619,,,,35063,,,,36172,7444,8275,,15235,18753,22888,37490,37145,9716
Balance Sheet,CWIP,129,,,,40,,,,108,,,,59,531,552,,448,320,235,400,312,611
Balance Sheet,Investments,6351,,,,5495,,,,7137,,,,7564,662,869,,1306,2660,2305,7066,6862,698
Balance Sheet,Other Assets,47364,,,,53096,,,,56698,,,,61749,21343,25548,,28773,26256,32921,37863,41728,28315
Balance Sheet,Total Assets,88921,,,,93250,,,,99006,,,,105544,29980,35245,,45762,47989,58349,82819,86047,39341
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,16900,,,,18009,,,,22448,,,,22261,6457,5539,,8995,8328,8971,13359,19618,3823
Cash Flows,Cash from Investing Activity,1597,,,,-3573,,,,-6608,,,,-4914,-4842,-2088,,-3890,-2236,-3256,-12332,-5665,-2208
Cash Flows,Cash from Financing Activity,-14508,,,,-15881,,,,-15464,,,,-18561,-1308,-3140,,-4517,-5714,-1471,-3168,-11192,-2237
