Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,69.39%,69.39%,69.39%,69.39%,69.39%,69.39%,69.39%,69.39%,69.39%,69.39%,69.39%,69.39%,,,,,,
Shareholding Pattern (Quarterly),FIIs,6.40%,5.16%,4.81%,4.76%,4.73%,3.91%,4.33%,4.48%,4.42%,3.13%,2.31%,2.27%,,,,,,
Shareholding Pattern (Quarterly),DIIs,10.04%,9.72%,10.12%,10.32%,9.04%,8.97%,10.01%,10.82%,10.81%,11.89%,12.67%,13.27%,,,,,,
Shareholding Pattern (Quarterly),Government,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,,,,,,
Shareholding Pattern (Quarterly),Public,14.03%,15.59%,15.53%,15.38%,16.70%,17.58%,16.12%,15.16%,15.25%,15.43%,15.49%,14.91%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,100827,102639,102580,102721,102999,102650,91101,89345,89805,92039,87647,85190,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,69.39%,,,,69.39%,,,,69.39%,69.39%,69.39%,69.39%,69.39%,69.39%,69.39%
Shareholding Pattern (Yearly),FIIs,,,,4.76%,,,,4.48%,,,,2.27%,11.36%,11.63%,11.72%,10.41%,8.87%,5.45%
Shareholding Pattern (Yearly),DIIs,,,,10.32%,,,,10.82%,,,,13.27%,7.04%,5.97%,6.89%,8.34%,7.98%,10.65%
Shareholding Pattern (Yearly),Government,,,,0.14%,,,,0.14%,,,,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%
Shareholding Pattern (Yearly),Public,,,,15.38%,,,,15.16%,,,,14.91%,12.06%,12.87%,11.85%,11.71%,13.62%,14.36%
Shareholding Pattern (Yearly),No. of Shareholders,,,,102721,,,,89345,,,,85190,49817,51776,53250,62321,80978,103076
,,,,,,,,,,,,,,,,,,,
