Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,502,379,559,540,545,388,435,448,514,407,453,448,552,,,,,,,,
Quarterly Results,Expenses,441,356,489,466,457,338,377,383,420,349,378,376,429,,,,,,,,
Quarterly Results,Operating Profit,61,23,70,75,88,50,58,65,94,58,75,72,123,,,,,,,,
Quarterly Results,OPM %,12%,6%,12%,14%,16%,13%,13%,14%,18%,14%,17%,16%,22%,,,,,,,,
Quarterly Results,Other Income,0,3,1,3,0,1,1,0,0,0,0,4,0,,,,,,,,
Quarterly Results,Interest,8,11,11,13,13,14,13,14,15,20,19,19,18,,,,,,,,
Quarterly Results,Depreciation,24,26,27,28,27,28,29,29,32,32,32,33,38,,,,,,,,
Quarterly Results,Profit before tax,29,-12,33,36,49,10,17,22,47,7,25,24,68,,,,,,,,
Quarterly Results,Tax %,28%,-25%,24%,26%,26%,29%,25%,25%,28%,26%,26%,28%,26%,,,,,,,,
Quarterly Results,Net Profit,21,-9,25,26,36,7,13,16,34,5,18,17,50,,,,,,,,
Quarterly Results,EPS in Rs,1.68,-0.72,2.01,2.14,2.92,0.56,1.02,1.31,2.75,0.41,1.48,1.39,4.07,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1943,,,,2023,,,,1785,,,,1860,829,872,926,1014,1296,1590,1507,1720
Profit & Loss,Expenses,1602,,,,1765,,,,1518,,,,1531,642,689,745,813,1054,1291,1234,1398
Profit & Loss,Operating Profit,341,,,,258,,,,267,,,,328,187,182,181,201,242,298,273,323
Profit & Loss,OPM %,18%,,,,13%,,,,15%,,,,18%,23%,21%,20%,20%,19%,19%,18%,19%
Profit & Loss,Other Income,5,,,,5,,,,2,,,,5,34,2,2,-3,4,2,-12,5
Profit & Loss,Interest,31,,,,48,,,,56,,,,75,68,60,62,48,49,58,52,36
Profit & Loss,Depreciation,96,,,,109,,,,118,,,,134,55,64,67,69,86,93,82,85
Profit & Loss,Profit before tax,219,,,,105,,,,96,,,,124,98,60,53,80,112,149,127,206
Profit & Loss,Tax %,27%,,,,26%,,,,27%,,,,27%,35%,32%,23%,16%,31%,31%,33%,36%
Profit & Loss,Net Profit,160,,,,78,,,,70,,,,91,64,40,41,68,77,103,84,133
Profit & Loss,EPS in Rs,13.02,,,,6.36,,,,5.64,,,,7.36,5.17,3.28,3.34,5.49,6.26,8.36,6.85,10.80
Profit & Loss,Dividend Payout %,12%,,,,19%,,,,21%,,,,19%,12%,20%,20%,15%,13%,14%,18%,19%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,25,,,,25,,,,25,16,16,16,16,16,25,25,25
Balance Sheet,Reserves,1043,,,,1109,,,,1163,,,,1238,488,516,547,589,653,732,792,909
Balance Sheet,Borrowings,675,,,,748,,,,818,,,,765,546,547,505,598,635,661,646,610
Balance Sheet,Other Liabilities,470,,,,504,,,,482,,,,502,219,212,206,177,237,268,306,370
Balance Sheet,Total Liabilities,2213,,,,2385,,,,2487,,,,2529,1270,1292,1275,1379,1542,1686,1768,1913
Balance Sheet,Fixed Assets,879,,,,948,,,,1071,,,,1364,644,639,623,668,634,713,735,713
Balance Sheet,CWIP,295,,,,412,,,,414,,,,121,61,62,66,63,118,79,161,254
Balance Sheet,Investments,11,,,,5,,,,5,,,,10,3,3,3,4,3,1,1,1
Balance Sheet,Other Assets,1028,,,,1020,,,,997,,,,1034,562,588,583,645,788,893,871,946
Balance Sheet,Total Assets,2213,,,,2385,,,,2487,,,,2529,1270,1292,1275,1379,1542,1686,1768,1913
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,294,,,,315,,,,187,,,,280,154,102,186,163,139,186,285,229
Cash Flows,Cash from Investing Activity,-284,,,,-292,,,,-174,,,,-136,-23,-43,-64,-102,-110,-125,-164,-156
Cash Flows,Cash from Financing Activity,-6,,,,-8,,,,-27,,,,-144,-124,-69,-124,-63,-25,-55,-101,-97
Cash Flows,Net Cash Flow,4,,,,15,,,,-14,,,,0,7,-10,-2,-2,4,6,20,-24
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,82,,,,80,,,,113,,,,103,39,54,44,92,81,80,82,103
Ratios,Inventory Days,121,,,,104,,,,134,,,,146,302,268,229,189,158,156,147,107
Ratios,Days Payable,91,,,,103,,,,123,,,,133,127,117,101,93,86,68,95,92
Ratios,Cash Conversion Cycle,112,,,,81,,,,124,,,,116,214,205,173,188,153,168,135,118
Ratios,Working Capital Days,98,,,,86,,,,119,,,,114,95,84,97,126,107,114,90,113
Ratios,ROCE %,15%,,,,8%,,,,8%,,,,10%,16%,11%,11%,12%,13%,15%,14%,16%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,68.77%,68.77%,68.82%,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%,68.85%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,3.91%,4.27%,4.40%,4.56%,4.57%,4.81%,6.14%,6.55%,6.66%,6.78%,6.06%,5.70%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.89%,1.37%,1.57%,2.18%,2.78%,3.11%,3.15%,3.53%,3.17%,3.58%,3.48%,3.80%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,26.43%,25.58%,25.20%,24.40%,23.79%,23.22%,21.85%,21.06%,21.32%,20.79%,21.61%,21.65%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,79105,78500,75780,75167,75110,76126,74657,71840,70978,71912,71801,68907,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,68.77%,,,,68.85%,,,,68.85%,,,,68.85%,,,,68.77%,68.77%,68.77%,68.77%,68.77%
Shareholding Pattern (Yearly),FIIs,6.92%,,,,4.56%,,,,6.55%,,,,5.70%,,,,3.29%,4.08%,4.48%,4.86%,5.91%
Shareholding Pattern (Yearly),DIIs,0.89%,,,,2.18%,,,,3.53%,,,,3.80%,,,,9.03%,4.45%,2.27%,2.25%,0.59%
Shareholding Pattern (Yearly),Public,23.42%,,,,24.40%,,,,21.06%,,,,21.65%,,,,18.91%,22.70%,24.48%,24.12%,24.73%
Shareholding Pattern (Yearly),No. of Shareholders,75341,,,,75167,,,,71840,,,,68907,,,,9934,18802,29157,36477,53021
,,,,,,,,,,,,,,,,,,,,,,
