Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,13767,14624,15144,15597,15215,15496,15623,15567,15210,15707,15926,15818,15670,,,,,,,,,
Quarterly Results,Expenses,10466,11222,11665,11903,11643,11832,11828,11902,11675,11965,12139,12123,12052,,,,,,,,,
Quarterly Results,Operating Profit,3301,3402,3479,3694,3572,3664,3795,3665,3535,3742,3787,3695,3618,,,,,,,,,
Quarterly Results,OPM %,24%,23%,23%,24%,23%,24%,24%,24%,23%,24%,24%,23%,23%,,,,,,,,,
Quarterly Results,Other Income,136,121,80,7,240,146,178,184,309,209,203,740,171,,,,,,,,,
Quarterly Results,Interest,38,28,28,29,29,50,88,91,105,93,110,112,80,,,,,,,,,
Quarterly Results,Depreciation,278,281,272,293,291,286,297,313,320,329,338,341,347,,,,,,,,,
Quarterly Results,Profit before tax,3121,3214,3259,3379,3492,3474,3588,3445,3419,3529,3542,3982,3362,,,,,,,,,
Quarterly Results,Tax %,26%,26%,18%,27%,26%,26%,26%,27%,25%,26%,27%,25%,26%,,,,,,,,,
Quarterly Results,Net Profit,2307,2391,2670,2481,2601,2556,2657,2508,2561,2612,2595,2989,2475,,,,,,,,,
Quarterly Results,EPS in Rs,9.81,10.13,11.34,10.53,11.07,10.87,11.30,10.68,10.89,11.11,11.03,12.70,10.49,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,52446,,,,60580,,,,61896,,,,63121,29234,31972,32186,33162,35545,39310,39783,47028,
Profit & Loss,Expenses,39589,,,,46433,,,,47237,,,,48278,24475,26560,26276,26834,28046,30430,29922,35402,
Profit & Loss,Operating Profit,12857,,,,14147,,,,14659,,,,14843,4759,5412,5910,6328,7499,8880,9861,11626,
Profit & Loss,OPM %,25%,,,,23%,,,,24%,,,,24%,16%,17%,18%,19%,21%,23%,25%,25%,
Profit & Loss,Other Income,219,,,,448,,,,817,,,,1322,792,1247,486,606,353,322,424,170,
Profit & Loss,Interest,106,,,,114,,,,334,,,,395,41,18,17,35,26,33,118,117,
Profit & Loss,Depreciation,1091,,,,1137,,,,1216,,,,1355,296,322,353,432,520,565,1002,1074,
Profit & Loss,Profit before tax,11879,,,,13344,,,,13926,,,,14415,5215,6320,6026,6467,7306,8604,9165,10605,
Profit & Loss,Tax %,25%,,,,24%,,,,26%,,,,26%,24%,31%,31%,31%,28%,30%,26%,25%,
Profit & Loss,Net Profit,8892,,,,10143,,,,10282,,,,10671,3956,4376,4151,4490,5227,6060,6756,7999,
Profit & Loss,EPS in Rs,37.79,,,,43.07,,,,43.74,,,,45.32,18.24,20.17,19.18,20.68,24.09,27.97,31.17,34.03,
Profit & Loss,Dividend Payout %,90%,,,,91%,,,,96%,,,,117%,71%,74%,83%,82%,83%,78%,80%,119%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,235,,,,235,,,,235,,,,235,216,216,216,216,216,216,216,235,
Balance Sheet,Reserves,48826,,,,50069,,,,50983,,,,49167,3321,3811,6357,6528,7065,7651,8013,47439,
Balance Sheet,Borrowings,1043,,,,1219,,,,1484,,,,1648,46,43,177,277,0,99,0,0,
Balance Sheet,Other Liabilities,20402,,,,21554,,,,25787,,,,28813,10171,10359,8043,8685,10581,10663,11924,21066,
Balance Sheet,Total Liabilities,70506,,,,73077,,,,78489,,,,79863,13754,14430,14793,15706,17862,18629,20153,68740,
Balance Sheet,Fixed Assets,51473,,,,52678,,,,53744,,,,54335,2746,2821,3258,4419,4528,4715,5479,51443,
Balance Sheet,CWIP,1313,,,,1132,,,,1025,,,,1009,373,516,408,229,461,406,597,745,
Balance Sheet,Investments,3521,,,,2882,,,,4625,,,,3810,2838,3025,2592,3794,2873,2716,1255,2709,
Balance Sheet,Other Assets,14199,,,,16385,,,,19095,,,,20709,7797,8067,8535,7264,10000,10792,12822,13843,
Balance Sheet,Total Assets,70506,,,,73077,,,,78489,,,,79863,13754,14430,14793,15706,17862,18629,20153,68740,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,9048,,,,9991,,,,15469,,,,11886,3818,3292,4171,5185,6059,5800,7623,9163,
Cash Flows,Cash from Investing Activity,-1728,,,,-1484,,,,-5324,,,,6473,-475,138,-282,-1173,-1063,-438,1791,-1228,
Cash Flows,Cash from Financing Activity,-8015,,,,-8953,,,,-10034,,,,-13101,-2960,-3462,-3864,-4214,-4975,-5390,-6819,-9309,
Cash Flows,Net Cash Flow,-695,,,,-446,,,,111,,,,5258,383,-33,25,-202,21,-28,2595,-1374,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,16,,,,19,,,,18,,,,22,13,12,14,12,13,17,11,14,
Ratios,Inventory Days,65,,,,55,,,,55,,,,59,86,77,75,67,65,59,65,66,
Ratios,Days Payable,145,,,,123,,,,143,,,,152,170,148,156,164,185,166,176,163,
Ratios,Cash Conversion Cycle,-64,,,,-50,,,,-70,,,,-71,-72,-60,-67,-85,-107,-90,-101,-83,
Ratios,Working Capital Days,-20,,,,-13,,,,-19,,,,-31,-54,-52,-24,-32,-37,-29,-31,-32,
Ratios,ROCE %,25%,,,,27%,,,,27%,,,,28%,147%,139%,112%,91%,103%,116%,117%,39%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,,,,,,,,,61.90%
Shareholding Pattern (Quarterly),FIIs,,,14.05%,14.32%,14.36%,14.48%,13.90%,13.65%,12.67%,11.87%,12.17%,11.43%,10.62%,,,,,,,,,10.18%
Shareholding Pattern (Quarterly),DIIs,,,11.72%,11.50%,11.51%,11.47%,11.90%,12.31%,13.21%,14.09%,14.13%,14.67%,15.48%,,,,,,,,,16.07%
Shareholding Pattern (Quarterly),Government,,,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.05%,0.05%,0.06%,0.07%,,,,,,,,,0.00%
Shareholding Pattern (Quarterly),Public,,,12.32%,12.23%,12.17%,12.09%,12.26%,12.11%,12.19%,12.11%,11.75%,11.94%,11.93%,,,,,,,,,11.85%
Shareholding Pattern (Quarterly),No. of Shareholders,,,1139754,1118431,1127982,1096270,1176411,1132965,1205416,1210989,1105254,1218001,1233438,,,,,,,,,1167945
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,61.90%,,,,61.90%,,,,61.90%,,,,61.90%,,,,67.20%,67.19%,67.19%,67.18%,61.90%,61.90%
Shareholding Pattern (Yearly),FIIs,13.66%,,,,14.36%,,,,12.67%,,,,10.62%,,,,13.26%,12.56%,11.83%,12.10%,14.95%,10.18%
Shareholding Pattern (Yearly),DIIs,11.61%,,,,11.51%,,,,13.21%,,,,15.48%,,,,5.66%,6.85%,7.03%,6.67%,10.68%,16.07%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.04%,,,,0.04%,,,,0.07%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,12.83%,,,,12.17%,,,,12.19%,,,,11.93%,,,,13.88%,13.39%,13.95%,14.05%,12.47%,11.85%
