Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,595,516,599,569,702,642,746,630,681,867,706,761,734,,,,,,
Quarterly Results,Expenses,565,498,575,541,668,621,719,599,646,824,664,721,699,,,,,,
Quarterly Results,Operating Profit,30,18,24,28,34,21,27,32,35,43,42,40,35,,,,,,
Quarterly Results,OPM %,5%,3%,4%,5%,5%,3%,4%,5%,5%,5%,6%,5%,5%,,,,,,
Quarterly Results,Other Income,1,1,-6,1,0,0,1,0,-0,1,1,0,0,,,,,,
Quarterly Results,Interest,12,10,10,8,8,8,10,9,14,14,14,9,7,,,,,,
Quarterly Results,Depreciation,2,2,2,4,5,3,3,4,6,5,5,6,4,,,,,,
Quarterly Results,Profit before tax,16,6,6,17,21,11,14,19,15,24,24,26,24,,,,,,
Quarterly Results,Tax %,29%,26%,24%,25%,23%,26%,25%,25%,25%,25%,26%,25%,27%,,,,,,
Quarterly Results,Net Profit,11,4,4,13,16,8,11,14,11,18,18,19,18,,,,,,
Quarterly Results,EPS in Rs,0.91,0.37,0.35,1.06,1.24,0.61,0.80,1.05,0.74,1.14,1.03,0.94,0.87,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1879,,,,2386,,,,2699,,,,3068,504,637,1016,1360,1210,1341
Profit & Loss,Expenses,1778,,,,2283,,,,2584,,,,2908,472,598,956,1286,1150,1270
Profit & Loss,Operating Profit,101,,,,103,,,,115,,,,160,32,40,60,75,59,71
Profit & Loss,OPM %,5%,,,,4%,,,,4%,,,,5%,6%,6%,6%,6%,5%,5%
Profit & Loss,Other Income,1,,,,-4,,,,1,,,,2,1,2,1,1,1,1
Profit & Loss,Interest,36,,,,35,,,,42,,,,43,17,20,27,30,30,32
Profit & Loss,Depreciation,10,,,,14,,,,15,,,,21,6,7,4,5,7,8
Profit & Loss,Profit before tax,55,,,,50,,,,59,,,,98,10,15,30,41,24,31
Profit & Loss,Tax %,27%,,,,24%,,,,25%,,,,26%,35%,30%,30%,33%,15%,26%
Profit & Loss,Net Profit,40,,,,38,,,,44,,,,73,6,10,21,27,20,23
Profit & Loss,EPS in Rs,3.29,,,,2.95,,,,2.93,,,,3.59,0.63,1.01,2.04,2.56,1.87,2.03
Profit & Loss,Dividend Payout %,2%,,,,1%,,,,1%,,,,1%,8%,2%,1%,1%,1%,0%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,13,,,,15,,,,20,10,10,10,11,11,11
Balance Sheet,Reserves,246,,,,405,,,,561,,,,1237,56,67,103,136,163,194
Balance Sheet,Borrowings,393,,,,273,,,,402,,,,179,142,180,255,272,312,317
Balance Sheet,Other Liabilities,117,,,,224,,,,200,,,,319,71,103,80,86,82,77
Balance Sheet,Total Liabilities,769,,,,916,,,,1179,,,,1756,279,360,449,505,568,599
