Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.56%,0.59%,1.53%,1.72%,1.73%,1.79%,1.59%,1.45%,1.42%,1.41%,1.36%,1.37%,,,,,,
Shareholding Pattern (Quarterly),DIIs,13.38%,13.43%,13.29%,13.45%,14.40%,14.72%,14.82%,15.31%,16.93%,17.95%,18.18%,18.18%,,,,,,
Shareholding Pattern (Quarterly),Public,19.39%,19.32%,18.51%,18.17%,17.20%,16.81%,16.92%,16.56%,15.00%,13.97%,13.80%,13.78%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,16124,15658,17985,17937,17389,16485,20177,20762,18210,19092,20607,22706,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,66.67%,,,,66.67%,,,,66.67%,67.67%,67.67%,67.67%,67.67%,66.67%,66.67%
Shareholding Pattern (Yearly),FIIs,,,,1.72%,,,,1.45%,,,,1.37%,0.12%,0.41%,0.34%,0.35%,1.01%,0.46%
Shareholding Pattern (Yearly),DIIs,,,,13.45%,,,,15.31%,,,,18.18%,4.95%,6.88%,7.87%,10.26%,11.29%,12.27%
Shareholding Pattern (Yearly),Public,,,,18.17%,,,,16.56%,,,,13.78%,27.26%,25.04%,24.13%,21.73%,21.04%,20.60%
Shareholding Pattern (Yearly),No. of Shareholders,,,,17937,,,,20762,,,,22706,13463,16412,16494,15403,17814,16139
,,,,,,,,,,,,,,,,,,,
