Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,325,296,302,302,363,321,350,366,424,393,422,392,493,,,,,,,,
Quarterly Results,Expenses,280,258,264,265,318,281,303,316,369,337,362,337,410,,,,,,,,
Quarterly Results,Operating Profit,46,38,38,37,45,40,47,50,55,56,61,56,82,,,,,,,,
Quarterly Results,OPM %,14%,13%,13%,12%,12%,12%,13%,14%,13%,14%,14%,14%,17%,,,,,,,,
Quarterly Results,Other Income,1,1,1,1,1,1,1,1,2,1,1,1,2,,,,,,,,
Quarterly Results,Interest,17,18,19,19,20,22,22,22,24,24,22,21,23,,,,,,,,
Quarterly Results,Depreciation,12,11,10,8,8,9,9,9,12,10,11,11,11,,,,,,,,
Quarterly Results,Profit before tax,17,10,10,10,17,11,17,19,21,23,29,24,51,,,,,,,,
Quarterly Results,Tax %,22%,35%,35%,35%,36%,36%,35%,37%,36%,26%,26%,26%,27%,,,,,,,,
Quarterly Results,Net Profit,14,6,6,6,11,7,11,12,14,17,22,18,37,,,,,,,,
Quarterly Results,EPS in Rs,2.10,0.98,0.98,0.99,1.75,1.08,1.71,1.86,2.13,2.65,3.35,2.81,5.78,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1014,,,,1262,,,,1461,,,,1700,1011,1047,1116,986,1036,1158,977,875
Profit & Loss,Expenses,889,,,,1105,,,,1268,,,,1446,906,922,975,862,926,1025,851,756
Profit & Loss,Operating Profit,125,,,,157,,,,193,,,,255,105,125,141,124,110,134,126,119
Profit & Loss,OPM %,12%,,,,12%,,,,13%,,,,15%,10%,12%,13%,13%,11%,12%,13%,14%
Profit & Loss,Other Income,4,,,,4,,,,3,,,,5,5,5,5,5,4,4,4,4
Profit & Loss,Interest,68,,,,75,,,,90,,,,90,59,70,78,68,51,58,61,64
Profit & Loss,Depreciation,47,,,,38,,,,39,,,,42,13,16,19,24,23,32,37,45
Profit & Loss,Profit before tax,14,,,,47,,,,68,,,,128,38,44,48,37,40,48,31,14
Profit & Loss,Tax %,44%,,,,35%,,,,36%,,,,26%,25%,21%,24%,30%,32%,32%,28%,27%
Profit & Loss,Net Profit,8,,,,30,,,,44,,,,94,28,35,37,26,28,33,22,10
Profit & Loss,EPS in Rs,1.21,,,,4.69,,,,6.77,,,,14.58,15.28,18.64,7.89,4.01,4.27,5.06,3.39,1.55
Profit & Loss,Dividend Payout %,12%,,,,21%,,,,15%,,,,7%,1%,1%,1%,37%,23%,4%,4%,10%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,64,,,,64,,,,64,,,,64,19,19,46,64,64,64,64,64
Balance Sheet,Reserves,700,,,,729,,,,764,,,,851,291,300,308,624,640,664,684,694
Balance Sheet,Borrowings,597,,,,600,,,,627,,,,639,424,514,579,376,486,526,586,582
Balance Sheet,Other Liabilities,276,,,,307,,,,419,,,,540,252,308,405,363,331,266,234,250
