Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,108.23,75.90,41.28,120.30,81.61,65.22,55.60,31.11,105.79,120.32,98.94,92.46,96.75,,,,,,,,
Quarterly Results,Expenses,157.91,70.44,15.51,90.42,69.03,41.28,34.43,23.38,260.79,105.96,38.41,59.57,88.30,,,,,,,,
Quarterly Results,Operating Profit,-49.68,5.46,25.77,29.88,12.58,23.94,21.17,7.73,-155.00,14.36,60.53,32.89,8.45,,,,,,,,
Quarterly Results,OPM %,-45.90%,7.19%,62.43%,24.84%,15.41%,36.71%,38.08%,24.85%,-146.52%,11.93%,61.18%,35.57%,8.73%,,,,,,,,
Quarterly Results,Other Income,10.21,3.87,4.52,4.32,4.20,4.48,4.97,10.50,84.36,5.68,40.37,27.82,44.01,,,,,,,,
Quarterly Results,Interest,38.40,20.55,34.34,24.01,15.16,32.13,14.97,11.15,16.16,14.28,64.55,37.27,18.82,,,,,,,,
Quarterly Results,Depreciation,0.92,0.93,0.68,0.78,0.80,0.75,0.76,0.75,0.75,0.72,0.65,0.64,0.65,,,,,,,,
Quarterly Results,Profit before tax,-78.79,-12.15,-4.73,9.41,0.82,-4.46,10.41,6.33,-87.55,5.04,35.70,22.80,32.99,,,,,,,,
Quarterly Results,Tax %,7.02%,27.57%,-714.38%,-19.87%,-3.66%,-104.04%,24.21%,19.43%,1.80%,-20.04%,18.32%,30.70%,87.33%,,,,,,,,
Quarterly Results,Net Profit,-84.14,-17.14,28.74,14.16,4.74,-1.18,2.52,2.60,-90.11,4.59,19.20,20.24,1.89,,,,,,,,
Quarterly Results,EPS in Rs,-11.45,-2.36,4.09,1.52,0.64,-0.19,0.34,0.28,-11.08,0.68,1.29,1.61,0.26,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,190,,,,319,,,,258,,,,408,473,443,407,542,564,471,273,266
Profit & Loss,Expenses,250,,,,230,,,,308,,,,292,174,117,58,174,526,314,113,283
Profit & Loss,Operating Profit,-60,,,,89,,,,-50,,,,116,300,326,348,368,39,156,160,-17
Profit & Loss,OPM %,-31%,,,,28%,,,,-19%,,,,28%,63%,74%,86%,68%,7%,33%,59%,-6%
Profit & Loss,Other Income,24,,,,2,,,,52,,,,118,73,98,32,33,291,65,-45,-4
Profit & Loss,Interest,87,,,,94,,,,74,,,,135,357,403,383,424,351,218,139,105
Profit & Loss,Depreciation,4,,,,3,,,,3,,,,3,10,10,4,3,3,3,4,4
Profit & Loss,Profit before tax,-127,,,,-7,,,,-75,,,,97,7,11,-7,-26,-25,-0,-29,-130
Profit & Loss,Tax %,3%,,,,-486%,,,,1%,,,,43%,-225%,87%,-35%,22%,-9%,3713%,59%,-0%
Profit & Loss,Net Profit,-128,,,,30,,,,-86,,,,46,23,0,-25,-41,-26,-16,-61,-122
Profit & Loss,EPS in Rs,-17.65,,,,4.00,,,,-10.78,,,,3.43,3.15,0.10,-3.32,-5.60,-3.60,-2.07,-8.33,-16.72
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,32%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,73,,,,76,,,,80,,,,136,73,73,73,73,73,73,73,73
Balance Sheet,Reserves,1216,,,,1229,,,,1178,,,,2273,1617,1626,1617,1578,1549,1530,1460,1339
Balance Sheet,Borrowings,785,,,,966,,,,1041,,,,793,1767,1780,1605,1758,987,882,696,766
Balance Sheet,Other Liabilities,2628,,,,2232,,,,2610,,,,2217,1446,1559,1389,1518,2266,2238,2269,2249
Balance Sheet,Total Liabilities,4702,,,,4504,,,,4909,,,,5418,4903,5039,4684,4927,4875,4722,4497,4426
Balance Sheet,Fixed Assets,69,,,,66,,,,138,,,,135,200,155,103,94,90,88,86,70
Balance Sheet,CWIP,17,,,,17,,,,17,,,,17,12,13,14,10,12,14,17,17
Balance Sheet,Investments,1231,,,,1124,,,,107,,,,98,368,286,1723,1711,1707,1619,1517,1253
Balance Sheet,Other Assets,3385,,,,3297,,,,4648,,,,5168,4323,4585,2844,3112,3066,3001,2877,3087
