Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,16624,18660,16875,17671,17344,17260,16648,17940,,,
Quarterly Results,Expenses,14626,16220,14701,15149,15004,15055,14772,15408,,,
Quarterly Results,Operating Profit,1997,2440,2173,2522,2340,2205,1876,2533,,,
Quarterly Results,OPM %,12%,13%,13%,14%,13%,13%,11%,14%,,,
Quarterly Results,Other Income,388,383,369,333,224,192,244,210,,,
Quarterly Results,Interest,37,35,49,37,32,29,30,36,,,
Quarterly Results,Depreciation,560,557,534,558,529,519,527,530,,,
Quarterly Results,Profit before tax,1788,2232,1960,2260,2003,1850,1563,2175,,,
Quarterly Results,Tax %,26%,27%,27%,26%,26%,26%,26%,26%,,,
Quarterly Results,Net Profit,1329,1628,1425,1677,1490,1375,1161,1614,,,
Quarterly Results,EPS in Rs,,,,,18.33,16.93,14.29,19.87,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,,69829,,,,69193,40972,47378,60308
Profit & Loss,Expenses,,,,60696,,,,60239,36724,41887,52753
Profit & Loss,Operating Profit,,,,9133,,,,8954,4249,5491,7554
Profit & Loss,OPM %,,,,13%,,,,13%,10%,12%,13%
Profit & Loss,Other Income,,,,1473,,,,870,430,582,1124
Profit & Loss,Interest,,,,158,,,,127,165,132,142
Profit & Loss,Depreciation,,,,2208,,,,2105,1973,2170,2190
Profit & Loss,Profit before tax,,,,8240,,,,7591,2540,3772,6346
Profit & Loss,Tax %,,,,26%,,,,26%,26%,23%,26%
Profit & Loss,Net Profit,,,,6060,,,,5640,1881,2902,4709
Profit & Loss,EPS in Rs,,,,,,,,69.41,,,
Profit & Loss,Dividend Payout %,,,,178%,,,,30%,72%,51%,99%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,813,,,,813,813,813,813
Balance Sheet,Reserves,,,,9853,,,,15484,14499,16044,19242
Balance Sheet,Borrowings,,,,833,,,,850,1354,1178,1189
Balance Sheet,Other Liabilities,,,,14850,,,,12951,10065,10324,13329
Balance Sheet,Total Liabilities,,,,26349,,,,30097,26731,28358,34573
Balance Sheet,Fixed Assets,,,,7614,,,,7105,7288,6671,6150
Balance Sheet,CWIP,,,,653,,,,4718,818,529,1337
Balance Sheet,Investments,,,,0,,,,0,0,0,0
Balance Sheet,Other Assets,,,,18082,,,,18274,18625,21158,27086
Balance Sheet,Total Assets,,,,26349,,,,30097,26731,28358,34573
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,9252,,,,4345,5423,5138,6564
Cash Flows,Cash from Investing Activity,,,,-10090,,,,-414,-2224,-910,-1383
Cash Flows,Cash from Financing Activity,,,,-15930,,,,-63,143,-1662,-1579
Cash Flows,Net Cash Flow,,,,-16768,,,,3868,3342,2566,3602
,,,,,,,,,,,,
Ratios,Debtor Days,,,,13,,,,13,22,17,18
Ratios,Inventory Days,,,,23,,,,25,30,29,28
Ratios,Days Payable,,,,53,,,,52,71,55,60
Ratios,Cash Conversion Cycle,,,,-16,,,,-14,-19,-9,-15
Ratios,Working Capital Days,,,,-30,,,,-19,-26,-23,-24
Ratios,ROCE %,,,,51%,,,,54%,,23%,33%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,82.50%,82.50%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,6.70%,7.17%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,7.13%,7.00%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,3.67%,3.32%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,1262367,1151436,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,82.50%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,7.17%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,7.00%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,3.32%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,1151436,,,
,,,,,,,,,,,,
