Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,0.28,0.39,0.46,0.48,0.60,0.50,0.57,0.50,0.71,0.52,0.53,0.51,2.35,,,,,,,,
Quarterly Results,Expenses,0.12,0.60,0.22,0.46,0.53,0.38,0.38,0.29,0.38,0.39,0.27,0.35,0.84,,,,,,,,
Quarterly Results,Operating Profit,0.16,-0.21,0.24,0.02,0.07,0.12,0.19,0.21,0.33,0.13,0.26,0.16,1.51,,,,,,,,
Quarterly Results,OPM %,57.14%,-53.85%,52.17%,4.17%,11.67%,24.00%,33.33%,42.00%,46.48%,25.00%,49.06%,31.37%,64.26%,,,,,,,,
Quarterly Results,Other Income,6.58,0.09,1.48,-0.09,-0.65,0.99,0.81,-0.05,0.20,0.71,0.70,0.39,-0.48,,,,,,,,
Quarterly Results,Interest,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,
Quarterly Results,Depreciation,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,,,,,,,
Quarterly Results,Profit before tax,6.65,-0.23,1.62,-0.17,-0.69,1.00,0.89,0.05,0.42,0.73,0.85,0.44,0.92,,,,,,,,
Quarterly Results,Tax %,1.05%,4.35%,1.23%,11.76%,15.94%,6.00%,4.49%,220.00%,26.19%,5.48%,23.53%,277.27%,8.70%,,,,,,,,
Quarterly Results,Net Profit,6.58,-0.23,1.61,-0.19,-0.80,0.94,0.85,-0.06,0.31,0.69,0.65,-0.77,0.84,,,,,,,,
Quarterly Results,EPS in Rs,5.05,-0.18,1.24,-0.15,-0.61,0.72,0.65,-0.05,0.24,0.53,0.50,-0.59,0.64,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1.42,,,,1.92,,,,2.28,,,,3.90,5.06,5.60,4.83,2.80,6.45,3.28,3.11,3.09
Profit & Loss,Expenses,1.67,,,,1.79,,,,1.44,,,,1.84,4.41,4.53,4.14,2.09,1.91,5.28,3.76,1.71
