Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,10240,10410,10615,10621,10532,10656,10716,10673,10607,10508,10932,11117,11014,,,,,,,,,
Quarterly Results,Expenses,5590,6082,6517,6440,6322,6499,6435,6324,6274,6304,6383,6405,6354,,,,,,,,,
Quarterly Results,Operating Profit,4649,4328,4097,4181,4210,4156,4282,4349,4333,4205,4550,4712,4660,,,,,,,,,
Quarterly Results,OPM %,45%,42%,39%,39%,40%,39%,40%,41%,41%,40%,42%,42%,42%,,,,,,,,,
Quarterly Results,Other Income,19,84,96,38,71,21,34,780,32,256,300,250,217,,,,,,,,,
Quarterly Results,Interest,5316,5901,6129,6323,5002,6398,6569,6518,6280,5519,6614,5940,6471,,,,,,,,,
Quarterly Results,Depreciation,5913,5804,5656,5886,5704,5616,5667,5598,5751,5369,5404,5629,5571,,,,,,,,,
Quarterly Results,Profit before tax,-6561,-7293,-7591,-7990,-6424,-7837,-7920,-6987,-7666,-6427,-7168,-6607,-7166,,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,-0%,0%,10%,-0%,0%,0%,0%,0%,0%,,,,,,,,,
Quarterly Results,Net Profit,-6563,-7297,-7596,-7990,-6419,-7840,-8738,-6986,-7675,-6432,-7176,-6609,-7166,,,,,,,,,
Quarterly Results,EPS in Rs,-2.04,-2.27,-2.36,-2.49,-1.32,-1.61,-1.79,-1.44,-1.53,-0.95,-1.03,-0.95,-1.00,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,38516,,,,42177,,,,42652,,,,43571,26519,31571,35949,35576,28279,37092,44958,41952,
Profit & Loss,Expenses,22547,,,,25424,,,,25580,,,,25445,18237,20771,24281,25348,22224,32976,30042,25006,
Profit & Loss,Operating Profit,15968,,,,16753,,,,17072,,,,18127,8282,10800,11668,10227,6054,4116,14916,16946,
Profit & Loss,OPM %,41%,,,,40%,,,,40%,,,,42%,31%,34%,32%,29%,21%,11%,33%,40%,
Profit & Loss,Other Income,363,,,,354,,,,917,,,,1022,247,497,641,746,703,1789,-36964,-19563,
Profit & Loss,Interest,20981,,,,23354,,,,25766,,,,24543,966,1060,1803,4010,4847,9545,15393,17998,
Profit & Loss,Depreciation,23584,,,,23050,,,,22634,,,,21973,4519,5304,6256,7827,8409,14536,24356,23638,
Profit & Loss,Profit before tax,-28234,,,,-29298,,,,-30410,,,,-27368,3044,4933,4250,-863,-6499,-18175,-61797,-44253,
Profit & Loss,Tax %,0%,,,,0%,,,,3%,,,,0%,35%,35%,36%,-54%,-36%,-20%,20%,-0%,
Profit & Loss,Net Profit,-28245,,,,-29301,,,,-31238,,,,-27383,1968,3193,2728,-400,-4168,-14604,-73878,-44233,
Profit & Loss,EPS in Rs,-8.79,,,,-6.02,,,,-6.23,,,,-3.84,1.80,2.70,2.30,-0.34,-2.91,-5.08,-25.71,-15.39,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,7%,7%,8%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,32119,,,,48680,,,,50120,,,,71393,3320,3598,3601,3605,4359,8736,28735,28735,
Balance Sheet,Reserves,-94084,,,,-123039,,,,-154287,,,,-141713,13205,19429,19950,21127,22903,50899,-22756,-66963,
Balance Sheet,Borrowings,213761,,,,237766,,,,243809,,,,233229,20637,26859,40541,55055,57985,125940,114996,201720,
Balance Sheet,Other Liabilities,42233,,,,43836,,,,45355,,,,34958,9396,10580,16034,16881,13264,44078,105942,39986,
Balance Sheet,Total Liabilities,194029,,,,207243,,,,184997,,,,197867,46557,60467,80126,96668,98511,229652,226918,203478,
Balance Sheet,Fixed Assets,156819,,,,156255,,,,140125,,,,157060,29602,35540,65190,76763,79692,177800,185836,167490,
