Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,872,1266,1233,1686,1625,1466,1433,1964,1905,1550,1826,2533,2425,,,,,,,,
Quarterly Results,Expenses,713,888,939,1089,1090,1056,1078,1231,1246,1101,1325,1571,1568,,,,,,,,
Quarterly Results,Operating Profit,159,378,294,597,535,410,355,732,660,450,501,962,857,,,,,,,,
Quarterly Results,OPM %,18%,30%,24%,35%,33%,28%,25%,37%,35%,29%,27%,38%,35%,,,,,,,,
Quarterly Results,Other Income,99,18,37,58,29,49,48,40,46,46,371,59,59,,,,,,,,
Quarterly Results,Interest,79,62,60,57,57,57,59,53,52,50,52,52,54,,,,,,,,
Quarterly Results,Depreciation,102,103,103,103,108,109,111,114,120,117,125,134,142,,,,,,,,
Quarterly Results,Profit before tax,77,231,169,495,400,294,232,605,535,328,696,834,720,,,,,,,,
Quarterly Results,Tax %,-3%,28%,26%,23%,24%,28%,31%,28%,26%,29%,18%,26%,25%,,,,,,,,
Quarterly Results,Net Profit,72,181,130,404,339,236,179,477,438,260,583,633,563,,,,,,,,
Quarterly Results,EPS in Rs,0.52,1.20,0.86,2.69,2.31,1.57,1.18,3.18,2.93,1.75,3.90,4.09,3.67,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3056,,,,5810,,,,6769,,,,8335,4066,4189,4023,4021,4104,4512,4463,1575
Profit & Loss,Expenses,2651,,,,4005,,,,4609,,,,5565,3504,3762,3411,3411,3432,3682,3496,1937
Profit & Loss,Operating Profit,405,,,,1805,,,,2160,,,,2769,562,427,612,610,671,830,968,-362
Profit & Loss,OPM %,13%,,,,31%,,,,32%,,,,33%,14%,10%,15%,15%,16%,18%,22%,-23%
Profit & Loss,Other Income,171,,,,142,,,,181,,,,535,-497,-193,-43,44,83,90,173,325
Profit & Loss,Interest,428,,,,236,,,,220,,,,208,169,176,376,324,269,190,341,403
Profit & Loss,Depreciation,406,,,,416,,,,454,,,,518,308,291,285,299,301,328,404,410
Profit & Loss,Profit before tax,-258,,,,1295,,,,1666,,,,2578,-412,-232,-91,31,184,402,396,-850
Profit & Loss,Tax %,-14%,,,,25%,,,,28%,,,,24%,27%,49%,99%,372%,66%,39%,11%,-18%
Profit & Loss,Net Profit,-265,,,,1053,,,,1330,,,,2038,-536,-347,-203,-46,104,296,364,-796
Profit & Loss,EPS in Rs,-1.74,,,,7.06,,,,8.85,,,,13.40,-5.14,-3.51,-1.75,-0.48,0.76,2.17,2.68,-5.45
Profit & Loss,Dividend Payout %,-23%,,,,14%,,,,20%,,,,17%,0%,0%,-13%,-55%,47%,21%,17%,-7%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,142,,,,142,,,,142,,,,142,81,81,99,99,119,119,119,119
Balance Sheet,Reserves,6920,,,,7840,,,,9314,,,,11018,2556,2146,2481,2419,4062,4229,4238,3530
Balance Sheet,Borrowings,3888,,,,3139,,,,2736,,,,3084,4252,5074,4526,3383,2427,2326,4501,5518
Balance Sheet,Other Liabilities,2052,,,,2391,,,,2541,,,,3371,2626,2582,2691,2698,2706,2840,2584,2268
Balance Sheet,Total Liabilities,13002,,,,13512,,,,14733,,,,17616,9514,9884,9797,8599,9314,9514,11442,11435
Balance Sheet,Fixed Assets,8415,,,,8819,,,,9311,,,,10918,6215,6299,6762,5815,6163,6422,8059,8438
Balance Sheet,CWIP,194,,,,332,,,,256,,,,633,554,306,290,223,197,116,244,165
Balance Sheet,Investments,1967,,,,1891,,,,2261,,,,2279,1427,1587,1515,1244,1511,1335,1427,1483
Balance Sheet,Other Assets,2426,,,,2470,,,,2905,,,,3786,1318,1692,1231,1317,1443,1641,1712,1349
Balance Sheet,Total Assets,13002,,,,13512,,,,14733,,,,17616,9514,9884,9797,8599,9314,9514,11442,11435
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,672,,,,1619,,,,1935,,,,2194,539,495,619,535,492,711,823,-319
Cash Flows,Cash from Investing Activity,-1641,,,,-138,,,,-1208,,,,-1869,-297,-726,341,848,-521,-387,-497,-118
Cash Flows,Cash from Financing Activity,1659,,,,-1528,,,,-985,,,,-547,-212,491,-1196,-1381,96,-343,-265,280
Cash Flows,Net Cash Flow,689,,,,-47,,,,-257,,,,-222,30,260,-237,1,67,-19,62,-157
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,30,,,,28,,,,26,,,,28,25,26,22,25,29,26,24,51
