Section,,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Quarterly Results,Sales,75,86,96,130,,,,,
Quarterly Results,Expenses,63,73,81,112,,,,,
Quarterly Results,Operating Profit,12,13,15,18,,,,,
Quarterly Results,OPM %,16%,15%,15%,14%,,,,,
Quarterly Results,Other Income,1,0,0,2,,,,,
Quarterly Results,Interest,6,6,7,5,,,,,
Quarterly Results,Depreciation,3,2,3,3,,,,,
Quarterly Results,Profit before tax,4,5,6,12,,,,,
Quarterly Results,Tax %,34%,26%,30%,-14%,,,,,
Quarterly Results,Net Profit,2,4,4,14,,,,,
Quarterly Results,EPS in Rs,0.62,0.91,1.01,2.81,,,,,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,,,387,245,268,320,356,360
Profit & Loss,Expenses,,,,329,211,227,266,297,297
Profit & Loss,Operating Profit,,,,58,34,41,54,59,63
Profit & Loss,OPM %,,,,15%,14%,15%,17%,17%,18%
Profit & Loss,Other Income,,,,3,2,0,-2,-0,-1
Profit & Loss,Interest,,,,24,20,21,24,28,28
Profit & Loss,Depreciation,,,,11,8,8,9,9,10
Profit & Loss,Profit before tax,,,,26,8,12,19,22,24
Profit & Loss,Tax %,,,,10%,39%,28%,29%,31%,35%
Profit & Loss,Net Profit,,,,24,5,9,14,15,16
Profit & Loss,EPS in Rs,,,,4.90,5.26,9.14,7.31,8.19,4.15
Profit & Loss,Dividend Payout %,,,,0%,0%,0%,0%,0%,0%
,,,,,,,,,,
Balance Sheet,Equity Capital,,,,48,9,9,19,19,38
Balance Sheet,Reserves,,,,483,245,253,256,272,280
Balance Sheet,Borrowings,,,,173,198,235,275,281,272
Balance Sheet,Other Liabilities,,,,57,34,53,70,52,59
Balance Sheet,Total Liabilities,,,,762,486,550,620,623,648
Balance Sheet,Fixed Assets,,,,214,172,184,194,206,202
Balance Sheet,CWIP,,,,9,18,14,20,8,5
Balance Sheet,Investments,,,,0,0,0,1,0,0
Balance Sheet,Other Assets,,,,539,296,352,405,408,441
Balance Sheet,Total Assets,,,,762,486,550,620,623,648
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,53,28,12,10,30,41
Cash Flows,Cash from Investing Activity,,,,-75,-15,-16,-26,-8,-3
Cash Flows,Cash from Financing Activity,,,,68,-13,5,16,-22,-26
Cash Flows,Net Cash Flow,,,,46,-0,1,0,-0,12
,,,,,,,,,,
Ratios,Debtor Days,,,,102,101,100,82,76,106
Ratios,Inventory Days,,,,279,345,347,299,264,273
Ratios,Days Payable,,,,52,48,37,86,50,58
Ratios,Cash Conversion Cycle,,,,328,398,410,295,290,320
Ratios,Working Capital Days,,,,283,285,260,273,267,294
Ratios,ROCE %,,,,8%,,7%,9%,9%,9%
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,69.44%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,0.82%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,5.97%,,,,,
Shareholding Pattern (Quarterly),Public,,,,23.77%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,58000,,,,,
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,69.44%,,,,,
Shareholding Pattern (Yearly),FIIs,,,,0.82%,,,,,
Shareholding Pattern (Yearly),DIIs,,,,5.97%,,,,,
Shareholding Pattern (Yearly),Public,,,,23.77%,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,58000,,,,,
,,,,,,,,,,
