Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,175292,223411,208757,205715,203872,198551,179246,199906,198650,193845,174976,194014,195270,,,,,,,,
Quarterly Results,Expenses,161019,217996,205477,201411,186236,174851,156075,183172,186675,183925,171509,186442,180241,,,,,,,,
Quarterly Results,Operating Profit,14273,5415,3280,4304,17637,23700,23171,16733,11975,9920,3467,7573,15029,,,,,,,,
Quarterly Results,OPM %,8%,2%,2%,2%,9%,12%,13%,8%,6%,5%,2%,4%,8%,,,,,,,,
Quarterly Results,Other Income,717,994,1031,1731,1368,970,829,1916,1686,1104,2556,1936,1519,,,,,,,,
Quarterly Results,Interest,1806,1908,1554,2122,1957,1743,1977,1958,2147,2080,2546,2458,2178,,,,,,,,
Quarterly Results,Depreciation,3292,3158,3283,3451,3288,3476,3610,4686,4094,4103,4065,4284,4325,,,,,,,,
Quarterly Results,Profit before tax,9891,1344,-527,462,13759,19450,18413,12005,7420,4841,-589,2766,10045,,,,,,,,
Quarterly Results,Tax %,28%,34%,73%,-93%,21%,24%,26%,23%,26%,23%,-24%,22%,17%,,,,,,,,
Quarterly Results,Net Profit,7089,883,-910,890,10841,14735,13713,9225,5488,3723,-449,2147,8368,,,,,,,,
Quarterly Results,EPS in Rs,4.71,-0.20,-0.70,0.55,7.29,10.22,9.29,6.39,3.65,2.50,-0.12,1.50,5.75,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,589321,,,,841756,,,,776352,,,,758106,488345,449507,346045,355379,421492,528158,483763,363950
Profit & Loss,Expenses,541563,,,,811073,,,,700706,,,,722115,471123,438932,324007,321230,379834,492896,467710,324021
Profit & Loss,Operating Profit,47758,,,,30683,,,,75646,,,,35991,17222,10575,22038,34149,41658,35262,16053,39929
Profit & Loss,OPM %,8%,,,,4%,,,,10%,,,,5%,4%,2%,6%,10%,10%,7%,3%,11%
Profit & Loss,Other Income,4332,,,,5124,,,,5389,,,,7112,5064,5860,5219,4356,4331,4097,-7165,4696
Profit & Loss,Interest,5454,,,,7588,,,,7881,,,,9262,5948,4201,3487,3743,3875,4925,5792,2933
