Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1289,1586,1601,1546,1512,1585,2034,2053,2033,2093,2355,2245,2247,,,,,,,,
Quarterly Results,Expenses,1070,1317,1341,1330,1331,1278,1673,1722,1711,1700,1913,1782,1818,,,,,,,,
Quarterly Results,Operating Profit,219,269,260,216,181,308,361,331,322,393,441,463,429,,,,,,,,
Quarterly Results,OPM %,17%,17%,16%,14%,12%,19%,18%,16%,16%,19%,19%,21%,19%,,,,,,,,
Quarterly Results,Other Income,15,22,36,31,36,45,-1,91,-118,21,26,20,-179,,,,,,,,
Quarterly Results,Interest,3,7,9,11,18,31,44,33,29,24,23,17,22,,,,,,,,
Quarterly Results,Depreciation,61,62,64,67,70,69,90,100,98,99,100,98,100,,,,,,,,
Quarterly Results,Profit before tax,170,223,223,169,129,252,225,289,77,290,345,368,128,,,,,,,,
Quarterly Results,Tax %,17%,33%,35%,32%,37%,34%,39%,23%,96%,31%,29%,25%,49%,,,,,,,,
Quarterly Results,Net Profit,132,145,146,110,78,164,136,221,1,199,246,276,64,,,,,,,,
Quarterly Results,EPS in Rs,5.13,5.64,5.67,4.25,3.02,6.42,5.72,7.09,2.35,7.58,9.05,9.78,2.67,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,5797,,,,6204,,,,7662,,,,8940,3282,3144,2867,3156,3258,3746,4619,5395
Profit & Loss,Expenses,4472,,,,5272,,,,6338,,,,7213,2539,2604,2573,2705,2803,3051,3715,3843
Profit & Loss,Operating Profit,1325,,,,932,,,,1324,,,,1726,743,541,294,451,455,695,904,1552
Profit & Loss,OPM %,23%,,,,15%,,,,17%,,,,19%,23%,17%,10%,14%,14%,19%,20%,29%
Profit & Loss,Other Income,54,,,,123,,,,17,,,,-112,21,32,21,11,41,56,65,59
Profit & Loss,Interest,11,,,,48,,,,141,,,,85,30,32,35,27,28,22,20,12
Profit & Loss,Depreciation,232,,,,262,,,,357,,,,398,103,180,163,173,178,182,210,209
Profit & Loss,Profit before tax,1136,,,,745,,,,843,,,,1131,631,361,117,262,291,546,739,1389
Profit & Loss,Tax %,20%,,,,34%,,,,37%,,,,30%,24%,28%,18%,26%,18%,19%,18%,17%
Profit & Loss,Net Profit,890,,,,479,,,,523,,,,785,479,254,93,195,239,442,604,1141
Profit & Loss,EPS in Rs,34.85,,,,18.58,,,,21.57,,,,29.08,18.96,10.07,3.69,7.71,9.49,17.60,23.99,44.94
Profit & Loss,Dividend Payout %,11%,,,,22%,,,,19%,,,,14%,13%,5%,0%,6%,5%,9%,10%,9%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,25,,,,25,,,,25,25,25,25,25,25,25,25,25
Balance Sheet,Reserves,5439,,,,5817,,,,6307,,,,6923,1934,2183,2234,2430,2663,3097,3602,4676
Balance Sheet,Borrowings,807,,,,1481,,,,1438,,,,1363,603,935,867,716,628,465,501,265
Balance Sheet,Other Liabilities,1349,,,,1300,,,,3326,,,,3449,648,669,765,788,799,961,1130,1099
Balance Sheet,Total Liabilities,7622,,,,8623,,,,11097,,,,11761,3211,3812,3892,3960,4116,4549,5258,6066
Balance Sheet,Fixed Assets,2402,,,,2751,,,,4554,,,,4272,1354,1800,2014,1983,1953,1940,2059,2072
Balance Sheet,CWIP,306,,,,140,,,,343,,,,616,165,267,129,95,73,66,133,235
Balance Sheet,Investments,989,,,,626,,,,862,,,,980,9,16,26,136,87,120,310,505
Balance Sheet,Other Assets,3924,,,,5105,,,,5339,,,,5892,1683,1729,1723,1746,2003,2422,2756,3254
Balance Sheet,Total Assets,7622,,,,8623,,,,11097,,,,11761,3211,3812,3892,3960,4116,4549,5258,6066
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,856,,,,806,,,,945,,,,1321,522,468,709,282,341,501,570,1090
Cash Flows,Cash from Investing Activity,-851,,,,-725,,,,-1215,,,,-870,-369,-689,-218,-149,-135,-165,-509,-521
Cash Flows,Cash from Financing Activity,427,,,,507,,,,-553,,,,-283,-136,251,-462,-159,-130,-183,-137,-306
Cash Flows,Net Cash Flow,432,,,,588,,,,-823,,,,169,18,29,29,-26,75,153,-76,264
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,57,,,,58,,,,80,,,,77,50,41,57,58,67,66,71,55
Ratios,Inventory Days,337,,,,276,,,,350,,,,336,272,293,289,290,286,316,294,337
