Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,177,218,251,218,198,201,202,151,126,220,229,172,207,
Quarterly Results,Expenses,135,163,198,171,156,179,175,118,122,192,195,146,176,
Quarterly Results,Operating Profit,42,56,53,47,42,23,27,33,4,28,34,27,32,
Quarterly Results,OPM %,24%,26%,21%,21%,21%,11%,13%,22%,3%,13%,15%,15%,15%,
Quarterly Results,Other Income,4,3,2,5,3,3,4,4,4,4,5,3,3,
Quarterly Results,Interest,4,2,2,2,2,1,1,1,1,1,1,1,1,
Quarterly Results,Depreciation,3,2,3,3,3,4,4,4,4,4,4,5,5,
Quarterly Results,Profit before tax,40,55,50,46,40,21,27,32,2,27,34,23,29,
Quarterly Results,Tax %,23%,25%,26%,25%,26%,27%,26%,26%,47%,27%,23%,31%,25%,
Quarterly Results,Net Profit,31,41,37,35,30,16,20,24,1,19,26,16,22,
Quarterly Results,EPS in Rs,2.66,3.57,3.23,3.02,2.60,1.35,1.69,2.08,0.09,1.69,2.25,1.40,1.89,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,716,,,,885,,,,680,,,,829,649
Profit & Loss,Expenses,502,,,,688,,,,594,,,,709,466
Profit & Loss,Operating Profit,214,,,,197,,,,87,,,,120,183
Profit & Loss,OPM %,30%,,,,22%,,,,13%,,,,14%,28%
Profit & Loss,Other Income,13,,,,13,,,,15,,,,15,6
Profit & Loss,Interest,7,,,,7,,,,4,,,,5,3
Profit & Loss,Depreciation,9,,,,11,,,,15,,,,18,6
Profit & Loss,Profit before tax,212,,,,192,,,,82,,,,111,180
Profit & Loss,Tax %,25%,,,,25%,,,,27%,,,,26%,25%
Profit & Loss,Net Profit,158,,,,143,,,,60,,,,82,135
Profit & Loss,EPS in Rs,13.72,,,,12.44,,,,5.22,,,,7.14,12.03
Profit & Loss,Dividend Payout %,5%,,,,6%,,,,14%,,,,0%,3%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,12,11
Balance Sheet,Reserves,626,,,,762,,,,813,,,,887,378
Balance Sheet,Borrowings,23,,,,13,,,,26,,,,55,30
Balance Sheet,Other Liabilities,131,,,,135,,,,151,,,,189,97
Balance Sheet,Total Liabilities,792,,,,921,,,,1001,,,,1143,517
Balance Sheet,Fixed Assets,174,,,,248,,,,279,,,,328,124
Balance Sheet,CWIP,44,,,,27,,,,58,,,,58,12
Balance Sheet,Investments,17,,,,12,,,,12,,,,15,9
Balance Sheet,Other Assets,557,,,,633,,,,651,,,,742,372
Balance Sheet,Total Assets,792,,,,921,,,,1001,,,,1143,517
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,76,,,,45,,,,115,,,,3,83
Cash Flows,Cash from Investing Activity,-133,,,,-24,,,,-120,,,,1,-83
Cash Flows,Cash from Financing Activity,71,,,,-25,,,,3,,,,19,-4
Cash Flows,Net Cash Flow,14,,,,-4,,,,-2,,,,23,-4
,,,,,,,,,,,,,,,
Ratios,Debtor Days,126,,,,108,,,,128,,,,152,120
Ratios,Inventory Days,163,,,,175,,,,202,,,,193,88
Ratios,Days Payable,110,,,,80,,,,92,,,,95,92
Ratios,Cash Conversion Cycle,179,,,,203,,,,238,,,,249,116
Ratios,Working Capital Days,164,,,,165,,,,192,,,,202,132
Ratios,ROCE %,40%,,,,27%,,,,11%,,,,13%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,66.76%,67.20%,67.20%,67.20%,67.20%,63.61%,63.61%,63.61%,63.61%,63.61%,63.61%,63.62%,
Shareholding Pattern (Quarterly),FIIs,,2.11%,0.62%,0.52%,0.45%,0.39%,0.33%,1.63%,2.40%,0.26%,0.32%,1.75%,1.84%,
Shareholding Pattern (Quarterly),DIIs,,1.07%,1.59%,1.59%,1.81%,1.81%,1.70%,1.59%,0.04%,0.04%,0.05%,0.06%,0.00%,
Shareholding Pattern (Quarterly),Public,,30.05%,30.60%,30.69%,30.55%,30.61%,34.38%,33.17%,33.95%,36.10%,36.01%,34.59%,34.55%,
Shareholding Pattern (Quarterly),No. of Shareholders,,135505,131580,130417,129255,127184,117095,98758,95758,99882,105600,107461,106974,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,66.56%,,,,67.20%,,,,63.61%,,,,63.62%,
Shareholding Pattern (Yearly),FIIs,2.20%,,,,0.45%,,,,2.40%,,,,1.84%,
Shareholding Pattern (Yearly),DIIs,1.06%,,,,1.81%,,,,0.04%,,,,0.00%,
Shareholding Pattern (Yearly),Public,30.17%,,,,30.55%,,,,33.95%,,,,34.55%,
Shareholding Pattern (Yearly),No. of Shareholders,138366,,,,129255,,,,95758,,,,106974,
,,,,,,,,,,,,,,,
