Section,,Dec 2024,Mar 2025
Quarterly Results,Sales,1015,1061
Quarterly Results,Expenses,635,648
Quarterly Results,Operating Profit,381,412
Quarterly Results,OPM %,37%,39%
Quarterly Results,Other Income,19,43
Quarterly Results,Interest,2,2
Quarterly Results,Depreciation,104,100
Quarterly Results,Profit before tax,294,354
Quarterly Results,Tax %,27%,27%
Quarterly Results,Net Profit,216,258
Quarterly Results,EPS in Rs,,1.23
Quarterly Results,Raw PDF,,
,,,
Profit & Loss,Sales,,3560
Profit & Loss,Expenses,,2349
Profit & Loss,Operating Profit,,1211
Profit & Loss,OPM %,,34%
Profit & Loss,Other Income,,82
Profit & Loss,Interest,,7
Profit & Loss,Depreciation,,402
Profit & Loss,Profit before tax,,884
Profit & Loss,Tax %,,28%
Profit & Loss,Net Profit,,638
Profit & Loss,EPS in Rs,,3.05
Profit & Loss,Dividend Payout %,,0%
,,,
Balance Sheet,Equity Capital,,208
Balance Sheet,Reserves,,10484
Balance Sheet,Borrowings,,73
Balance Sheet,Other Liabilities,,1711
Balance Sheet,Total Liabilities,,12476
Balance Sheet,Fixed Assets,,8191
Balance Sheet,CWIP,,156
Balance Sheet,Investments,,676
Balance Sheet,Other Assets,,3453
Balance Sheet,Total Assets,,12476
,,,
Cash Flows,Cash from Operating Activity,,803
Cash Flows,Cash from Investing Activity,,-2206
Cash Flows,Cash from Financing Activity,,1430
Cash Flows,Net Cash Flow,,27
,,,
Ratios,Debtor Days,,21
Ratios,Inventory Days,,1247
Ratios,Days Payable,,424
Ratios,Cash Conversion Cycle,,845
Ratios,Working Capital Days,,66
Ratios,ROCE %,,
,,,
Shareholding Pattern (Quarterly),Promoters,,39.88%
Shareholding Pattern (Quarterly),FIIs,,25.37%
Shareholding Pattern (Quarterly),DIIs,,21.60%
Shareholding Pattern (Quarterly),Government,,0.02%
Shareholding Pattern (Quarterly),Public,,13.11%
Shareholding Pattern (Quarterly),No. of Shareholders,,2573732
,,,
Shareholding Pattern (Yearly),Promoters,,39.88%
Shareholding Pattern (Yearly),FIIs,,25.37%
Shareholding Pattern (Yearly),DIIs,,21.60%
Shareholding Pattern (Yearly),Government,,0.02%
Shareholding Pattern (Yearly),Public,,13.11%
Shareholding Pattern (Yearly),No. of Shareholders,,2573732
,,,
