Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Revenue,2012,2103,2299,2441,2512,2657,2764,2881,2910,2994,3124,3210,3213,,,,,,,,
Quarterly Results,Interest,1037,1069,1095,1183,1262,1374,1430,1600,1604,1625,1687,1697,1732,,,,,,,,
Quarterly Results,Expenses,800,1003,945,984,793,1062,982,906,705,954,980,996,1078,,,,,,,,
Quarterly Results,Financing Profit,176,31,259,274,457,221,352,375,602,415,456,516,404,,,,,,,,
Quarterly Results,Financing Margin %,9%,1%,11%,11%,18%,8%,13%,13%,21%,14%,15%,16%,13%,,,,,,,,
Quarterly Results,Other Income,-56,205,148,244,168,230,193,186,229,198,301,242,406,,,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Quarterly Results,Profit before tax,120,236,407,518,625,452,545,561,830,614,757,758,810,,,,,,,,
Quarterly Results,Tax %,6%,30%,40%,40%,24%,28%,30%,25%,23%,32%,27%,30%,28%,,,,,,,,
Quarterly Results,Net Profit,119,161,240,307,473,331,384,423,633,418,553,529,582,,,,,,,,
Quarterly Results,EPS in Rs,1.27,1.67,2.49,3.19,4.58,3.21,3.72,3.84,5.75,3.80,5.02,4.80,5.28,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,8013,,,,9355,,,,11213,,,,12541,6767,7061,6844,6686,6621,7676,8446,8111
Profit & Loss,Interest,4101,,,,4609,,,,6008,,,,6741,4082,4409,4132,4173,3750,4291,4739,4340
Profit & Loss,Expenses,3774,,,,3567,,,,3437,,,,4008,1250,2336,2466,4431,3154,3439,5234,3802
Profit & Loss,Financing Profit,137,,,,1178,,,,1768,,,,1792,1435,316,245,-1919,-283,-55,-1527,-30
Profit & Loss,Financing Margin %,2%,,,,13%,,,,16%,,,,14%,21%,4%,4%,-29%,-4%,-1%,-18%,-0%
Profit & Loss,Other Income,753,,,,765,,,,838,,,,1147,393,599,509,497,501,817,509,701
Profit & Loss,Depreciation,144,,,,158,,,,218,,,,0,78,95,64,85,97,104,126,134
Profit & Loss,Profit before tax,747,,,,1786,,,,2388,,,,2939,1750,820,689,-1507,121,659,-1144,537
Profit & Loss,Tax %,32%,,,,33%,,,,26%,,,,29%,33%,38%,40%,8%,-68%,30%,3%,19%
Profit & Loss,Net Profit,495,,,,1181,,,,1771,,,,2082,1181,508,414,-1633,203,464,-1183,428
Profit & Loss,EPS in Rs,5.30,,,,11.44,,,,16.08,,,,18.91,24.36,10.49,8.54,-31.32,3.64,8.33,-16.59,6.01
Profit & Loss,Dividend Payout %,0%,,,,4%,,,,13%,,,,11%,21%,20%,20%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,93,,,,103,,,,110,,,,110,48,48,48,52,56,56,71,71
Balance Sheet,Reserves,7984,,,,9793,,,,12083,,,,14098,5674,6060,6372,5621,6102,6566,6274,6731
Balance Sheet,Deposits,114703,,,,122027,,,,134763,,,,148552,69928,66336,69379,72459,80005,89637,97786,108047
Balance Sheet,Borrowing,2371,,,,2892,,,,2885,,,,2383,1165,1740,2240,1276,1628,2624,2020,2015
Balance Sheet,Other Liabilities,5425,,,,11097,,,,4664,,,,4280,1797,1726,2214,2604,1894,2522,2678,3408
Balance Sheet,Total Liabilities,130576,,,,145913,,,,154505,,,,169424,78613,75910,80254,82012,89684,101405,108829,120273
Balance Sheet,Fixed Assets,1908,,,,2224,,,,2208,,,,2192,508,655,706,1479,1598,1646,2036,1971
Balance Sheet,CWIP,46,,,,47,,,,50,,,,0,27,34,59,64,17,29,35,41
Balance Sheet,Investments,33785,,,,34780,,,,34900,,,,41122,26185,22740,20334,21271,18860,23140,22990,30774
Balance Sheet,Other Assets,94837,,,,108860,,,,117347,,,,126110,51893,52481,59156,59198,69210,76589,83768,87486
Balance Sheet,Total Assets,130576,,,,145913,,,,154505,,,,169424,78613,75910,80254,82012,89684,101405,108829,120273
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-1568,,,,-407,,,,-853,,,,,-683,118,-219,2457,2363,-2992,4374,-14
Cash Flows,Cash from Investing Activity,-85,,,,-124,,,,-257,,,,,-169,-261,-136,-861,-164,-165,-115,-76
Cash Flows,Cash from Financing Activity,941,,,,638,,,,407,,,,,-338,-338,-176,593,668,769,-339,-199
Cash Flows,Net Cash Flow,-712,,,,107,,,,-702,,,,,-1189,-480,-531,2189,2867,-2388,3920,-289
,,,,,,,,,,,,,,,,,,,,,,
Ratios,ROE %,7%,,,,13%,,,,16%,,,,16%,22%,9%,7%,-27%,3%,7%,-18%,7%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,68.03%,68.03%,68.03%,63.41%,63.41%,63.41%,59.40%,59.40%,59.40%,59.40%,59.40%,59.40%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.76%,0.82%,1.96%,2.24%,2.19%,2.61%,5.80%,6.99%,7.16%,6.47%,7.07%,7.64%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.94%,2.12%,2.78%,2.66%,2.43%,4.92%,7.81%,7.90%,6.74%,6.41%,6.82%,6.69%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,30.27%,29.03%,27.23%,31.69%,31.96%,29.06%,26.98%,25.71%,26.70%,27.72%,26.70%,26.26%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,195935,189535,169558,172074,172171,188609,204193,215294,254645,278050,282743,280187,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.12%,,,,63.41%,,,,59.40%,,,,59.40%,,,,53.17%,59.23%,59.23%,68.18%,68.18%
Shareholding Pattern (Yearly),FIIs,0.71%,,,,2.24%,,,,6.99%,,,,7.64%,,,,17.69%,15.99%,15.75%,10.40%,3.59%
Shareholding Pattern (Yearly),DIIs,0.21%,,,,2.66%,,,,7.90%,,,,6.69%,,,,8.91%,8.16%,7.93%,5.00%,0.19%
Shareholding Pattern (Yearly),Public,28.96%,,,,31.69%,,,,25.71%,,,,26.26%,,,,20.23%,16.62%,17.09%,16.42%,28.04%
Shareholding Pattern (Yearly),No. of Shareholders,192588,,,,172074,,,,215294,,,,280187,,,,84868,78401,86034,101437,142214
,,,,,,,,,,,,,,,,,,,,,,
