Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,15.88,14.53,14.19,9.54,10.63,7.54,9.58,8.39,19.59,18.04,18.40,13.42,19.78,,,,,,
Quarterly Results,Expenses,15.78,12.88,12.95,10.20,8.97,7.86,11.15,6.70,15.10,15.42,15.69,11.38,18.01,,,,,,
Quarterly Results,Operating Profit,0.10,1.65,1.24,-0.66,1.66,-0.32,-1.57,1.69,4.49,2.62,2.71,2.04,1.77,,,,,,
Quarterly Results,OPM %,0.63%,11.36%,8.74%,-6.92%,15.62%,-4.24%,-16.39%,20.14%,22.92%,14.52%,14.73%,15.20%,8.95%,,,,,,
Quarterly Results,Other Income,0.33,0.13,0.16,0.08,0.28,0.24,0.07,0.07,0.36,0.29,0.31,0.03,0.53,,,,,,
Quarterly Results,Interest,0.52,0.69,0.61,0.75,0.50,0.72,0.49,0.66,0.66,0.74,0.60,0.73,1.02,,,,,,
Quarterly Results,Depreciation,0.33,0.52,0.42,0.48,0.43,0.46,0.40,0.43,0.65,0.56,0.53,0.55,0.39,,,,,,
Quarterly Results,Profit before tax,-0.42,0.57,0.37,-1.81,1.01,-1.26,-2.39,0.67,3.54,1.61,1.89,0.79,0.89,,,,,,
Quarterly Results,Tax %,-2.38%,31.58%,27.03%,-8.29%,-8.91%,-28.57%,-27.20%,31.34%,22.60%,28.57%,35.45%,16.46%,23.60%,,,,,,
Quarterly Results,Net Profit,-0.41,0.39,0.28,-1.65,1.10,-0.90,-1.75,0.45,2.74,1.14,1.22,0.66,0.68,,,,,,
Quarterly Results,EPS in Rs,-0.28,0.27,0.19,-1.00,0.67,-0.55,-1.06,0.27,1.65,0.66,0.71,0.38,0.39,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,62.64,,,,48.84,,,,45.09,,,,69.64,19.03,19.87,34.21,46.16,47.68,
Profit & Loss,Expenses,59.75,,,,44.96,,,,40.79,,,,60.52,17.69,17.48,31.02,42.93,43.04,
Profit & Loss,Operating Profit,2.89,,,,3.88,,,,4.30,,,,9.12,1.34,2.39,3.19,3.23,4.64,
Profit & Loss,OPM %,4.61%,,,,7.94%,,,,9.54%,,,,13.10%,7.04%,12.03%,9.32%,7.00%,9.73%,
Profit & Loss,Other Income,0.68,,,,0.66,,,,0.74,,,,1.17,0.03,-0.03,0.02,0.10,0.41,
Profit & Loss,Interest,1.56,,,,2.56,,,,2.54,,,,3.09,0.38,0.68,1.19,1.69,1.76,
Profit & Loss,Depreciation,1.33,,,,1.84,,,,1.95,,,,2.03,0.14,0.33,0.47,0.38,1.11,
Profit & Loss,Profit before tax,0.68,,,,0.14,,,,0.55,,,,5.17,0.85,1.35,1.55,1.26,2.18,
Profit & Loss,Tax %,26.47%,,,,21.43%,,,,1.82%,,,,28.24%,34.12%,29.63%,29.03%,32.54%,26.15%,
