Section,,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1781,2261,2588,2545,3157,3020,2624,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,1491,1905,2254,2227,2765,2659,2394,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,290,357,334,318,392,360,230,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,16%,16%,13%,13%,12%,12%,9%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,32,19,16,11,9,-75,-41,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,138,144,178,185,175,187,219,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,79,84,87,97,116,83,81,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,105,148,85,48,111,16,-110,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,34%,34%,36%,42%,44%,98%,-15%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,69,98,54,28,62,0,-94,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,2.92,3.91,1.49,0.56,1.04,0.00,-1.47,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,237,251,360,497,599,639,639,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,356,488,868,1308,1523,1576,1482,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,1131,1244,1716,2422,3679,4055,4114,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,240,825,664,701,779,958,863,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,1965,2807,3608,4929,6580,7228,7098,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,1130,1098,1166,1268,1481,1410,2207,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,39,199,635,1062,2058,3163,2852,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,796,1510,1808,2597,3040,2654,2038,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,1965,2807,3608,4929,6580,7228,7098,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,84,410,179,195,184,332,521,,,,,,,,,,,,,,,,,,
