Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,3970,3478,4044,5158,5188,4410,5466,5656,5425,4939,5572,5271,5047,,,,,,,,
Quarterly Results,Expenses,3569,3240,3712,4663,4588,3803,4663,4668,4505,4100,4658,4332,4310,,,,,,,,
Quarterly Results,Operating Profit,401,238,331,495,600,608,804,988,920,840,914,939,736,,,,,,,,
Quarterly Results,OPM %,10%,7%,8%,10%,12%,14%,15%,17%,17%,17%,16%,18%,15%,,,,,,,,
Quarterly Results,Other Income,42,32,-2,44,79,37,22,40,69,51,37,29,28,,,,,,,,
Quarterly Results,Interest,119,160,148,169,162,160,189,182,174,154,158,173,139,,,,,,,,
Quarterly Results,Depreciation,118,110,117,118,126,132,141,147,149,148,151,151,153,,,,,,,,
Quarterly Results,Profit before tax,205,1,64,252,392,354,496,700,667,588,643,645,473,,,,,,,,
Quarterly Results,Tax %,40%,2275%,67%,43%,24%,31%,28%,27%,28%,29%,26%,26%,82%,,,,,,,,
Quarterly Results,Net Profit,122,-16,21,143,298,244,356,512,480,416,475,479,87,,,,,,,,
Quarterly Results,EPS in Rs,1.98,0.08,0.93,3.35,5.58,4.14,5.90,8.34,7.85,6.90,7.81,7.92,4.55,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,13298,,,,17868,,,,20958,,,,20829,6656,8208,7703,7070,8507,12117,11627,10664
Profit & Loss,Expenses,11899,,,,16192,,,,17631,,,,17375,6014,7254,6979,6393,7466,10645,10116,9422
Profit & Loss,Operating Profit,1399,,,,1676,,,,3326,,,,3454,642,954,723,677,1041,1472,1511,1242
Profit & Loss,OPM %,11%,,,,9%,,,,16%,,,,17%,10%,12%,9%,10%,12%,12%,13%,12%
Profit & Loss,Other Income,155,,,,155,,,,162,,,,120,26,76,136,330,24,515,-3,209
Profit & Loss,Interest,460,,,,642,,,,705,,,,623,392,606,679,569,579,615,620,493
Profit & Loss,Depreciation,473,,,,470,,,,568,,,,602,321,335,328,337,363,396,422,459
Profit & Loss,Profit before tax,621,,,,719,,,,2216,,,,2349,-46,89,-148,101,122,975,467,499
Profit & Loss,Tax %,40%,,,,37%,,,,28%,,,,38%,120%,131%,-46%,62%,109%,22%,1%,34%
Profit & Loss,Net Profit,376,,,,452,,,,1593,,,,1458,-100,-27,-80,39,-11,764,461,328
Profit & Loss,EPS in Rs,6.44,,,,10.07,,,,26.22,,,,27.18,-1.55,-0.25,-0.66,1.78,2.79,13.29,8.67,4.99
Profit & Loss,Dividend Payout %,16%,,,,15%,,,,8%,,,,7%,-32%,-200%,-76%,28%,22%,8%,12%,20%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,64,,,,64,,,,64,,,,64,55,58,61,64,64,64,64,64
Balance Sheet,Reserves,7300,,,,7857,,,,10029,,,,11347,3513,5332,5061,5322,5432,6218,6700,6919
Balance Sheet,Borrowings,6031,,,,4961,,,,5761,,,,4859,5989,8102,7547,6222,6311,5692,5649,5335
Balance Sheet,Other Liabilities,3048,,,,5001,,,,4824,,,,4395,1858,2507,1676,1248,1389,2807,2669,3497
Balance Sheet,Total Liabilities,16443,,,,17883,,,,20679,,,,20665,11416,15999,14346,12856,13197,14781,15082,15815
Balance Sheet,Fixed Assets,7357,,,,7484,,,,8853,,,,9341,5843,8239,7977,7455,7120,7163,7491,7316
Balance Sheet,CWIP,293,,,,300,,,,632,,,,641,343,531,254,102,126,260,423,404
Balance Sheet,Investments,224,,,,175,,,,178,,,,168,75,309,154,119,110,190,129,198
Balance Sheet,Other Assets,8570,,,,9924,,,,11016,,,,10516,5155,6921,5961,5180,5840,7169,7039,7898
Balance Sheet,Total Assets,16443,,,,17883,,,,20679,,,,20665,11416,15999,14346,12856,13197,14781,15082,15815
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,73,,,,1616,,,,2593,,,,2335,109,-183,917,1163,565,1567,1665,1570
Cash Flows,Cash from Investing Activity,-190,,,,-68,,,,-1917,,,,-897,-615,-867,-517,-428,-121,-518,-468,-359
Cash Flows,Cash from Financing Activity,61,,,,-1966,,,,-12,,,,-1524,359,1253,-512,-816,-470,-977,-1168,-831
Cash Flows,Net Cash Flow,-55,,,,-419,,,,663,,,,-86,-148,203,-112,-81,-25,72,28,379
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,50,,,,73,,,,60,,,,62,96,91,83,71,83,67,59,73
Ratios,Inventory Days,173,,,,134,,,,147,,,,152,188,257,210,221,183,156,141,177
Ratios,Days Payable,71,,,,98,,,,89,,,,78,67,77,42,39,42,88,74,117
Ratios,Cash Conversion Cycle,152,,,,109,,,,119,,,,136,217,271,250,253,224,134,126,132
Ratios,Working Capital Days,94,,,,75,,,,80,,,,95,177,169,169,151,159,93,69,79
Ratios,ROCE %,9%,,,,11%,,,,21%,,,,19%,4%,6%,4%,4%,7%,11%,10%,8%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,63.02%,63.03%,63.03%,63.25%,63.26%,63.26%,63.26%,63.27%,63.29%,63.29%,63.28%,63.28%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,11.85%,11.69%,11.03%,14.94%,15.92%,17.71%,15.22%,14.66%,15.06%,16.08%,15.73%,16.99%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.86%,0.85%,0.91%,1.20%,1.18%,1.67%,2.27%,2.99%,3.87%,4.54%,4.69%,4.40%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,23.61%,23.79%,24.38%,19.98%,19.05%,16.79%,18.66%,18.60%,17.32%,15.65%,15.83%,14.95%,,,,,,,,
Shareholding Pattern (Quarterly),Others,,0.65%,0.65%,0.65%,0.64%,0.59%,0.58%,0.58%,0.49%,0.46%,0.46%,0.45%,0.38%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,112135,110357,105756,85839,83048,92000,116181,119422,137358,148683,172209,174189,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,63.02%,,,,63.25%,,,,63.27%,,,,63.28%,,,61.16%,63.02%,63.01%,63.01%,63.02%,63.02%
Shareholding Pattern (Yearly),FIIs,11.61%,,,,14.94%,,,,14.66%,,,,16.99%,,,0.12%,11.25%,12.79%,10.01%,11.81%,9.54%
Shareholding Pattern (Yearly),DIIs,0.84%,,,,1.20%,,,,2.99%,,,,4.40%,,,22.40%,10.04%,4.26%,2.42%,1.26%,1.17%
Shareholding Pattern (Yearly),Public,23.87%,,,,19.98%,,,,18.60%,,,,14.95%,,,16.33%,15.69%,19.94%,24.56%,23.52%,25.70%
Shareholding Pattern (Yearly),Others,0.66%,,,,0.64%,,,,0.49%,,,,0.38%,,,0.00%,0.00%,0.00%,0.00%,0.39%,0.56%
Shareholding Pattern (Yearly),No. of Shareholders,113114,,,,85839,,,,119422,,,,174189,,,49495,45965,54146,59026,58622,78673
,,,,,,,,,,,,,,,,,,,,,,
