Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,105,133,138,138,103,94,142,183,198,171,172,239,245,,,,,,,
Quarterly Results,Expenses,67,91,94,94,73,61,98,128,195,132,141,159,158,,,,,,,
Quarterly Results,Operating Profit,37,42,44,44,31,33,44,55,3,39,31,81,87,,,,,,,
Quarterly Results,OPM %,36%,31%,32%,32%,30%,35%,31%,30%,1%,23%,18%,34%,36%,,,,,,,
Quarterly Results,Other Income,8,17,18,7,5,5,8,7,11,34,29,32,37,,,,,,,
Quarterly Results,Interest,2,1,1,2,3,3,4,4,2,5,4,4,3,,,,,,,
Quarterly Results,Depreciation,16,16,16,16,16,16,16,16,16,16,16,26,31,,,,,,,
Quarterly Results,Profit before tax,27,42,44,34,17,19,32,42,-5,51,40,82,90,,,,,,,
Quarterly Results,Tax %,30%,28%,28%,27%,38%,36%,32%,24%,215%,15%,13%,20%,20%,,,,,,,
Quarterly Results,Net Profit,19,30,32,25,10,12,22,32,-15,44,34,66,72,,,,,,,
Quarterly Results,EPS in Rs,6.61,10.39,10.95,8.58,3.51,4.16,7.63,11.02,-5.18,15.13,11.89,22.76,24.71,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,420,,,,512,,,,617,,,,828,540,320,372,149,207,216,398
Profit & Loss,Expenses,310,,,,349,,,,478,,,,591,335,284,355,209,198,793,356
Profit & Loss,Operating Profit,110,,,,163,,,,139,,,,237,205,36,17,-60,10,-577,42
Profit & Loss,OPM %,26%,,,,32%,,,,23%,,,,29%,38%,11%,5%,-40%,5%,-267%,11%
Profit & Loss,Other Income,32,,,,47,,,,29,,,,131,42,127,89,56,81,34,8
Profit & Loss,Interest,12,,,,11,,,,15,,,,16,12,2,10,4,14,14,16
Profit & Loss,Depreciation,43,,,,63,,,,64,,,,89,84,15,9,9,9,26,32
Profit & Loss,Profit before tax,87,,,,136,,,,89,,,,263,152,146,86,-17,69,-583,2
Profit & Loss,Tax %,26%,,,,29%,,,,42%,,,,18%,17%,12%,8%,-51%,0%,1%,416%
Profit & Loss,Net Profit,64,,,,97,,,,51,,,,216,125,129,80,-8,68,-591,-6
Profit & Loss,EPS in Rs,22.25,,,,33.43,,,,17.65,,,,74.50,43.19,44.52,27.52,-2.87,23.54,-203.82,-2.03
Profit & Loss,Dividend Payout %,2%,,,,2%,,,,3%,,,,1%,1%,1%,2%,-17%,2%,-0%,-25%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,14,14,14,14,14,14,14,14
Balance Sheet,Reserves,1180,,,,1295,,,,1348,,,,1574,1447,1614,1675,1669,1805,1262,1107
Balance Sheet,Borrowings,220,,,,207,,,,294,,,,164,356,87,77,63,163,399,330
Balance Sheet,Other Liabilities,276,,,,338,,,,384,,,,1075,165,189,86,78,610,121,272
Balance Sheet,Total Liabilities,1691,,,,1854,,,,2041,,,,2827,1982,1905,1853,1824,2592,1796,1723
Balance Sheet,Fixed Assets,651,,,,602,,,,551,,,,1294,745,55,68,64,53,531,502
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,1,0,0,519,0,0
Balance Sheet,Investments,447,,,,495,,,,444,,,,606,767,1100,1094,1052,1181,627,414
Balance Sheet,Other Assets,593,,,,757,,,,1045,,,,927,470,749,691,709,839,639,807
Balance Sheet,Total Assets,1691,,,,1854,,,,2041,,,,2827,1982,1905,1853,1824,2592,1796,1723
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,196,,,,64,,,,-44,,,,864,,-46,-61,-67,8,52,106
