Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2023
Quarterly Results,Sales,414,608,414,418,418,694,438,493,
Quarterly Results,Expenses,38,66,94,98,74,140,125,155,
Quarterly Results,Operating Profit,376,542,320,320,344,553,313,338,
Quarterly Results,OPM %,91%,89%,77%,77%,82%,80%,71%,69%,
Quarterly Results,Other Income,67,218,67,78,62,226,70,71,
Quarterly Results,Interest,10,0,0,0,0,0,0,8,
Quarterly Results,Depreciation,5,5,5,5,5,6,6,6,
Quarterly Results,Profit before tax,427,754,381,393,400,773,377,396,
Quarterly Results,Tax %,22%,11%,23%,21%,22%,11%,22%,20%,
Quarterly Results,Net Profit,332,668,294,311,313,689,295,316,
Quarterly Results,EPS in Rs,,1.05,0.46,0.49,0.49,1.08,0.46,0.50,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,,,1855,,,,2043,45
Profit & Loss,Expenses,,,,296,,,,495,6
Profit & Loss,Operating Profit,,,,1559,,,,1548,39
Profit & Loss,OPM %,,,,84%,,,,76%,88%
Profit & Loss,Other Income,,,,429,,,,429,10
Profit & Loss,Interest,,,,10,,,,8,0
Profit & Loss,Depreciation,,,,22,,,,23,0
Profit & Loss,Profit before tax,,,,1956,,,,1947,49
Profit & Loss,Tax %,,,,18%,,,,17%,37%
Profit & Loss,Net Profit,,,,1605,,,,1613,31
Profit & Loss,EPS in Rs,,,,2.53,,,,2.54,
Profit & Loss,Dividend Payout %,,,,0%,,,,20%,0%
,,,,,,,,,,
Balance Sheet,Equity Capital,,,,6353,,,,6353,2
Balance Sheet,Reserves,,,,132794,,,,117143,114118
Balance Sheet,Borrowings,,,,0,,,,3970,743
Balance Sheet,Other Liabilities,,,,5715,,,,6043,66
Balance Sheet,Total Liabilities,,,,144863,,,,133510,114930
Balance Sheet,Fixed Assets,,,,172,,,,188,158
Balance Sheet,CWIP,,,,3,,,,7,38
Balance Sheet,Investments,,,,133292,,,,118910,108141
Balance Sheet,Other Assets,,,,11395,,,,14405,6593
Balance Sheet,Total Assets,,,,144863,,,,133510,114930
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-678,,,,-10083,2055
Cash Flows,Cash from Investing Activity,,,,1441,,,,6406,-1110
Cash Flows,Cash from Financing Activity,,,,-753,,,,3962,-889
Cash Flows,Net Cash Flow,,,,11,,,,285,56
,,,,,,,,,,
Ratios,Debtor Days,,,,3,,,,3,113
Ratios,Inventory Days,,,,,,,,,
Ratios,Days Payable,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,3,,,,3,113
Ratios,Working Capital Days,,,,21,,,,-44,3644
Ratios,ROCE %,,,,2%,,,,1%,
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,46.77%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,
Shareholding Pattern (Quarterly),FIIs,,21.58%,19.83%,19.45%,17.55%,16.88%,15.62%,11.66%,
Shareholding Pattern (Quarterly),DIIs,,13.64%,12.99%,12.50%,11.79%,11.39%,12.46%,14.21%,
Shareholding Pattern (Quarterly),Government,,0.13%,0.14%,0.14%,0.15%,0.15%,0.17%,0.17%,
Shareholding Pattern (Quarterly),Public,,17.86%,19.92%,20.77%,23.39%,24.46%,24.61%,26.83%,
Shareholding Pattern (Quarterly),No. of Shareholders,,3983144,4083129,4399041,4802851,4860795,4978984,5259483,
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,47.12%,,,,47.12%,
Shareholding Pattern (Yearly),FIIs,,,,19.45%,,,,11.66%,
Shareholding Pattern (Yearly),DIIs,,,,12.50%,,,,14.21%,
Shareholding Pattern (Yearly),Government,,,,0.14%,,,,0.17%,
Shareholding Pattern (Yearly),Public,,,,20.77%,,,,26.83%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,4399041,,,,5259483,
,,,,,,,,,,
