Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,1373,1416,1082,1504,1745,1701,1362,1358,1727,1478,1192,1361,1749,,,,,,,,,
Quarterly Results,Expenses,1300,1227,975,1327,1610,1486,1188,1187,1511,1300,1053,1185,1525,,,,,,,,,
Quarterly Results,Operating Profit,73,189,107,177,136,215,173,171,216,178,139,176,223,,,,,,,,,
Quarterly Results,OPM %,5%,13%,10%,12%,8%,13%,13%,13%,12%,12%,12%,13%,13%,,,,,,,,,
Quarterly Results,Other Income,326,-20,-45,-41,1066,4,2,7,-47,1,12,2,1,,,,,,,,,
Quarterly Results,Interest,-63,109,98,108,154,105,99,108,106,103,105,113,111,,,,,,,,,
Quarterly Results,Depreciation,62,58,58,59,61,59,60,59,65,61,62,63,67,,,,,,,,,
Quarterly Results,Profit before tax,399,2,-95,-31,987,55,17,11,-3,16,-17,1,46,,,,,,,,,
Quarterly Results,Tax %,30%,464%,-6%,62%,1%,33%,50%,21%,270%,21%,-21%,185%,40%,,,,,,,,,
Quarterly Results,Net Profit,279,-6,-90,-50,977,37,8,9,-11,12,-13,-1,28,,,,,,,,,
Quarterly Results,EPS in Rs,4.69,-0.16,-1.50,-0.81,16.16,0.57,0.13,0.15,-0.13,0.20,-0.15,0.01,0.43,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,7078,,,,5690,,,,6084,,,,5779,5821,6117,6281,6715,7800,8536,5891,5631,
Profit & Loss,Expenses,6372,,,,5126,,,,5300,,,,5063,5051,5338,5460,5770,6846,7610,5942,5283,
Profit & Loss,Operating Profit,706,,,,564,,,,784,,,,717,770,779,820,945,954,926,-51,348,
Profit & Loss,OPM %,10%,,,,10%,,,,13%,,,,12%,13%,13%,13%,14%,12%,11%,-1%,6%,
Profit & Loss,Other Income,611,,,,1004,,,,-43,,,,16,-184,-35,34,59,163,275,75,116,
Profit & Loss,Interest,558,,,,469,,,,419,,,,433,468,469,491,459,479,514,692,746,
Profit & Loss,Depreciation,337,,,,236,,,,243,,,,253,205,244,297,301,339,313,347,351,
Profit & Loss,Profit before tax,422,,,,863,,,,79,,,,46,-86,31,67,243,299,374,-1014,-633,
Profit & Loss,Tax %,22%,,,,4%,,,,46%,,,,45%,-54%,-78%,27%,27%,26%,32%,-29%,-36%,
Profit & Loss,Net Profit,329,,,,832,,,,43,,,,26,-40,55,49,176,221,254,-719,-403,
Profit & Loss,EPS in Rs,5.48,,,,13.69,,,,0.68,,,,0.50,-0.90,1.25,1.06,3.68,4.42,4.82,-14.41,-7.97,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,-58%,42%,49%,21%,24%,22%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,122,,,,125,,,,137,,,,138,92,92,95,96,103,103,103,103,
Balance Sheet,Reserves,3534,,,,5056,,,,5304,,,,5482,2083,2047,3969,4062,4248,4310,3368,2865,
Balance Sheet,Borrowings,6767,,,,3967,,,,4049,,,,3999,4060,4231,4124,4033,4453,5247,7159,6974,
Balance Sheet,Other Liabilities,2126,,,,1834,,,,1675,,,,1830,1858,1889,2428,2815,3348,3097,2388,2730,
Balance Sheet,Total Liabilities,12549,,,,10981,,,,11166,,,,11449,8093,8260,10617,11007,12152,12758,13018,12671,
Balance Sheet,Fixed Assets,5372,,,,4147,,,,4242,,,,4393,2777,2761,4833,4803,5284,5565,5989,5577,
Balance Sheet,CWIP,25,,,,32,,,,26,,,,44,81,53,60,64,122,139,56,21,
Balance Sheet,Investments,73,,,,1143,,,,1190,,,,1222,1,62,106,81,85,83,86,88,
Balance Sheet,Other Assets,7078,,,,5659,,,,5708,,,,5791,5234,5384,5618,6058,6661,6971,6887,6985,
Balance Sheet,Total Assets,12549,,,,10981,,,,11166,,,,11449,8093,8260,10617,11007,12152,12758,13018,12671,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,476,,,,45,,,,535,,,,843,574,660,440,674,1313,156,-675,299,
Cash Flows,Cash from Investing Activity,-194,,,,3138,,,,-314,,,,-229,-292,-228,-275,-417,-1060,-346,-258,303,
Cash Flows,Cash from Financing Activity,-385,,,,-3365,,,,-251,,,,-621,-320,-325,-89,-520,-167,110,1046,-435,
Cash Flows,Net Cash Flow,-104,,,,-182,,,,-30,,,,-7,-38,107,76,-263,86,-80,113,167,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,121,,,,140,,,,133,,,,134,113,117,126,124,118,128,174,161,
Ratios,Inventory Days,209,,,,190,,,,191,,,,203,201,197,196,229,214,197,240,231,
Ratios,Days Payable,102,,,,106,,,,89,,,,105,147,144,140,156,173,140,124,113,
Ratios,Cash Conversion Cycle,228,,,,224,,,,235,,,,232,167,170,182,197,159,186,290,279,
Ratios,Working Capital Days,212,,,,226,,,,229,,,,232,154,148,158,146,136,154,221,221,
Ratios,ROCE %,4%,,,,4%,,,,6%,,,,5%,10%,9%,8%,8%,9%,9%,-3%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,28.37%,28.37%,28.37%,27.45%,26.12%,26.12%,26.12%,26.12%,26.12%,26.02%,25.94%,,,,,,,,,26.68%
Shareholding Pattern (Quarterly),FIIs,,,5.46%,4.71%,3.76%,4.15%,4.89%,5.32%,5.46%,5.18%,5.38%,4.55%,4.97%,,,,,,,,,4.67%
Shareholding Pattern (Quarterly),DIIs,,,10.20%,10.20%,10.20%,9.87%,9.33%,9.34%,9.32%,9.33%,9.36%,9.41%,9.42%,,,,,,,,,8.85%
Shareholding Pattern (Quarterly),Government,,,0.00%,0.00%,0.00%,0.00%,0.06%,0.07%,0.08%,0.06%,0.06%,0.06%,0.06%,,,,,,,,,0.06%
Shareholding Pattern (Quarterly),Public,,,55.67%,56.41%,57.38%,58.23%,59.33%,58.87%,58.73%,59.02%,58.79%,59.68%,59.52%,,,,,,,,,59.66%
Shareholding Pattern (Quarterly),Others,,,0.31%,0.31%,0.31%,0.30%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.09%,,,,,,,,,0.08%
Shareholding Pattern (Quarterly),No. of Shareholders,,,200938,201746,197349,191934,191832,190810,200188,190376,198321,192969,194224,,,,,,,,,194224
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,26.91%,,,,28.37%,,,,26.12%,,,,25.94%,,,,30.75%,28.46%,28.64%,28.64%,28.64%,26.68%
Shareholding Pattern (Yearly),FIIs,5.16%,,,,3.76%,,,,5.46%,,,,4.97%,,,,42.07%,33.52%,31.82%,11.55%,5.76%,4.67%
Shareholding Pattern (Yearly),DIIs,11.54%,,,,10.20%,,,,9.32%,,,,9.42%,,,,5.92%,6.90%,4.54%,0.01%,0.01%,8.85%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.08%,,,,0.06%,,,,0.00%,0.11%,0.00%,0.00%,0.00%,0.06%
Shareholding Pattern (Yearly),Public,56.08%,,,,57.38%,,,,58.73%,,,,59.52%,,,,21.26%,31.01%,34.89%,59.41%,65.21%,59.66%
Shareholding Pattern (Yearly),Others,0.32%,,,,0.31%,,,,0.28%,,,,0.09%,,,,0.00%,0.00%,0.10%,0.38%,0.38%,0.08%
Shareholding Pattern (Yearly),No. of Shareholders,202177,,,,197349,,,,200188,,,,194224,,,,143509,180154,202669,212041,206976,194224
,,,,,,,,,,,,,,,,,,,,,,,
