Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,404.53,250.08,270.45,435.09,634.66,668.10,720.06,618.73,653.04,464.98,480.59,531.71,787.52,,,,,,
Quarterly Results,Expenses,354.13,201.61,215.09,371.90,542.25,568.48,605.09,504.33,577.60,363.16,407.89,431.11,658.76,,,,,,
Quarterly Results,Operating Profit,50.40,48.47,55.36,63.19,92.41,99.62,114.97,114.40,75.44,101.82,72.70,100.60,128.76,,,,,,
Quarterly Results,OPM %,12.46%,19.38%,20.47%,14.52%,14.56%,14.91%,15.97%,18.49%,11.55%,21.90%,15.13%,18.92%,16.35%,,,,,,
Quarterly Results,Other Income,1.84,2.07,2.42,1.89,7.55,6.32,15.83,26.69,63.76,31.27,149.92,18.81,16.83,,,,,,
Quarterly Results,Interest,68.00,74.73,75.53,78.00,84.29,76.79,73.74,74.98,77.95,80.73,84.81,86.74,99.91,,,,,,
Quarterly Results,Depreciation,11.17,13.24,13.28,13.20,18.27,21.25,15.68,22.16,17.79,17.71,17.95,20.76,22.42,,,,,,
Quarterly Results,Profit before tax,-26.93,-37.43,-31.03,-26.12,-2.60,7.90,41.38,43.95,43.46,34.65,119.86,11.91,23.26,,,,,,
Quarterly Results,Tax %,8.73%,-3.85%,6.70%,9.23%,265.00%,172.78%,39.56%,30.35%,5.78%,33.30%,5.46%,63.31%,82.89%,,,,,,
Quarterly Results,Net Profit,-29.28,-36.00,-33.11,-28.54,-9.48,-5.74,25.02,30.60,40.95,23.12,113.30,4.37,3.99,,,,,,
Quarterly Results,EPS in Rs,-12.89,-15.16,-13.50,-13.20,-7.81,-5.81,1.60,5.31,12.67,3.75,31.23,-3.10,-11.50,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1234,,,,1589,,,,3284,,,,2265,443,543,400,581,844,928
Profit & Loss,Expenses,1082,,,,1327,,,,2805,,,,1860,469,547,435,516,753,839
Profit & Loss,Operating Profit,152,,,,262,,,,479,,,,405,-27,-4,-35,65,91,89
Profit & Loss,OPM %,12%,,,,16%,,,,15%,,,,18%,-6%,-1%,-9%,11%,11%,10%
Profit & Loss,Other Income,7,,,,11,,,,71,,,,216,4,6,13,5,7,8
Profit & Loss,Interest,253,,,,313,,,,317,,,,352,97,119,134,165,200,216
Profit & Loss,Depreciation,33,,,,58,,,,83,,,,79,20,26,33,23,23,23
Profit & Loss,Profit before tax,-127,,,,-97,,,,150,,,,190,-140,-143,-189,-118,-126,-141
Profit & Loss,Tax %,1%,,,,10%,,,,39%,,,,24%,-18%,-21%,-17%,-4%,8%,-4%
Profit & Loss,Net Profit,-129,,,,-107,,,,91,,,,145,-114,-113,-157,-114,-136,-135
Profit & Loss,EPS in Rs,-55.96,,,,-49.67,,,,13.78,,,,20.38,-4440.00,-43.13,-61.00,-43.01,-52.89,-58.64
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,,,,5,,,,5,,,,5,0.00,5,5,5,5,5
