Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,137,116,114,129,144,118,127,136,153,129,127,141,159,,,,,,,
Quarterly Results,Expenses,124,110,108,120,133,113,121,129,142,124,122,134,148,,,,,,,
Quarterly Results,Operating Profit,13,6,6,8,11,5,6,7,11,5,4,8,11,,,,,,,
Quarterly Results,OPM %,9%,6%,5%,6%,8%,4%,5%,5%,7%,4%,3%,5%,7%,,,,,,,
Quarterly Results,Other Income,1,1,1,1,2,1,2,2,2,2,2,2,2,,,,,,,
Quarterly Results,Interest,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Quarterly Results,Profit before tax,14,7,7,9,13,6,7,8,13,7,6,9,13,,,,,,,
Quarterly Results,Tax %,25%,26%,23%,27%,26%,26%,27%,25%,25%,26%,30%,26%,25%,,,,,,,
Quarterly Results,Net Profit,10,6,6,7,10,5,5,6,10,5,4,7,10,,,,,,,
Quarterly Results,EPS in Rs,4.53,2.39,2.39,2.97,4.07,2.06,2.34,2.71,4.10,2.21,1.82,2.93,4.31,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,437,,,,503,,,,534,,,,556,409,415,387,327,355,362,387
Profit & Loss,Expenses,409,,,,471,,,,504,,,,527,390,398,370,311,337,347,362
Profit & Loss,Operating Profit,29,,,,32,,,,29,,,,29,19,17,18,15,19,15,26
Profit & Loss,OPM %,7%,,,,6%,,,,6%,,,,5%,5%,4%,5%,5%,5%,4%,7%
Profit & Loss,Other Income,5,,,,6,,,,7,,,,8,5,4,4,5,6,6,7
Profit & Loss,Interest,-0,,,,-0,,,,-0,,,,-0,1,0,0,0,0,-0,0
