Section,,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Revenue,,,,,
Quarterly Results,Interest,,,,,
Quarterly Results,Expenses,,,,,
Quarterly Results,Financing Profit,,,,,
Quarterly Results,Financing Margin %,,,,,
Quarterly Results,Other Income,,,,,
Quarterly Results,Depreciation,,,,,
Quarterly Results,Profit before tax,,,,,
Quarterly Results,Tax %,,,,,
Quarterly Results,Net Profit,,,,,
Quarterly Results,EPS in Rs,,,,,
Quarterly Results,Gross NPA %,,,,,
Quarterly Results,Net NPA %,,,,,
Quarterly Results,Raw PDF,,,,,
,,,,,,
Profit & Loss,Revenue,,,,,
Profit & Loss,Interest,,,,,
Profit & Loss,Expenses,,,,,
Profit & Loss,Financing Profit,,,,,
Profit & Loss,Financing Margin %,,,,,
Profit & Loss,Other Income,,,,,
Profit & Loss,Depreciation,,,,,
Profit & Loss,Profit before tax,,,,,
Profit & Loss,Tax %,,,,,
Profit & Loss,Net Profit,,,,,
Profit & Loss,EPS in Rs,,,,,
Profit & Loss,Dividend Payout %,,,,,
,,,,,,
Balance Sheet,Equity Capital,,,,,
Balance Sheet,Reserves,,,,,
Balance Sheet,Borrowing,,,,,
Balance Sheet,Other Liabilities,,,,,
Balance Sheet,Total Liabilities,,,,,
Balance Sheet,Fixed Assets,,,,,
Balance Sheet,CWIP,,,,,
Balance Sheet,Investments,,,,,
Balance Sheet,Other Assets,,,,,
Balance Sheet,Total Assets,,,,,
,,,,,,
Cash Flows,Cash from Operating Activity,,,,,
Cash Flows,Cash from Investing Activity,,,,,
Cash Flows,Cash from Financing Activity,,,,,
Cash Flows,Net Cash Flow,,,,,
,,,,,,
Ratios,ROE %,,,,,
,,,,,,
Shareholding Pattern (Quarterly),Promoters,22.54%,22.54%,22.38%,22.35%,22.28%
Shareholding Pattern (Quarterly),FIIs,1.15%,1.02%,1.09%,0.51%,0.89%
Shareholding Pattern (Quarterly),DIIs,17.70%,17.73%,17.99%,18.47%,15.89%
Shareholding Pattern (Quarterly),Public,58.62%,58.71%,58.53%,58.67%,60.94%
Shareholding Pattern (Quarterly),No. of Shareholders,72042,49178,51033,52297,52412
,,,,,,
Shareholding Pattern (Yearly),Promoters,22.54%,,,,22.28%
Shareholding Pattern (Yearly),FIIs,1.15%,,,,0.89%
Shareholding Pattern (Yearly),DIIs,17.70%,,,,15.89%
Shareholding Pattern (Yearly),Public,58.62%,,,,60.94%
Shareholding Pattern (Yearly),No. of Shareholders,72042,,,,52412
,,,,,,
