Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,19.18,18.80,337.49,26.02,24.45,26.12,89.17,27.29,26.99,27.23,162.18,29.22,29.46,,,,,
Quarterly Results,Expenses,1.01,1.25,2.13,1.28,1.23,2.92,3.04,2.71,3.41,3.20,3.72,3.27,3.86,,,,,
Quarterly Results,Operating Profit,18.17,17.55,335.36,24.74,23.22,23.20,86.13,24.58,23.58,24.03,158.46,25.95,25.60,,,,,
Quarterly Results,OPM %,94.73%,93.35%,99.37%,95.08%,94.97%,88.82%,96.59%,90.07%,87.37%,88.25%,97.71%,88.81%,86.90%,,,,,
Quarterly Results,Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Quarterly Results,Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Quarterly Results,Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Quarterly Results,Profit before tax,18.17,17.55,335.36,24.74,23.22,23.20,86.13,24.58,23.58,24.03,158.46,25.95,25.60,,,,,
Quarterly Results,Tax %,25.76%,25.13%,25.26%,25.38%,25.24%,25.78%,25.95%,25.92%,17.64%,25.30%,25.36%,25.20%,25.51%,,,,,
Quarterly Results,Net Profit,15.88,5.55,254.54,29.94,41.46,24.36,63.20,34.71,33.29,52.58,119.64,13.89,9.72,,,,,
Quarterly Results,EPS in Rs,14.31,5.00,229.32,26.97,37.35,21.95,56.94,31.27,29.99,47.37,107.79,12.51,8.76,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,186,,,,407,,,,170,,,,248,63,89,107,121,93
Profit & Loss,Expenses,6,,,,6,,,,12,,,,14,4,5,5,6,5
Profit & Loss,Operating Profit,180,,,,401,,,,157,,,,234,59,84,102,115,88
Profit & Loss,OPM %,97%,,,,99%,,,,93%,,,,94%,94%,95%,95%,95%,95%
Profit & Loss,Other Income,0,,,,0,,,,0,,,,0,0,0,0,0,0
Profit & Loss,Interest,0,,,,0,,,,0,,,,0,0,0,0,0,0
Profit & Loss,Depreciation,0,,,,0,,,,0,,,,0,0,0,0,0,0
Profit & Loss,Profit before tax,180,,,,401,,,,157,,,,234,59,84,102,115,88
Profit & Loss,Tax %,25%,,,,25%,,,,25%,,,,25%,20%,19%,14%,10%,25%
