Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,363,295,417,644,712,753,879,896,1115,880,1009,1030,1045,,,,,
Quarterly Results,Expenses,332,266,368,566,620,657,759,773,970,743,870,887,898,,,,,
Quarterly Results,Operating Profit,31,30,49,79,91,97,121,123,146,137,139,143,147,,,,,
Quarterly Results,OPM %,9%,10%,12%,12%,13%,13%,14%,14%,13%,16%,14%,14%,14%,,,,,
Quarterly Results,Other Income,1,1,1,2,1,2,6,5,12,8,10,15,12,,,,,
Quarterly Results,Interest,5,6,7,7,9,8,10,11,11,13,17,14,17,,,,,
Quarterly Results,Depreciation,6,6,7,6,6,7,7,7,8,12,13,14,15,,,,,
Quarterly Results,Profit before tax,21,19,36,67,78,84,110,110,139,120,119,130,127,,,,,
Quarterly Results,Tax %,36%,33%,34%,34%,49%,25%,25%,26%,25%,23%,25%,26%,20%,,,,,
Quarterly Results,Net Profit,14,13,24,45,39,63,82,81,105,92,89,96,103,,,,,
Quarterly Results,EPS in Rs,1.54,0.33,0.62,1.15,1.01,1.57,2.05,1.98,2.55,2.23,2.11,2.29,2.43,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1178,,,,2068,,,,3644,,,,3963,996,,,,
Profit & Loss,Expenses,1065,,,,1819,,,,3157,,,,3398,889,,,,
Profit & Loss,Operating Profit,114,,,,249,,,,487,,,,566,106,,,,
Profit & Loss,OPM %,10%,,,,12%,,,,13%,,,,14%,11%,,,,
Profit & Loss,Other Income,3,,,,5,,,,25,,,,44,2,,,,
Profit & Loss,Interest,18,,,,29,,,,41,,,,60,21,,,,
Profit & Loss,Depreciation,23,,,,25,,,,28,,,,54,21,,,,
Profit & Loss,Profit before tax,76,,,,200,,,,442,,,,496,66,,,,
Profit & Loss,Tax %,34%,,,,40%,,,,25%,,,,23%,19%,,,,
Profit & Loss,Net Profit,50,,,,121,,,,331,,,,380,53,,,,
Profit & Loss,EPS in Rs,5.55,,,,3.12,,,,8.04,,,,9.00,5.97,,,,
Profit & Loss,Dividend Payout %,0%,,,,16%,,,,7%,,,,11%,0%,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,387,,,,387,,,,412,,,,424,387,,,,
Balance Sheet,Reserves,295,,,,416,,,,1204,,,,2330,246,,,,
Balance Sheet,Borrowings,139,,,,288,,,,349,,,,502,138,,,,
Balance Sheet,Other Liabilities,250,,,,543,,,,975,,,,743,220,,,,
Balance Sheet,Total Liabilities,1072,,,,1634,,,,2940,,,,3999,991,,,,
Balance Sheet,Fixed Assets,428,,,,464,,,,831,,,,972,418,,,,
Balance Sheet,CWIP,22,,,,27,,,,54,,,,66,21,,,,
Balance Sheet,Investments,8,,,,11,,,,93,,,,164,2,,,,
Balance Sheet,Other Assets,615,,,,1131,,,,1962,,,,2797,550,,,,
Balance Sheet,Total Assets,1072,,,,1634,,,,2940,,,,3999,991,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,60,,,,78,,,,-19,,,,104,67,,,,
Cash Flows,Cash from Investing Activity,-49,,,,-122,,,,-464,,,,-628,-60,,,,
Cash Flows,Cash from Financing Activity,-17,,,,121,,,,489,,,,842,22,,,,
Cash Flows,Net Cash Flow,-6,,,,76,,,,5,,,,318,30,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,22,,,,38,,,,49,,,,75,26,,,,
Ratios,Inventory Days,130,,,,114,,,,127,,,,94,120,,,,
Ratios,Days Payable,58,,,,46,,,,71,,,,50,70,,,,
Ratios,Cash Conversion Cycle,94,,,,106,,,,105,,,,119,77,,,,
Ratios,Working Capital Days,78,,,,72,,,,77,,,,116,72,,,,
Ratios,ROCE %,12%,,,,24%,,,,31%,,,,21%,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.62%,74.62%,74.62%,74.62%,72.37%,72.37%,70.12%,70.12%,70.12%,68.11%,68.11%,68.11%,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.04%,0.02%,0.01%,0.27%,0.86%,1.26%,2.28%,4.14%,3.45%,3.44%,3.86%,,,,,
Shareholding Pattern (Quarterly),DIIs,,18.45%,2.15%,2.15%,1.49%,2.26%,1.01%,2.05%,1.92%,0.92%,2.00%,1.73%,1.71%,,,,,
Shareholding Pattern (Quarterly),Public,,6.93%,23.19%,23.21%,23.88%,25.10%,25.77%,26.55%,25.68%,24.82%,26.43%,26.70%,26.32%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,18229,24348,26456,29778,46791,96707,127324,175669,227473,293306,309767,383418,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,60.65%,,,,74.62%,,,,70.12%,,,,68.11%,60.65%,55.23%,55.19%,60.71%,60.65%
Shareholding Pattern (Yearly),FIIs,0.07%,,,,0.01%,,,,2.28%,,,,3.86%,0.00%,0.01%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,9.33%,,,,1.49%,,,,1.92%,,,,1.71%,9.33%,1.53%,0.00%,9.33%,9.33%
Shareholding Pattern (Yearly),Public,29.95%,,,,23.88%,,,,25.68%,,,,26.32%,30.02%,43.22%,44.81%,29.96%,30.02%
Shareholding Pattern (Yearly),No. of Shareholders,16222,,,,29778,,,,175669,,,,383418,10740,12856,12472,10767,10714
,,,,,,,,,,,,,,,,,,,
