Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025,Mar 2017
Quarterly Results,Sales,2,16,14,44,156,185,81,56,129,88,107,137,165,,,,,,,,,,
Quarterly Results,Expenses,20,15,17,48,149,181,71,60,123,83,101,125,152,,,,,,,,,,
Quarterly Results,Operating Profit,-17,0,-3,-4,7,4,10,-4,6,6,7,12,13,,,,,,,,,,
Quarterly Results,OPM %,-805%,3%,-22%,-9%,4%,2%,13%,-8%,5%,6%,6%,9%,8%,,,,,,,,,,
Quarterly Results,Other Income,1,1,0,0,1,0,3,7,1,1,2,1,2,,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,2,2,2,2,2,2,2,2,3,,,,,,,,,,
Quarterly Results,Profit before tax,-18,-0,-4,-5,6,2,11,1,5,5,7,11,12,,,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,-194%,2%,-6%,-2%,3%,,,,,,,,,,
Quarterly Results,Net Profit,-18,-0,-4,-5,6,2,11,1,14,5,7,11,12,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.18,-0.00,-0.04,-0.06,0.06,0.02,0.10,0.01,0.12,0.04,0.06,0.09,0.10,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4,,,,229,,,,451,,,,498,3013,3636,3111,2947,324,182,16,0,,
Profit & Loss,Expenses,41,,,,229,,,,434,,,,460,2689,3325,3024,2926,3479,841,828,254,,
Profit & Loss,Operating Profit,-36,,,,-0,,,,17,,,,37,324,311,87,21,-3154,-658,-812,-254,,
Profit & Loss,OPM %,-826%,,,,-0%,,,,4%,,,,8%,11%,9%,3%,1%,-973%,-361%,-4948%,,,
Profit & Loss,Other Income,1,,,,2,,,,12,,,,7,5,28,55,55,3,6,0,0,,
Profit & Loss,Interest,0,,,,0,,,,2,,,,0,238,319,485,671,1021,1106,1501,1495,,
Profit & Loss,Depreciation,7,,,,5,,,,7,,,,8,36,40,53,54,29,27,16,10,,
Profit & Loss,Profit before tax,-42,,,,-4,,,,20,,,,35,55,-20,-395,-649,-4201,-1785,-2329,-1759,,
Profit & Loss,Tax %,0%,,,,0%,,,,-48%,,,,-0%,32%,-52%,0%,9%,-0%,-0%,0%,0%,,
Profit & Loss,Net Profit,-42,,,,-4,,,,29,,,,36,38,-9,-396,-704,-4201,-1785,-2329,-1759,,
Profit & Loss,EPS in Rs,-0.43,,,,-0.04,,,,0.25,,,,0.30,2.94,-0.73,-23.11,-41.12,-245.22,-104.17,-135.95,-102.67,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,17%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,127,,,,127,,,,146,,,,238,16,16,22,22,22,22,22,22,,
Balance Sheet,Reserves,25,,,,-102,,,,-172,,,,325,667,665,365,-298,-5584,-7348,-9701,-11384,,
Balance Sheet,Borrowings,1691,,,,1803,,,,1916,,,,1996,1202,1498,2942,5190,5718,6383,7007,7412,,
Balance Sheet,Other Liabilities,350,,,,457,,,,459,,,,447,1119,2347,2251,1467,2634,3387,4351,5367,,
Balance Sheet,Total Liabilities,2193,,,,2286,,,,2350,,,,3006,3006,4527,5579,6381,2790,2444,1678,1417,,
Balance Sheet,Fixed Assets,27,,,,32,,,,33,,,,44,457,469,436,425,90,62,43,33,,
Balance Sheet,CWIP,0,,,,0,,,,1,,,,0,9,2,2,28,0,0,0,0,,
Balance Sheet,Investments,1,,,,1,,,,1,,,,1,5,5,5,5,0,0,0,1,,
Balance Sheet,Other Assets,2166,,,,2253,,,,2315,,,,2960,2535,4051,5136,5922,2700,2382,1635,1384,,
Balance Sheet,Total Assets,2193,,,,2286,,,,2350,,,,3006,3006,4527,5579,6381,2790,2444,1678,1417,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-100,,,,-36,,,,-19,,,,-177,51,-88,-1130,-1764,1190,-9,-4,-2,,
Cash Flows,Cash from Investing Activity,-0,,,,-11,,,,-7,,,,-13,-80,-40,-81,-84,-639,0,0,0,,
Cash Flows,Cash from Financing Activity,170,,,,-7,,,,34,,,,615,8,177,1252,1772,-918,-0,1,0,,
Cash Flows,Net Cash Flow,70,,,,-53,,,,8,,,,425,-21,49,41,-76,-368,-9,-3,-2,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,158009,,,,3183,,,,1642,,,,1573,224,285,399,542,2740,4284,30382,,,
Ratios,Inventory Days,1284,,,,207,,,,127,,,,174,59,86,81,62,161,303,2629,2745,,
Ratios,Days Payable,4306,,,,429,,,,232,,,,293,135,285,240,93,1465,2868,25860,38714,,
Ratios,Cash Conversion Cycle,154987,,,,2961,,,,1537,,,,1454,148,86,239,511,1436,1719,7150,,,
Ratios,Working Capital Days,162212,,,,3055,,,,1586,,,,1519,145,154,257,377,-2423,-6867,-116682,,,
Ratios,ROCE %,,,,,-0%,,,,1%,,,,2%,17%,15%,3%,0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
