Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,163,105,180,207,178,134,182,124,168,88,128,121,140,,,,,,
Quarterly Results,Expenses,143,95,162,185,155,121,171,115,140,80,106,107,135,,,,,,
Quarterly Results,Operating Profit,20,10,18,22,23,12,11,9,28,9,22,14,4,,,,,,
Quarterly Results,OPM %,12%,10%,10%,11%,13%,9%,6%,7%,17%,10%,17%,12%,3%,,,,,,
Quarterly Results,Other Income,1,1,1,1,0,1,2,2,3,2,2,3,16,,,,,,
Quarterly Results,Interest,1,2,2,2,3,2,2,2,3,2,2,3,3,,,,,,
Quarterly Results,Depreciation,3,3,3,3,4,4,4,4,4,5,5,5,5,,,,,,
Quarterly Results,Profit before tax,17,6,14,17,17,8,7,4,25,3,16,9,12,,,,,,
Quarterly Results,Tax %,27%,33%,32%,32%,28%,25%,25%,22%,23%,29%,24%,21%,8%,,,,,,
Quarterly Results,Net Profit,12,4,9,11,12,6,6,3,19,2,12,7,11,,,,,,
Quarterly Results,EPS in Rs,3.80,1.29,2.96,3.58,3.69,1.72,1.61,0.99,5.42,0.57,3.53,2.01,3.10,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,406,,,,670,,,,608,,,,477,299,276,268,245,220,276
Profit & Loss,Expenses,351,,,,596,,,,547,,,,427,261,246,240,225,208,235
Profit & Loss,Operating Profit,55,,,,74,,,,61,,,,50,38,30,28,21,12,41
Profit & Loss,OPM %,14%,,,,11%,,,,10%,,,,10%,13%,11%,10%,8%,6%,15%
Profit & Loss,Other Income,2,,,,3,,,,9,,,,22,4,2,3,20,3,3
Profit & Loss,Interest,3,,,,9,,,,10,,,,11,2,2,1,2,1,3
Profit & Loss,Depreciation,11,,,,14,,,,16,,,,21,9,7,8,7,8,10
Profit & Loss,Profit before tax,44,,,,54,,,,44,,,,40,31,23,21,31,6,32
Profit & Loss,Tax %,30%,,,,31%,,,,24%,,,,19%,29%,11%,6%,21%,-19%,22%
Profit & Loss,Net Profit,30,,,,38,,,,34,,,,32,22,20,20,24,7,25
Profit & Loss,EPS in Rs,9.43,,,,11.16,,,,9.67,,,,9.21,7.03,6.40,6.27,7.64,2.32,7.70
Profit & Loss,Dividend Payout %,32%,,,,31%,,,,36%,,,,27%,32%,31%,32%,0%,65%,32%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,,,,17,,,,17,,,,17,16,16,16,16,16,16
Balance Sheet,Reserves,313,,,,367,,,,434,,,,445,140,210,217,230,216,262
Balance Sheet,Borrowings,58,,,,74,,,,86,,,,128,17,8,4,9,27,24
Balance Sheet,Other Liabilities,181,,,,177,,,,179,,,,196,74,68,100,87,110,97
Balance Sheet,Total Liabilities,569,,,,635,,,,716,,,,787,248,303,337,343,369,399
Balance Sheet,Fixed Assets,157,,,,169,,,,185,,,,204,107,113,108,120,134,140
Balance Sheet,CWIP,0,,,,7,,,,24,,,,50,0,1,0,1,7,1
Balance Sheet,Investments,55,,,,43,,,,72,,,,80,16,63,57,51,42,85
Balance Sheet,Other Assets,356,,,,415,,,,435,,,,453,124,126,172,170,186,173
Balance Sheet,Total Assets,569,,,,635,,,,716,,,,787,248,303,337,343,369,399
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-62,,,,-4,,,,33,,,,43,33,18,12,6,28,38
Cash Flows,Cash from Investing Activity,7,,,,-29,,,,-52,,,,-64,-17,-7,1,1,-39,-32
Cash Flows,Cash from Financing Activity,53,,,,34,,,,23,,,,17,-14,-11,-13,-5,9,-5
Cash Flows,Net Cash Flow,-2,,,,2,,,,5,,,,-4,2,1,-0,1,-1,1
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,50,,,,60,,,,60,,,,70,49,47,60,53,27,29
Ratios,Inventory Days,272,,,,157,,,,206,,,,365,118,137,223,259,339,231
Ratios,Days Payable,137,,,,61,,,,70,,,,94,58,69,122,93,121,88
Ratios,Cash Conversion Cycle,185,,,,156,,,,195,,,,341,109,114,161,219,244,172
Ratios,Working Capital Days,129,,,,102,,,,136,,,,203,58,70,89,112,99,78
Ratios,ROCE %,13%,,,,15%,,,,11%,,,,7%,,11%,9%,13%,3%,12%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,60.45%,60.44%,60.44%,60.23%,60.23%,60.24%,60.24%,60.24%,60.24%,60.24%,60.23%,60.23%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.61%,0.39%,0.40%,2.44%,2.27%,3.85%,3.78%,3.67%,3.41%,3.32%,2.96%,1.46%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.01%,0.10%,0.10%,0.23%,0.09%,0.01%,0.01%,0.01%,0.01%,0.01%,0.33%,0.69%,,,,,,
Shareholding Pattern (Quarterly),Public,,38.93%,39.06%,39.05%,37.11%,37.41%,35.91%,35.97%,36.08%,36.33%,36.43%,36.47%,37.59%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,26561,26603,24638,25623,27493,29453,30185,29965,32953,31945,30052,28882,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,60.44%,,,,60.23%,,,,60.24%,,,,60.23%,,56.18%,56.69%,57.32%,57.68%,58.56%
Shareholding Pattern (Yearly),FIIs,0.86%,,,,2.44%,,,,3.67%,,,,1.46%,,0.00%,0.30%,0.47%,0.97%,0.80%
Shareholding Pattern (Yearly),DIIs,0.04%,,,,0.23%,,,,0.01%,,,,0.69%,,0.08%,0.49%,0.03%,0.01%,0.01%
Shareholding Pattern (Yearly),Government,0.24%,,,,0.00%,,,,0.00%,,,,0.00%,,0.00%,0.16%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,38.42%,,,,37.11%,,,,36.08%,,,,37.59%,,43.74%,42.37%,42.19%,41.34%,40.63%
Shareholding Pattern (Yearly),No. of Shareholders,26210,,,,25623,,,,29965,,,,28882,,6420,14539,14259,12974,14462
,,,,,,,,,,,,,,,,,,,,
