Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,105.10,102.26,110.49,115.75,145.05,117.57,145.18,126.07,168.53,133.47,161.47,119.75,129.13,,,,,,,,
Quarterly Results,Expenses,105.39,102.32,98.54,108.10,128.28,109.83,132.80,120.37,157.59,124.61,161.27,114.01,128.43,,,,,,,,
Quarterly Results,Operating Profit,-0.29,-0.06,11.95,7.65,16.77,7.74,12.38,5.70,10.94,8.86,0.20,5.74,0.70,,,,,,,,
Quarterly Results,OPM %,-0.28%,-0.06%,10.82%,6.61%,11.56%,6.58%,8.53%,4.52%,6.49%,6.64%,0.12%,4.79%,0.54%,,,,,,,,
Quarterly Results,Other Income,116.25,2.37,15.82,2.91,1.15,1.22,1.00,3.49,2.28,0.98,11.99,1.56,3.17,,,,,,,,
Quarterly Results,Interest,8.87,5.79,5.00,5.95,5.74,5.87,6.78,6.46,6.54,6.52,5.87,5.49,6.44,,,,,,,,
Quarterly Results,Depreciation,1.30,1.23,1.25,1.23,1.29,1.26,1.28,1.22,1.26,1.32,1.23,1.24,1.10,,,,,,,,
Quarterly Results,Profit before tax,105.79,-4.71,21.52,3.38,10.89,1.83,5.32,1.51,5.42,2.00,5.09,0.57,-3.67,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.50%,0.00%,0.00%,4.90%,,,,,,,,
Quarterly Results,Net Profit,105.79,-4.71,21.52,3.38,10.89,1.83,5.32,1.51,5.42,1.93,5.09,0.57,-3.85,,,,,,,,
Quarterly Results,EPS in Rs,15.93,-0.71,3.24,0.51,1.64,0.28,0.80,0.23,0.82,0.29,0.77,0.09,-0.58,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,335,,,,474,,,,557,,,,544,991,510,548,572,370,295,314,278
Profit & Loss,Expenses,350,,,,437,,,,521,,,,528,1048,588,552,583,409,330,315,295
Profit & Loss,Operating Profit,-16,,,,36,,,,37,,,,16,-57,-77,-4,-11,-39,-36,-0,-17
Profit & Loss,OPM %,-5%,,,,8%,,,,7%,,,,3%,-6%,-15%,-1%,-2%,-10%,-12%,-0%,-6%
Profit & Loss,Other Income,119,,,,22,,,,8,,,,18,29,-105,25,17,7,65,95,8
Profit & Loss,Interest,31,,,,22,,,,26,,,,24,49,45,49,45,43,49,43,30
Profit & Loss,Depreciation,5,,,,5,,,,5,,,,5,20,12,12,12,12,9,7,8
Profit & Loss,Profit before tax,67,,,,31,,,,14,,,,4,-97,-240,-39,-52,-87,-28,45,-48
Profit & Loss,Tax %,0%,,,,0%,,,,0%,,,,6%,-1%,0%,0%,-0%,0%,0%,0%,0%
Profit & Loss,Net Profit,67,,,,31,,,,14,,,,4,-97,-240,-39,-52,-87,-28,45,-48
Profit & Loss,EPS in Rs,10.15,,,,4.68,,,,2.12,,,,0.56,-18.65,-45.19,-7.09,-7.88,-13.12,-4.21,6.82,-7.24
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,66,,,,66,,,,66,,,,66,51,53,56,66,66,66,66,66
Balance Sheet,Reserves,10,,,,25,,,,16,,,,48,72,-222,-256,5,-81,-158,-114,-33
Balance Sheet,Borrowings,142,,,,133,,,,126,,,,116,333,283,332,296,309,266,188,179
Balance Sheet,Other Liabilities,397,,,,388,,,,433,,,,370,488,318,310,366,320,303,347,415
Balance Sheet,Total Liabilities,616,,,,614,,,,641,,,,601,942,432,441,733,614,478,487,628
Balance Sheet,Fixed Assets,442,,,,439,,,,438,,,,435,337,98,92,416,405,327,322,481
Balance Sheet,CWIP,1,,,,1,,,,1,,,,0,2,2,0,0,0,0,0,0
Balance Sheet,Investments,2,,,,2,,,,2,,,,2,2,1,1,1,1,1,1,2
Balance Sheet,Other Assets,171,,,,172,,,,201,,,,164,601,331,348,316,207,149,164,145
Balance Sheet,Total Assets,616,,,,614,,,,641,,,,601,942,432,441,733,614,478,487,628
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,35,,,,7,,,,37,,,,36,42,-45,-23,31,23,1,34,30
Cash Flows,Cash from Investing Activity,103,,,,2,,,,-2,,,,-1,-4,-2,19,2,5,62,69,6
Cash Flows,Cash from Financing Activity,-109,,,,-33,,,,-31,,,,-35,-10,10,8,-40,-27,-66,-107,-34
Cash Flows,Net Cash Flow,29,,,,-24,,,,4,,,,0,28,-37,3,-7,-0,-2,-4,1
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,42,,,,42,,,,56,,,,39,74,118,112,91,67,53,63,63
Ratios,Inventory Days,71,,,,61,,,,46,,,,44,121,84,87,64,70,78,86,75
