Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1182,1191,1228,1220,1384,1543,1305,1391,1660,1636,1505,1454,1753,,,,,,
Quarterly Results,Expenses,1039,1018,1048,1028,1196,1277,1103,1133,1357,1313,1207,1199,1440,,,,,,
Quarterly Results,Operating Profit,143,173,181,192,188,266,201,258,303,323,298,255,313,,,,,,
Quarterly Results,OPM %,12%,15%,15%,16%,14%,17%,15%,19%,18%,20%,20%,18%,18%,,,,,,
Quarterly Results,Other Income,8,6,6,7,11,7,8,-24,23,20,19,11,36,,,,,,
Quarterly Results,Interest,35,42,47,57,64,76,74,82,97,101,118,133,131,,,,,,
Quarterly Results,Depreciation,25,27,26,26,26,27,30,31,31,30,33,37,39,,,,,,
Quarterly Results,Profit before tax,91,110,113,117,109,170,105,122,198,211,166,95,179,,,,,,
Quarterly Results,Tax %,25%,26%,27%,24%,27%,26%,26%,26%,26%,26%,25%,28%,29%,,,,,,
Quarterly Results,Net Profit,68,82,83,88,79,126,78,89,147,156,125,68,127,,,,,,
Quarterly Results,EPS in Rs,4.79,5.64,5.79,6.09,5.45,8.67,5.38,6.20,10.25,10.98,8.79,4.91,9.03,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4022,,,,5020,,,,5897,,,,6349,2464,2674,3055,3626,3379,3296
Profit & Loss,Expenses,3610,,,,4286,,,,4873,,,,5158,2187,2390,2790,3251,3085,2909
Profit & Loss,Operating Profit,412,,,,734,,,,1025,,,,1191,277,283,265,376,295,387
Profit & Loss,OPM %,10%,,,,15%,,,,17%,,,,19%,11%,11%,9%,10%,9%,12%
Profit & Loss,Other Income,27,,,,29,,,,18,,,,84,49,83,72,63,52,17
Profit & Loss,Interest,106,,,,210,,,,328,,,,483,9,3,12,13,14,50
Profit & Loss,Depreciation,101,,,,105,,,,119,,,,140,111,111,123,94,87,84
Profit & Loss,Profit before tax,232,,,,449,,,,595,,,,652,205,253,203,331,245,270
Profit & Loss,Tax %,26%,,,,26%,,,,26%,,,,27%,19%,31%,33%,34%,23%,27%
Profit & Loss,Net Profit,171,,,,332,,,,440,,,,476,165,174,136,220,188,197
Profit & Loss,EPS in Rs,12.07,,,,22.96,,,,30.48,,,,33.69,11.44,12.02,9.66,15.16,12.81,13.48
Profit & Loss,Dividend Payout %,33%,,,,22%,,,,20%,,,,19%,44%,42%,52%,33%,31%,30%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,29,,,,29,,,,29,,,,29,29,29,29,29,29,29
Balance Sheet,Reserves,2053,,,,2275,,,,2647,,,,3057,1415,1588,1547,1670,1716,1893
Balance Sheet,Borrowings,1965,,,,3244,,,,4142,,,,5819,7,12,142,90,189,849
Balance Sheet,Other Liabilities,975,,,,1169,,,,1450,,,,1575,519,541,783,807,825,1026
Balance Sheet,Total Liabilities,5021,,,,6717,,,,8268,,,,10480,1970,2170,2500,2595,2759,3797
Balance Sheet,Fixed Assets,721,,,,689,,,,769,,,,1210,475,440,702,663,623,698
Balance Sheet,CWIP,43,,,,69,,,,293,,,,71,29,15,30,41,78,55
Balance Sheet,Investments,738,,,,658,,,,489,,,,601,791,988,675,711,433,834
Balance Sheet,Other Assets,3519,,,,5302,,,,6718,,,,8599,674,727,1093,1180,1626,2210
Balance Sheet,Total Assets,5021,,,,6717,,,,8268,,,,10480,1970,2170,2500,2595,2759,3797
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-1041,,,,-920,,,,-469,,,,-739,99,171,136,192,-124,-16
Cash Flows,Cash from Investing Activity,-3,,,,-145,,,,-109,,,,-523,82,-190,7,-38,233,-465
Cash Flows,Cash from Financing Activity,950,,,,1182,,,,800,,,,1509,-176,2,-96,-153,-43,599
Cash Flows,Net Cash Flow,-93,,,,117,,,,223,,,,248,6,-16,48,1,67,118
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,43,,,,38,,,,38,,,,40,23,27,48,41,45,49
