Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1037,1496,1786,1606,1574,1508,1578,1554,1729,1559,1688,1614,1748,,,,,,,,
Quarterly Results,Expenses,932,1324,1562,1364,1352,1300,1315,1325,1488,1380,1476,1441,1542,,,,,,,,
Quarterly Results,Operating Profit,105,172,224,242,222,209,263,228,240,179,212,172,206,,,,,,,,
Quarterly Results,OPM %,10%,12%,13%,15%,14%,14%,17%,15%,14%,11%,13%,11%,12%,,,,,,,,
Quarterly Results,Other Income,16,17,25,10,17,10,-25,14,-19,12,19,12,39,,,,,,,,
Quarterly Results,Interest,14,21,25,25,26,30,30,30,32,34,37,39,36,,,,,,,,
Quarterly Results,Depreciation,28,41,42,44,49,47,58,64,73,61,64,66,67,,,,,,,,
Quarterly Results,Profit before tax,79,127,182,183,164,142,150,148,116,96,130,79,142,,,,,,,,
Quarterly Results,Tax %,156%,19%,28%,28%,43%,34%,39%,29%,39%,31%,29%,33%,32%,,,,,,,,
Quarterly Results,Net Profit,-44,103,131,133,93,94,91,105,71,66,92,53,97,,,,,,,,
Quarterly Results,EPS in Rs,0.12,49.42,70.41,64.18,44.39,41.13,46.00,51.06,61.67,28.72,47.75,23.09,44.94,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3810,,,,6490,,,,6396,,,,6608,1239,1368,1119,1137,1826,2222,1916,2080
Profit & Loss,Expenses,3125,,,,5603,,,,5430,,,,5839,1127,1222,970,968,1674,1962,1650,1598
Profit & Loss,Operating Profit,685,,,,886,,,,965,,,,769,112,147,148,170,152,260,265,482
Profit & Loss,OPM %,18%,,,,14%,,,,15%,,,,12%,9%,11%,13%,15%,8%,12%,14%,23%
Profit & Loss,Other Income,10,,,,43,,,,-45,,,,83,51,52,56,50,2,2,14,2
Profit & Loss,Interest,31,,,,97,,,,122,,,,146,23,30,24,14,13,18,19,27
Profit & Loss,Depreciation,95,,,,175,,,,242,,,,259,37,51,45,47,51,57,60,79
Profit & Loss,Profit before tax,568,,,,658,,,,556,,,,447,103,117,136,159,91,188,200,378
Profit & Loss,Tax %,44%,,,,30%,,,,35%,,,,31%,25%,27%,26%,25%,25%,30%,25%,18%
Profit & Loss,Net Profit,316,,,,460,,,,361,,,,308,78,86,100,119,68,132,151,311
Profit & Loss,EPS in Rs,197.95,,,,220.11,,,,201.86,,,,143.18,60.08,63.50,74.46,77.66,51.10,86.60,98.77,168.71
Profit & Loss,Dividend Payout %,5%,,,,5%,,,,6%,,,,9%,7%,32%,27%,26%,41%,24%,10%,6%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,10,,,,10,,,,10,10,10,10,10,10,10,10,10
Balance Sheet,Reserves,2319,,,,3243,,,,4982,,,,6284,713,750,799,875,1779,1356,1023,1736
Balance Sheet,Borrowings,1216,,,,979,,,,1241,,,,1283,190,133,108,97,88,138,323,305
Balance Sheet,Other Liabilities,3241,,,,3301,,,,3529,,,,4073,592,589,515,597,829,938,954,1145
Balance Sheet,Total Liabilities,6786,,,,7534,,,,9761,,,,11651,1504,1482,1432,1578,2706,2441,2310,3196
Balance Sheet,Fixed Assets,2780,,,,3107,,,,3259,,,,3599,553,548,556,587,599,650,897,1057
Balance Sheet,CWIP,418,,,,423,,,,768,,,,651,23,31,8,19,76,62,144,243
Balance Sheet,Investments,1190,,,,1575,,,,3392,,,,4730,423,422,511,505,1423,933,541,1068
Balance Sheet,Other Assets,2398,,,,2429,,,,2342,,,,2672,505,480,357,467,608,796,728,828
Balance Sheet,Total Assets,6786,,,,7534,,,,9761,,,,11651,1504,1482,1432,1578,2706,2441,2310,3196
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,317,,,,760,,,,575,,,,598,83,156,104,88,107,112,185,256
Cash Flows,Cash from Investing Activity,-211,,,,-369,,,,-600,,,,-537,-69,-56,6,-51,-31,-108,-258,-194
