Section,,Mar 2006,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,192,331,359,386,438,470,544,614,630,630,689,,,,,,,,,,,,,,,
Profit & Loss,Expenses,189,302,333,373,444,468,527,590,606,590,637,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,2,29,26,13,-5,3,17,25,24,39,51,,,,,,,,,,,,,,,
Profit & Loss,OPM %,1%,9%,7%,3%,-1%,1%,3%,4%,4%,6%,7%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,8,-2,-0,1,0,6,8,5,3,2,1,,,,,,,,,,,,,,,
Profit & Loss,Interest,7,6,7,7,7,9,10,11,12,10,12,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,5,5,7,7,8,9,11,12,12,17,18,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-2,16,12,0,-20,-9,4,7,2,15,23,,,,,,,,,,,,,,,
Profit & Loss,Tax %,-11%,27%,27%,167%,-26%,-15%,-15%,28%,33%,34%,33%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-2,12,9,-0,-15,-8,5,5,2,10,15,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-0.23,1.30,0.95,-0.01,-1.48,-0.78,0.50,0.52,0.15,0.98,1.52,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,-2%,26%,18%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,6,6,7,7,10,10,10,10,10,10,,,,,,,,,,,,,,,
Balance Sheet,Reserves,10,56,64,123,108,199,203,209,218,228,239,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,60,43,44,42,65,71,73,99,138,138,173,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,62,76,82,83,92,114,132,130,114,108,132,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,137,180,195,254,272,394,418,448,481,485,555,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,41,56,66,67,71,79,107,105,102,159,165,,,,,,,,,,,,,,,
Balance Sheet,CWIP,8,2,0,0,1,6,1,25,50,0,0,,,,,,,,,,,,,,,
Balance Sheet,Investments,1,1,1,0,0,0,1,1,10,11,6,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,87,121,128,186,199,308,309,317,320,316,383,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,137,180,195,254,272,394,418,448,481,485,555,,,,,,,,,,,,,,,
