Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,987,1228,1319,1536,1280,1414,1214,1438,1318,1199,1270,1682,1442,,,,,,,,
Quarterly Results,Expenses,825,997,1035,1257,1136,1163,1020,1260,1140,1082,1148,1487,1219,,,,,,,,
Quarterly Results,Operating Profit,163,231,285,279,144,252,195,178,178,117,123,195,224,,,,,,,,
Quarterly Results,OPM %,16%,19%,22%,18%,11%,18%,16%,12%,14%,10%,10%,12%,16%,,,,,,,,
Quarterly Results,Other Income,7,11,21,18,43,27,33,28,9,22,36,8,11,,,,,,,,
Quarterly Results,Interest,4,2,1,3,8,1,1,7,14,5,1,1,8,,,,,,,,
Quarterly Results,Depreciation,19,19,19,19,19,20,20,20,20,20,20,20,21,,,,,,,,
Quarterly Results,Profit before tax,147,222,285,275,160,257,207,179,153,114,138,182,207,,,,,,,,
Quarterly Results,Tax %,26%,26%,25%,25%,26%,24%,26%,25%,25%,24%,25%,27%,25%,,,,,,,,
Quarterly Results,Net Profit,109,164,213,205,118,195,153,134,114,87,103,133,154,,,,,,,,
Quarterly Results,EPS in Rs,4.63,6.99,9.05,8.73,5.01,8.27,6.70,5.85,4.98,3.78,4.49,5.79,6.74,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4211,,,,5365,,,,5385,,,,5594,2882,3143,3360,3145,3246,4120,4499,3992
Profit & Loss,Expenses,3549,,,,4425,,,,4582,,,,4919,2441,2617,2913,2502,2472,3271,3629,3170
Profit & Loss,Operating Profit,662,,,,939,,,,802,,,,674,441,526,447,644,774,850,870,822
Profit & Loss,OPM %,16%,,,,18%,,,,15%,,,,12%,15%,17%,13%,20%,24%,21%,19%,21%
Profit & Loss,Other Income,43,,,,92,,,,97,,,,61,20,2,61,10,18,15,23,23
Profit & Loss,Interest,13,,,,15,,,,24,,,,15,76,81,67,55,69,68,62,24
Profit & Loss,Depreciation,74,,,,76,,,,79,,,,81,58,53,50,61,68,64,73,72
Profit & Loss,Profit before tax,617,,,,941,,,,796,,,,640,326,394,391,538,655,733,758,749
Profit & Loss,Tax %,26%,,,,26%,,,,25%,,,,26%,22%,18%,25%,26%,34%,31%,26%,25%
Profit & Loss,Net Profit,459,,,,701,,,,596,,,,476,255,322,293,399,434,503,558,559
Profit & Loss,EPS in Rs,19.52,,,,29.78,,,,26.03,,,,20.80,10.84,13.67,12.45,16.97,18.46,21.37,23.71,23.74
Profit & Loss,Dividend Payout %,18%,,,,3%,,,,15%,,,,17%,11%,12%,15%,12%,12%,12%,12%,15%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,24,,,,24,,,,23,,,,23,24,24,24,24,24,24,24,24
Balance Sheet,Reserves,4047,,,,4669,,,,4835,,,,5217,1020,1301,1475,1884,2264,2703,3104,3669
Balance Sheet,Borrowings,145,,,,250,,,,545,,,,407,1380,1351,1167,1090,1245,1428,572,369
Balance Sheet,Other Liabilities,533,,,,648,,,,525,,,,579,291,390,315,425,324,481,724,566
Balance Sheet,Total Liabilities,4748,,,,5591,,,,5927,,,,6226,2715,3066,2981,3422,3858,4636,4423,4628
Balance Sheet,Fixed Assets,924,,,,899,,,,903,,,,922,563,640,765,1013,982,941,979,947
Balance Sheet,CWIP,2,,,,16,,,,13,,,,21,14,114,100,2,2,1,12,9
Balance Sheet,Investments,21,,,,31,,,,115,,,,351,6,7,13,10,9,8,6,19
Balance Sheet,Other Assets,3801,,,,4645,,,,4896,,,,4932,2131,2306,2103,2397,2864,3687,3425,3653
Balance Sheet,Total Assets,4748,,,,5591,,,,5927,,,,6226,2715,3066,2981,3422,3858,4636,4423,4628
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,561,,,,-360,,,,226,,,,961,-489,337,510,258,61,-115,1212,384
Cash Flows,Cash from Investing Activity,-206,,,,206,,,,-87,,,,-523,1,-231,-174,-208,-49,20,-54,-12
Cash Flows,Cash from Financing Activity,-322,,,,5,,,,-157,,,,-252,391,-147,-332,-74,25,59,-1148,-227
