Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,71,66,82,96,91,111,132
Quarterly Results,Expenses,58,54,64,78,73,96,113
Quarterly Results,Operating Profit,13,12,18,18,18,16,19
Quarterly Results,OPM %,19%,18%,21%,18%,20%,14%,14%
Quarterly Results,Other Income,1,1,2,1,1,5,4
Quarterly Results,Interest,1,1,1,1,1,0,1
Quarterly Results,Depreciation,1,1,1,1,1,1,1
Quarterly Results,Profit before tax,12,11,17,17,17,19,21
Quarterly Results,Tax %,29%,29%,30%,29%,29%,28%,30%
Quarterly Results,Net Profit,9,8,12,12,12,14,15
Quarterly Results,EPS in Rs,1.96,1.71,2.61,2.59,1.98,2.21,2.39
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,,307,,,,430
Profit & Loss,Expenses,,,249,,,,359
Profit & Loss,Operating Profit,,,59,,,,70
Profit & Loss,OPM %,,,19%,,,,16%
Profit & Loss,Other Income,,,5,,,,12
Profit & Loss,Interest,,,4,,,,3
Profit & Loss,Depreciation,,,4,,,,5
Profit & Loss,Profit before tax,,,56,,,,74
Profit & Loss,Tax %,,,30%,,,,29%
Profit & Loss,Net Profit,,,39,,,,53
Profit & Loss,EPS in Rs,,,8.47,,,,8.51
Profit & Loss,Dividend Payout %,,,0%,,,,0%
,,,,,,,,
Balance Sheet,Equity Capital,,,46,,,,62
Balance Sheet,Reserves,,,86,,,,436
Balance Sheet,Borrowings,,,87,,,,33
Balance Sheet,Other Liabilities,,,40,,,,63
Balance Sheet,Total Liabilities,,,258,,,,595
Balance Sheet,Fixed Assets,,,82,,,,85
Balance Sheet,CWIP,,,4,,,,82
Balance Sheet,Investments,,,0,,,,0
Balance Sheet,Other Assets,,,172,,,,428
Balance Sheet,Total Assets,,,258,,,,595
,,,,,,,,
Cash Flows,Cash from Operating Activity,,,3,,,,21
Cash Flows,Cash from Investing Activity,,,-66,,,,-279
Cash Flows,Cash from Financing Activity,,,66,,,,258
Cash Flows,Net Cash Flow,,,3,,,,-0
,,,,,,,,
Ratios,Debtor Days,,,62,,,,79
Ratios,Inventory Days,,,139,,,,110
Ratios,Days Payable,,,60,,,,63
Ratios,Cash Conversion Cycle,,,141,,,,125
Ratios,Working Capital Days,,,138,,,,180
Ratios,ROCE %,,,,,,,21%
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,70.79%,70.79%,70.79%
Shareholding Pattern (Quarterly),FIIs,,,,,4.05%,1.98%,1.21%
Shareholding Pattern (Quarterly),DIIs,,,,,7.46%,8.18%,6.28%
Shareholding Pattern (Quarterly),Public,,,,,17.69%,19.05%,21.72%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,87558,73898,85306
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,70.79%
Shareholding Pattern (Yearly),FIIs,,,,,,,1.21%
Shareholding Pattern (Yearly),DIIs,,,,,,,6.28%
Shareholding Pattern (Yearly),Public,,,,,,,21.72%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,85306
,,,,,,,,
