Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,7.16,8.05,16.31,9.61,14.22,16.10,14.04,15.04,11.56,13.07,10.61,6.66,,,,
Quarterly Results,Expenses,6.38,7.19,14.81,8.71,14.38,16.85,16.78,12.49,10.67,15.20,11.64,10.99,,,,
Quarterly Results,Operating Profit,0.78,0.86,1.50,0.90,-0.16,-0.75,-2.74,2.55,0.89,-2.13,-1.03,-4.33,,,,
Quarterly Results,OPM %,10.89%,10.68%,9.20%,9.37%,-1.13%,-4.66%,-19.52%,16.95%,7.70%,-16.30%,-9.71%,-65.02%,,,,
Quarterly Results,Other Income,0.02,0.02,0.04,0.04,0.31,0.38,6.00,0.10,0.12,0.23,0.95,0.62,,,,
Quarterly Results,Interest,0.42,0.46,0.83,0.27,0.59,0.86,0.71,0.02,0.21,1.06,0.31,0.95,,,,
Quarterly Results,Depreciation,0.25,0.27,0.54,0.29,0.23,0.25,0.26,0.43,0.22,0.15,0.36,0.93,,,,
Quarterly Results,Profit before tax,0.13,0.15,0.17,0.38,-0.67,-1.48,2.29,2.20,0.58,-3.11,-0.75,-5.59,,,,
Quarterly Results,Tax %,38.46%,40.00%,35.29%,23.68%,2.99%,1.35%,0.87%,30.91%,13.79%,-2.57%,0.00%,-3.04%,,,,
Quarterly Results,Net Profit,0.07,0.08,0.11,0.29,-0.70,-1.49,2.28,1.52,0.50,-3.03,-0.50,-3.81,,,,
Quarterly Results,EPS in Rs,0.01,0.01,0.01,0.03,-0.08,-0.16,0.25,0.17,0.05,-0.33,-0.05,-0.42,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,33.86,,,,59.36,,,,41.91,39.04,,,
Profit & Loss,Expenses,,,,30.46,,,,60.45,,,,48.50,35.28,,,
Profit & Loss,Operating Profit,,,,3.40,,,,-1.09,,,,-6.59,3.76,,,
Profit & Loss,OPM %,,,,10.04%,,,,-1.84%,,,,-15.72%,9.63%,,,
Profit & Loss,Other Income,,,,0.10,,,,6.79,,,,1.91,0.04,,,
Profit & Loss,Interest,,,,1.63,,,,2.18,,,,2.53,2.08,,,
Profit & Loss,Depreciation,,,,1.27,,,,1.17,,,,1.66,1.10,,,
