Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2007,Mar 2008,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2024,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Quarterly Results,Sales,272,121,322,368,377,390,461,407,449,461,492,484,544,,,,,,,,,,,,,,,
Quarterly Results,Expenses,234,107,261,284,274,294,375,346,352,382,396,401,430,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,38,14,61,84,104,96,86,61,97,79,96,83,114,,,,,,,,,,,,,,,
Quarterly Results,OPM %,14%,12%,19%,23%,27%,25%,19%,15%,22%,17%,20%,17%,21%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,8,10,12,9,12,12,13,12,15,13,15,13,14,,,,,,,,,,,,,,,
Quarterly Results,Interest,3,1,1,1,3,3,4,4,3,4,5,6,4,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,11,11,11,11,11,11,11,12,12,16,16,16,16,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,31,12,61,81,102,93,83,58,96,72,90,76,108,,,,,,,,,,,,,,,
Quarterly Results,Tax %,33%,25%,25%,25%,26%,25%,26%,26%,24%,28%,25%,25%,26%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,21,9,45,60,76,70,62,43,73,52,67,56,80,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,5.19,2.01,10.39,13.86,17.34,16.02,14.15,9.80,15.95,11.96,15.44,12.93,18.37,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1199,,,,1188,,,,1706,,,,1982,885,950,989,1180,1257,1345,1407,1959,,,,,,,
Profit & Loss,Expenses,1005,,,,925,,,,1368,,,,1609,779,868,978,1004,970,1141,1194,1588,,,,,,,
Profit & Loss,Operating Profit,194,,,,263,,,,338,,,,373,106,83,11,177,287,204,212,371,,,,,,,
Profit & Loss,OPM %,16%,,,,22%,,,,20%,,,,19%,12%,9%,1%,15%,23%,15%,15%,19%,,,,,,,
Profit & Loss,Other Income,23,,,,43,,,,52,,,,55,69,57,51,61,14,17,25,49,,,,,,,
Profit & Loss,Interest,10,,,,7,,,,13,,,,19,26,19,28,12,10,9,7,26,,,,,,,
Profit & Loss,Depreciation,43,,,,44,,,,46,,,,63,18,19,32,52,52,37,38,61,,,,,,,
Profit & Loss,Profit before tax,165,,,,255,,,,331,,,,346,131,102,2,174,239,175,192,333,,,,,,,
Profit & Loss,Tax %,19%,,,,25%,,,,25%,,,,26%,27%,25%,-112%,35%,35%,34%,32%,25%,,,,,,,
Profit & Loss,Net Profit,134,,,,190,,,,248,,,,256,96,88,4,113,156,115,131,249,,,,,,,
Profit & Loss,EPS in Rs,31.29,,,,43.59,,,,55.93,,,,58.70,21.93,20.04,0.82,25.99,35.79,26.48,30.17,56.99,,,,,,,
Profit & Loss,Dividend Payout %,16%,,,,17%,,,,18%,,,,17%,18%,20%,0%,0%,0%,19%,17%,18%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,22,,,,22,,,,22,,,,22,44,44,44,22,22,22,22,22,,,,,,,
Balance Sheet,Reserves,941,,,,1131,,,,1346,,,,1870,452,519,516,567,679,763,868,1658,,,,,,,
Balance Sheet,Borrowings,5,,,,173,,,,340,,,,438,82,226,249,327,245,176,25,596,,,,,,,
Balance Sheet,Other Liabilities,397,,,,324,,,,551,,,,403,386,393,307,340,416,320,416,297,,,,,,,
Balance Sheet,Total Liabilities,1364,,,,1650,,,,2258,,,,2732,964,1182,1115,1256,1362,1280,1332,2573,,,,,,,
Balance Sheet,Fixed Assets,418,,,,382,,,,358,,,,678,180,261,256,545,436,437,423,734,,,,,,,
Balance Sheet,CWIP,5,,,,11,,,,154,,,,429,47,26,15,3,7,7,7,381,,,,,,,
Balance Sheet,Investments,177,,,,144,,,,147,,,,3,311,279,382,181,226,272,359,41,,,,,,,
Balance Sheet,Other Assets,763,,,,1113,,,,1597,,,,1622,426,616,463,527,692,563,543,1418,,,,,,,
Balance Sheet,Total Assets,1364,,,,1650,,,,2258,,,,2732,964,1182,1115,1256,1362,1280,1332,2573,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,257,,,,62,,,,362,,,,382,73,-66,98,160,152,191,286,302,,,,,,,
Cash Flows,Cash from Investing Activity,-183,,,,-226,,,,-474,,,,-135,-83,-40,-66,-255,-38,-77,-116,-283,,,,,,,
Cash Flows,Cash from Financing Activity,-80,,,,160,,,,123,,,,-252,7,105,-28,97,-98,-105,-181,-10,,,,,,,
Cash Flows,Net Cash Flow,-6,,,,-3,,,,11,,,,-5,-4,-1,3,2,16,10,-12,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,72,,,,77,,,,68,,,,79,67,82,50,107,135,102,80,78,,,,,,,
Ratios,Inventory Days,74,,,,71,,,,82,,,,95,65,100,83,90,81,53,71,93,,,,,,,
Ratios,Days Payable,184,,,,140,,,,172,,,,97,175,130,63,120,147,88,153,67,,,,,,,
Ratios,Cash Conversion Cycle,-39,,,,7,,,,-22,,,,78,-43,53,70,77,69,67,-1,105,,,,,,,
Ratios,Working Capital Days,11,,,,35,,,,14,,,,81,33,102,71,77,65,53,26,96,,,,,,,
Ratios,ROCE %,18%,,,,23%,,,,23%,,,,16%,30%,18%,4%,,27%,19%,20%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,64.70%,64.70%,64.70%,64.70%,,,,,,,,64.70%,64.69%,64.70%,64.70%,64.70%,64.70%,64.70%,64.70%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,2.45%,2.11%,2.66%,2.18%,,,,,,,,2.54%,3.06%,2.88%,2.88%,2.89%,2.85%,2.73%,2.71%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,12.03%,12.13%,10.83%,10.49%,,,,,,,,12.18%,9.13%,9.14%,9.14%,9.04%,9.26%,8.75%,9.37%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,20.82%,21.06%,21.80%,22.63%,,,,,,,,20.59%,23.12%,23.29%,23.28%,23.39%,23.18%,23.81%,23.21%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,46153,47179,44048,44429,,,,,,,,45777,43811,43094,42594,42390,41836,42757,42135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,64.71%,,,,64.71%,,,,64.71%,,,,64.70%,,,,,60.60%,64.71%,64.71%,64.70%,,,,64.70%,,,
Shareholding Pattern (Yearly),FIIs,2.18%,,,,2.39%,,,,0.00%,,,,2.18%,,,,,2.12%,2.52%,1.83%,2.54%,,,,2.89%,,,
Shareholding Pattern (Yearly),DIIs,3.57%,,,,7.23%,,,,9.13%,,,,10.49%,,,,,3.18%,2.41%,2.60%,12.18%,,,,9.04%,,,
Shareholding Pattern (Yearly),Public,29.54%,,,,25.67%,,,,26.15%,,,,22.63%,,,,,34.10%,30.36%,30.86%,20.59%,,,,23.39%,,,
Shareholding Pattern (Yearly),No. of Shareholders,46393,,,,42583,,,,44496,,,,44429,,,,,43017,51082,49965,45777,,,,42390,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
