Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Revenue,1579,1629,1771,1851,1969,1959,2027,2113,2201,2278,2234,2243,2258,,,,,
Quarterly Results,Interest,922,942,968,1016,1109,1144,1204,1285,1367,1375,1401,1450,1478,,,,,
Quarterly Results,Expenses,629,771,471,672,823,689,670,758,938,664,674,743,858,,,,,
Quarterly Results,Financing Profit,27,-83,331,162,37,126,153,70,-104,239,159,50,-77,,,,,
Quarterly Results,Financing Margin %,2%,-5%,19%,9%,2%,6%,8%,3%,-5%,11%,7%,2%,-3%,,,,,
Quarterly Results,Other Income,257,133,260,205,395,324,250,326,419,279,270,299,422,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Quarterly Results,Profit before tax,284,50,592,367,432,450,402,396,315,518,429,349,344,,,,,
Quarterly Results,Tax %,54%,-129%,30%,18%,18%,18%,18%,16%,13%,23%,22%,19%,27%,,,,,
Quarterly Results,Net Profit,130,114,411,301,354,371,330,331,274,400,336,284,253,,,,,
Quarterly Results,EPS in Rs,4.18,3.66,13.22,9.64,11.32,11.87,10.56,9.55,7.27,10.61,8.90,7.50,6.68,,,,,
Quarterly Results,Gross NPA %,3.90%,4.03%,3.36%,3.28%,3.74%,3.68%,3.47%,3.64%,3.53%,3.54%,3.21%,3.11%,3.08%,,,,,
Quarterly Results,Net NPA %,2.42%,2.16%,1.72%,1.66%,1.70%,1.43%,1.36%,1.55%,1.58%,1.66%,1.46%,1.39%,1.31%,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,6222,,,,7220,,,,8299,,,,9014,6475,6232,,,
Profit & Loss,Interest,3731,,,,4035,,,,5000,,,,5703,4444,4049,,,
Profit & Loss,Expenses,2677,,,,2651,,,,2983,,,,2939,2706,2993,,,
Profit & Loss,Financing Profit,-186,,,,534,,,,316,,,,372,-676,-810,,,
Profit & Loss,Financing Margin %,-3%,,,,7%,,,,4%,,,,4%,-10%,-13%,,,
Profit & Loss,Other Income,954,,,,993,,,,1319,,,,1270,1262,1495,,,
Profit & Loss,Depreciation,74,,,,86,,,,72,,,,0,64,74,,,
