Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Revenue,5328,5296,5096,5890,6431,6759,6765,6804,6948,6797,6938,7070,7306,,,,,,,,
Quarterly Results,Interest,3551,3639,3886,4232,4378,4493,4600,4646,4649,4749,4879,4950,4950,,,,,,,,
Quarterly Results,Expenses,456,504,811,1069,582,602,670,686,800,392,372,297,549,,,,,,,,
Quarterly Results,Financing Profit,1320,1153,399,589,1472,1664,1496,1473,1500,1656,1687,1823,1806,,,,,,,,
Quarterly Results,Financing Margin %,25%,22%,8%,10%,23%,25%,22%,22%,22%,24%,24%,26%,25%,,,,,,,,
Quarterly Results,Other Income,9,6,5,6,0,0,0,0,0,2,2,1,0,,,,,,,,
Quarterly Results,Depreciation,15,16,16,17,19,19,13,18,18,22,24,25,26,,,,,,,,
Quarterly Results,Profit before tax,1314,1143,388,577,1453,1645,1483,1454,1482,1635,1665,1798,1780,,,,,,,,
Quarterly Results,Tax %,15%,19%,20%,20%,18%,20%,20%,20%,27%,20%,20%,20%,23%,,,,,,,,
Quarterly Results,Net Profit,1114,926,313,462,1191,1319,1192,1169,1082,1306,1328,1435,1374,,,,,,,,
Quarterly Results,EPS in Rs,20.25,16.84,5.69,8.40,21.65,23.98,21.67,21.25,19.66,23.75,24.14,26.09,24.97,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,19978,,,,22717,,,,27277,,,,28110,9339,10812,12491,14092,14876,17398,19740,19886
Profit & Loss,Interest,14151,,,,16135,,,,18385,,,,19528,7174,8310,9307,10231,11144,12891,14781,14450
Profit & Loss,Expenses,3012,,,,2964,,,,2759,,,,1609,357,390,611,887,940,1104,1592,2012
Profit & Loss,Financing Profit,2815,,,,3618,,,,6133,,,,6973,1808,2112,2573,2974,2792,3404,3367,3423
Profit & Loss,Financing Margin %,14%,,,,16%,,,,22%,,,,25%,19%,20%,21%,21%,19%,20%,17%,17%
Profit & Loss,Other Income,27,,,,11,,,,0,,,,4,34,17,12,9,0,0,-33,-5
Profit & Loss,Depreciation,55,,,,69,,,,69,,,,98,8,10,10,10,10,12,51,52
Profit & Loss,Profit before tax,2787,,,,3561,,,,6064,,,,6879,1834,2119,2575,2973,2782,3392,3282,3365
Profit & Loss,Tax %,18%,,,,19%,,,,22%,,,,21%,28%,34%,35%,35%,28%,28%,27%,19%
Profit & Loss,Net Profit,2286,,,,2891,,,,4760,,,,5443,1319,1396,1668,1942,2008,2434,2404,2741
Profit & Loss,EPS in Rs,41.55,,,,52.55,,,,86.52,,,,98.94,26.12,27.65,33.05,38.49,39.79,48.23,47.62,54.31
Profit & Loss,Dividend Payout %,20%,,,,16%,,,,10%,,,,10%,17%,18%,17%,16%,17%,16%,17%,16%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,110,,,,110,,,,110,,,,110,101,101,101,101,101,101,101,101
Balance Sheet,Reserves,24641,,,,27075,,,,31367,,,,36242,7485,7779,9114,11055,14210,16230,18164,20500
Balance Sheet,Borrowing,223757,,,,244913,,,,252618,,,,270726,82036,96532,110931,126337,150913,170657,191428,207925
Balance Sheet,Other Liabilities,6179,,,,6461,,,,7239,,,,6963,6240,8218,10441,13504,6004,13719,7227,7195
Balance Sheet,Total Liabilities,254687,,,,278559,,,,291334,,,,314040,95862,112630,130587,150997,171228,200707,216920,235721
Balance Sheet,Fixed Assets,315,,,,388,,,,389,,,,429,86,90,102,102,129,168,294,282
Balance Sheet,CWIP,4,,,,1,,,,0,,,,0,0,0,0,5,3,2,3,6
Balance Sheet,Investments,6279,,,,7050,,,,6337,,,,7201,194,241,280,537,2008,3617,5485,4644
Balance Sheet,Other Assets,248088,,,,271120,,,,284607,,,,306411,95581,112298,130204,150352,169088,196920,211138,230789
Balance Sheet,Total Assets,254687,,,,278559,,,,291334,,,,314040,95862,112630,130587,150997,171228,200707,216920,235721
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-16729,,,,-19632,,,,-7151,,,,-16609,-11523,-14345,-13039,-14273,-18977,-21538,-14738,-17140
Cash Flows,Cash from Investing Activity,-1629,,,,-800,,,,587,,,,-939,-2,-58,-58,-278,1368,-1642,-1851,858
Cash Flows,Cash from Financing Activity,17850,,,,20249,,,,7346,,,,17413,13048,14232,14098,15072,18074,24068,15156,16245
Cash Flows,Net Cash Flow,-508,,,,-183,,,,781,,,,-134,1524,-171,1001,521,465,887,-1434,-37
,,,,,,,,,,,,,,,,,,,,,,
Ratios,ROE %,10%,,,,11%,,,,16%,,,,16%,19%,18%,20%,19%,16%,16%,14%,14%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,45.24%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,20.67%,20.97%,19.32%,17.66%,17.15%,21.21%,21.91%,22.59%,23.19%,21.95%,21.24%,21.55%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,19.22%,20.68%,22.74%,24.18%,25.03%,21.51%,21.76%,21.99%,21.22%,20.53%,21.44%,21.34%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,14.88%,13.10%,12.70%,12.92%,12.56%,12.03%,11.09%,10.18%,10.36%,12.29%,12.08%,11.87%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,442359,377701,364785,362974,349173,324814,305862,297899,303961,361857,366899,364182,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,45.24%,,,,45.24%,,,,45.24%,,,,45.24%,,,,40.31%,40.31%,40.31%,40.31%,40.31%
Shareholding Pattern (Yearly),FIIs,23.03%,,,,17.66%,,,,22.59%,,,,21.55%,,,,32.90%,32.93%,31.42%,32.32%,28.20%
