Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,998,983,1212,1222,1303,1191,1320,1214,971,673,769,766,804,,,,,,,,
Quarterly Results,Expenses,908,897,1092,1096,1185,1082,1184,1097,897,660,737,731,746,,,,,,,,
Quarterly Results,Operating Profit,91,86,120,125,118,109,136,117,74,13,32,36,58,,,,,,,,
Quarterly Results,OPM %,9%,9%,10%,10%,9%,9%,10%,10%,8%,2%,4%,5%,7%,,,,,,,,
Quarterly Results,Other Income,15,25,43,32,48,36,35,32,40,29,30,33,33,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Quarterly Results,Depreciation,15,16,19,21,22,23,24,23,27,26,28,29,29,,,,,,,,
Quarterly Results,Profit before tax,90,94,144,137,144,122,147,125,87,16,34,40,61,,,,,,,,
Quarterly Results,Tax %,8%,23%,28%,17%,35%,23%,22%,21%,24%,32%,28%,52%,22%,,,,,,,,
Quarterly Results,Net Profit,83,73,104,113,94,94,115,99,66,11,24,19,48,,,,,,,,
Quarterly Results,EPS in Rs,77.44,67.98,97.63,105.77,88.09,87.80,107.75,92.46,61.76,10.32,22.90,18.07,44.76,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3171,,,,4719,,,,4696,,,,3012,2338,2488,2863,2499,2643,2712,1574,1727
Profit & Loss,Expenses,2924,,,,4269,,,,4261,,,,2870,2065,2177,2525,2240,2367,2438,1563,1657
Profit & Loss,Operating Profit,247,,,,450,,,,435,,,,142,273,311,338,259,276,274,11,71
Profit & Loss,OPM %,8%,,,,10%,,,,9%,,,,5%,12%,12%,12%,10%,10%,10%,1%,4%
Profit & Loss,Other Income,51,,,,147,,,,143,,,,122,102,91,88,84,103,65,92,56
Profit & Loss,Interest,0,,,,0,,,,0,,,,0,2,1,1,0,1,1,1,0
Profit & Loss,Depreciation,60,,,,78,,,,96,,,,113,104,100,88,80,76,55,55,56
Profit & Loss,Profit before tax,238,,,,519,,,,482,,,,151,268,301,337,262,302,283,47,71
Profit & Loss,Tax %,24%,,,,26%,,,,22%,,,,32%,30%,27%,33%,29%,29%,34%,41%,37%
Profit & Loss,Net Profit,181,,,,384,,,,374,,,,103,189,220,227,186,215,185,28,45
Profit & Loss,EPS in Rs,169.47,,,,359.47,,,,349.77,,,,96.05,167.81,194.97,201.78,170.15,195.92,173.53,25.99,41.75
Profit & Loss,Dividend Payout %,24%,,,,27%,,,,21%,,,,31%,18%,19%,20%,21%,20%,20%,38%,24%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,11,11,11,11,11,11,11,11,11
Balance Sheet,Reserves,1980,,,,2328,,,,2693,,,,2767,1097,1271,1523,1547,1736,1700,1650,1770
Balance Sheet,Borrowings,0,,,,0,,,,0,,,,0,0,0,0,0,3,3,0,0
Balance Sheet,Other Liabilities,1656,,,,1752,,,,1328,,,,1230,960,956,863,808,885,743,686,977
Balance Sheet,Total Liabilities,3646,,,,4090,,,,4031,,,,4008,2068,2237,2397,2367,2635,2457,2346,2758
Balance Sheet,Fixed Assets,721,,,,903,,,,972,,,,990,393,439,464,520,570,699,711,701
Balance Sheet,CWIP,6,,,,24,,,,9,,,,4,36,6,8,6,21,12,30,11
Balance Sheet,Investments,448,,,,508,,,,641,,,,701,64,64,88,61,83,124,136,286
Balance Sheet,Other Assets,2471,,,,2654,,,,2409,,,,2312,1576,1729,1838,1780,1961,1621,1470,1760
Balance Sheet,Total Assets,3646,,,,4090,,,,4031,,,,4008,2068,2237,2397,2367,2635,2457,2346,2758
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,485,,,,364,,,,141,,,,29,151,131,81,137,211,99,74,157
