Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,3883,3744,4146,4322,4430,4814,5039,5197,4961,5600,5673,5768,5667,,,,,,,,
Quarterly Results,Expenses,3615,3512,3693,3790,3852,3958,4121,4159,3964,4359,4332,4412,4346,,,,,,,,
Quarterly Results,Operating Profit,268,232,453,533,578,856,918,1038,997,1241,1340,1356,1321,,,,,,,,
Quarterly Results,OPM %,7%,6%,11%,12%,13%,18%,18%,20%,20%,22%,24%,24%,23%,,,,,,,,
Quarterly Results,Other Income,16,6,15,18,37,23,40,29,29,68,42,54,57,,,,,,,,
Quarterly Results,Interest,41,43,55,84,93,86,81,74,71,68,71,67,89,,,,,,,,
Quarterly Results,Depreciation,327,193,203,220,264,235,248,257,457,248,257,271,393,,,,,,,,
Quarterly Results,Profit before tax,-85,2,210,246,258,559,630,736,498,993,1055,1071,896,,,,,,,,
Quarterly Results,Tax %,502%,3925%,36%,36%,6%,19%,21%,16%,26%,19%,19%,20%,13%,,,,,,,,
Quarterly Results,Net Profit,-512,-87,134,158,242,453,495,619,368,806,859,859,782,,,,,,,,
Quarterly Results,EPS in Rs,-11.40,-1.96,2.85,3.37,5.19,9.94,10.76,13.47,7.89,17.58,18.69,18.74,16.92,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,16405,,,,16642,,,,20011,,,,22708,11286,12770,14256,17367,15797,14665,15375,15163
Profit & Loss,Expenses,16187,,,,14921,,,,16211,,,,17425,8271,9146,10564,12865,12649,12104,13020,12596
Profit & Loss,Operating Profit,219,,,,1721,,,,3800,,,,5283,3015,3624,3691,4502,3148,2561,2355,2567
Profit & Loss,OPM %,1%,,,,10%,,,,19%,,,,23%,27%,28%,26%,26%,20%,17%,15%,17%
Profit & Loss,Other Income,210,,,,151,,,,131,,,,196,105,235,184,106,-1310,91,-134,138
Profit & Loss,Interest,143,,,,274,,,,312,,,,295,27,10,59,153,204,302,363,141
Profit & Loss,Depreciation,1659,,,,881,,,,1197,,,,1169,261,435,487,912,1086,846,970,887
Profit & Loss,Profit before tax,-1372,,,,716,,,,2422,,,,4015,2832,3415,3329,3543,547,1503,887,1676
Profit & Loss,Tax %,10%,,,,38%,,,,20%,,,,18%,34%,28%,32%,28%,53%,59%,130%,27%
Profit & Loss,Net Profit,-1528,,,,448,,,,1936,,,,3306,1870,2444,2270,2565,258,615,-270,1228
Profit & Loss,EPS in Rs,-33.62,,,,9.45,,,,42.01,,,,71.88,40.96,53.47,50.17,56.63,5.56,13.40,-5.95,26.81
Profit & Loss,Dividend Payout %,-12%,,,,42%,,,,19%,,,,17%,15%,14%,15%,13%,90%,37%,-101%,24%
