Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,342,200,286,231,445,211,257,276,421,236,190,111,139,,,,,,,,
Quarterly Results,Expenses,417,201,282,338,595,238,309,273,642,255,392,137,175,,,,,,,,
Quarterly Results,Operating Profit,-75,-1,5,-107,-150,-28,-52,3,-221,-18,-202,-26,-36,,,,,,,,
Quarterly Results,OPM %,-22%,-1%,2%,-46%,-34%,-13%,-20%,1%,-53%,-8%,-106%,-23%,-26%,,,,,,,,
Quarterly Results,Other Income,83,37,12,125,727,20,44,1,237,26,205,67,37,,,,,,,,
Quarterly Results,Interest,-12,8,7,7,25,3,3,8,27,4,3,5,27,,,,,,,,
Quarterly Results,Depreciation,35,38,39,60,662,10,9,12,2,10,12,484,26,,,,,,,,
Quarterly Results,Profit before tax,-15,-10,-29,-49,-109,-21,-20,-17,-13,-7,-12,-447,-52,,,,,,,,
Quarterly Results,Tax %,94%,-92%,3%,1%,-11%,-4%,-5%,-13%,-46%,57%,-55%,-0%,18%,,,,,,,,
Quarterly Results,Net Profit,-29,-1,-30,-50,-97,-20,-19,-14,-7,-10,-5,-446,-61,,,,,,,,
Quarterly Results,EPS in Rs,-3.47,0.65,-3.83,-5.81,-10.48,-2.65,-2.42,-1.69,0.65,-1.30,-0.61,-57.22,-5.27,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,948,,,,1162,,,,1164,,,,677,1618,2038,2599,1576,1035,942,734,909
Profit & Loss,Expenses,1012,,,,1415,,,,1463,,,,959,1260,1383,1654,1212,1010,885,687,945
Profit & Loss,Operating Profit,-63,,,,-253,,,,-299,,,,-282,358,655,945,365,26,57,47,-36
Profit & Loss,OPM %,-7%,,,,-22%,,,,-26%,,,,-42%,22%,32%,36%,23%,2%,6%,6%,-4%
Profit & Loss,Other Income,127,,,,902,,,,301,,,,335,16,147,101,25,48,41,-924,135
Profit & Loss,Interest,31,,,,47,,,,41,,,,39,426,515,748,751,835,279,150,246
Profit & Loss,Depreciation,141,,,,799,,,,32,,,,531,143,198,222,269,249,224,72,129
Profit & Loss,Profit before tax,-108,,,,-197,,,,-71,,,,-518,-195,88,76,-630,-1010,-405,-1099,-276
Profit & Loss,Tax %,17%,,,,-10%,,,,-14%,,,,1%,13%,94%,68%,2%,-4%,-6%,1%,-5%
Profit & Loss,Net Profit,-127,,,,-177,,,,-61,,,,-523,-216,6,25,-644,-966,-381,-1115,-262
Profit & Loss,EPS in Rs,-14.41,,,,-19.47,,,,-6.11,,,,-64.40,-30.33,-0.48,2.78,-98.22,-117.33,-46.60,-144.43,-31.63
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,-0%,-42%,0%,-0%,-0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7,,,,7,,,,7,,,,7,7,7,7,7,7,7,7,7
Balance Sheet,Reserves,-2095,,,,-1927,,,,-1510,,,,-1475,-301,-322,-296,-829,-1775,-2130,-2438,-1892
Balance Sheet,Borrowings,4178,,,,4011,,,,3913,,,,3554,5954,6453,6729,6748,6994,7070,4446,4241
Balance Sheet,Other Liabilities,3413,,,,2019,,,,1802,,,,1526,1687,2067,2013,2303,2665,2758,2951,2978
Balance Sheet,Total Liabilities,5503,,,,4110,,,,4213,,,,3612,7347,8205,8454,8229,7892,7705,4966,5335
Balance Sheet,Fixed Assets,677,,,,53,,,,169,,,,124,4134,5575,5289,4791,4552,4336,1236,749
Balance Sheet,CWIP,550,,,,232,,,,87,,,,87,1975,1623,151,150,150,151,151,613
Balance Sheet,Investments,754,,,,1,,,,1,,,,1,6,13,2,1,1,3,971,754
Balance Sheet,Other Assets,3522,,,,3825,,,,3956,,,,3400,1233,994,3013,3287,3189,3215,2608,3218
Balance Sheet,Total Assets,5503,,,,4110,,,,4213,,,,3612,7347,8205,8454,8229,7892,7705,4966,5335
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,232,,,,-241,,,,-250,,,,85,374,1509,-301,683,571,190,-587,-405
Cash Flows,Cash from Investing Activity,-158,,,,949,,,,467,,,,45,-534,-1366,466,107,-2,3,2843,839
Cash Flows,Cash from Financing Activity,-43,,,,-720,,,,-261,,,,-109,226,-175,-162,-859,-588,-204,-2209,-451
Cash Flows,Net Cash Flow,30,,,,-13,,,,-43,,,,21,66,-32,2,-68,-20,-11,47,-16
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,6,,,,2,,,,11,,,,3,39,26,57,49,11,14,58,2
Ratios,Inventory Days,3,,,,1,,,,1,,,,1,70,54,28,22,54,31,17,6
Ratios,Days Payable,293,,,,162,,,,142,,,,77,150,122,200,190,308,320,280,258
Ratios,Cash Conversion Cycle,-284,,,,-159,,,,-130,,,,-73,-40,-43,-116,-119,-243,-276,-204,-250
Ratios,Working Capital Days,-579,,,,-178,,,,77,,,,121,-133,-260,-82,-403,-957,-737,-781,-403
Ratios,ROCE %,-4%,,,,-8%,,,,-2%,,,,-28%,4%,8%,13%,2%,-3%,-2%,1%,-1%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,59.08%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,40.90%,40.88%,40.89%,40.90%,40.90%,40.89%,40.89%,40.90%,40.92%,40.91%,40.92%,40.93%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,19315,19397,19717,19697,19704,19395,19688,19714,19615,20606,20510,20643,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,59.08%,,,,59.08%,,,,59.08%,,,,59.08%,,,,58.86%,58.86%,58.89%,58.96%,58.96%
Shareholding Pattern (Yearly),FIIs,0.03%,,,,0.03%,,,,0.03%,,,,0.00%,,,,0.00%,0.03%,0.03%,0.03%,0.03%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,8.68%,0.17%,0.00%,0.01%,0.00%
Shareholding Pattern (Yearly),Public,40.90%,,,,40.90%,,,,40.90%,,,,40.93%,,,,32.46%,40.94%,41.08%,41.00%,41.01%
Shareholding Pattern (Yearly),No. of Shareholders,19424,,,,19697,,,,19714,,,,20643,,,,14749,19139,18354,17629,16653
,,,,,,,,,,,,,,,,,,,,,,
