Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1082,1371,1656,2470,2087,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,1027,1302,1575,2372,1993,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,55,68,81,98,94,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,5%,5%,5%,4%,4%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,2,5,9,-1,31,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,7,16,15,37,24,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,11,15,16,17,19,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,39,42,58,43,82,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,35%,35%,31%,35%,34%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,25,27,40,28,54,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,2.32,3.41,2.35,4.52,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,28%,26%,18%,30%,22%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,119,119,119,119,119,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,212,229,254,270,308,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,214,228,380,398,101,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,242,265,332,339,363,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,787,841,1085,1126,890,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,294,301,309,322,360,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,5,6,16,17,28,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,487,534,761,788,502,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,787,841,1085,1126,890,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-43,48,-51,6,392,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-64,-26,-37,-33,-74,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,106,-9,132,-17,-327,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-1,12,44,-44,-8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,4,10,4,1,3,,,,,,,,,,,,,,,,,,
