Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,614,510,465,658,598,490,1018,833,811,749,806,732,1218,,,,,,,,,
Quarterly Results,Expenses,573,488,450,599,557,444,948,768,752,711,742,653,1097,,,,,,,,,
Quarterly Results,Operating Profit,41,22,15,59,41,47,70,65,58,38,64,79,121,,,,,,,,,
Quarterly Results,OPM %,7%,4%,3%,9%,7%,10%,7%,8%,7%,5%,8%,11%,10%,,,,,,,,,
Quarterly Results,Other Income,16,12,2,14,11,4,21,14,14,20,11,6,15,,,,,,,,,
Quarterly Results,Interest,10,9,9,12,6,21,22,20,25,18,21,26,35,,,,,,,,,
Quarterly Results,Depreciation,12,12,11,11,11,15,15,16,15,13,11,11,11,,,,,,,,,
Quarterly Results,Profit before tax,35,14,-3,49,34,14,54,43,32,28,43,47,91,,,,,,,,,
Quarterly Results,Tax %,25%,29%,63%,25%,12%,22%,28%,29%,26%,31%,26%,27%,25%,,,,,,,,,
Quarterly Results,Net Profit,27,10,-5,37,30,11,39,31,24,19,32,34,68,,,,,,,,,
Quarterly Results,EPS in Rs,4.48,1.64,-0.85,6.19,4.96,1.87,6.50,5.09,3.73,2.94,4.92,5.27,10.53,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2139,,,,2231,,,,3142,,,,3505,1005,1364,1392,1060,1608,2222,1759,2080,
Profit & Loss,Expenses,1958,,,,2094,,,,2901,,,,3204,950,1250,1272,1012,1483,2044,1591,1875,
Profit & Loss,Operating Profit,181,,,,137,,,,241,,,,301,55,114,120,48,125,178,168,205,
Profit & Loss,OPM %,8%,,,,6%,,,,8%,,,,9%,5%,8%,9%,5%,8%,8%,10%,10%,
Profit & Loss,Other Income,37,,,,39,,,,52,,,,52,31,35,67,72,53,21,14,31,
Profit & Loss,Interest,37,,,,41,,,,88,,,,100,42,46,56,36,43,64,64,53,
Profit & Loss,Depreciation,45,,,,46,,,,61,,,,45,32,43,37,40,39,46,52,46,
Profit & Loss,Profit before tax,135,,,,89,,,,144,,,,208,12,60,93,44,95,88,65,137,
Profit & Loss,Tax %,25%,,,,25%,,,,27%,,,,26%,27%,17%,7%,24%,33%,33%,15%,26%,
Profit & Loss,Net Profit,102,,,,67,,,,105,,,,153,9,50,86,34,64,59,56,101,
Profit & Loss,EPS in Rs,17.16,,,,11.15,,,,16.24,,,,23.66,1.58,8.82,15.14,5.88,11.15,10.30,9.72,17.66,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,12%,,,,0%,63%,17%,10%,26%,13%,15%,10%,11%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,30,,,,30,,,,32,,,,32,29,29,29,29,29,29,29,29,
Balance Sheet,Reserves,913,,,,1102,,,,1372,,,,1575,632,454,538,570,624,673,718,806,
Balance Sheet,Borrowings,57,,,,301,,,,326,,,,476,438,495,353,447,368,244,294,296,
Balance Sheet,Other Liabilities,821,,,,427,,,,684,,,,1696,474,522,323,311,678,648,787,655,
Balance Sheet,Total Liabilities,1820,,,,1860,,,,2415,,,,3779,1573,1499,1243,1356,1698,1594,1827,1786,
Balance Sheet,Fixed Assets,318,,,,553,,,,605,,,,643,405,416,349,346,355,396,368,337,
Balance Sheet,CWIP,20,,,,14,,,,31,,,,133,2,3,19,5,63,3,4,1,
Balance Sheet,Investments,102,,,,0,,,,228,,,,26,20,3,104,104,103,102,102,103,
Balance Sheet,Other Assets,1379,,,,1293,,,,1552,,,,2977,1147,1077,771,902,1176,1093,1353,1345,
Balance Sheet,Total Assets,1820,,,,1860,,,,2415,,,,3779,1573,1499,1243,1356,1698,1594,1827,1786,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,451,,,,-120,,,,257,,,,68,247,64,205,-75,132,137,214,-60,
Cash Flows,Cash from Investing Activity,-119,,,,-135,,,,-264,,,,-41,-29,-61,2,21,-105,0,-46,4,
Cash Flows,Cash from Financing Activity,-267,,,,211,,,,158,,,,30,-208,-35,-188,41,-115,-138,-37,-63,
Cash Flows,Net Cash Flow,65,,,,-45,,,,152,,,,56,10,-31,19,-13,-88,-1,131,-119,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,93,,,,81,,,,41,,,,93,109,130,70,117,87,91,93,115,
Ratios,Inventory Days,73,,,,84,,,,98,,,,169,52,92,44,49,126,47,110,85,
Ratios,Days Payable,174,,,,70,,,,76,,,,160,162,135,75,94,174,121,162,133,
Ratios,Cash Conversion Cycle,-8,,,,95,,,,63,,,,102,-1,87,39,71,39,17,41,67,
Ratios,Working Capital Days,32,,,,96,,,,53,,,,74,167,94,54,124,64,42,34,84,
Ratios,ROCE %,16%,,,,10%,,,,14%,,,,16%,5%,10%,16%,8%,14%,16%,13%,17%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,45.68%,45.68%,45.68%,45.68%,49.61%,49.61%,46.15%,46.12%,46.15%,46.15%,46.20%,,,,,,,,,48.21%
Shareholding Pattern (Quarterly),FIIs,,,1.83%,1.65%,1.60%,2.22%,1.61%,2.14%,1.64%,1.84%,2.52%,2.16%,3.33%,,,,,,,,,2.58%
Shareholding Pattern (Quarterly),DIIs,,,0.19%,0.19%,0.23%,0.04%,0.04%,0.64%,3.31%,3.31%,3.27%,2.64%,1.03%,,,,,,,,,1.03%
Shareholding Pattern (Quarterly),Public,,,52.28%,52.47%,52.48%,52.05%,48.72%,47.60%,48.90%,48.72%,48.05%,49.05%,49.43%,,,,,,,,,48.18%
Shareholding Pattern (Quarterly),No. of Shareholders,,,39466,38740,37549,31539,34330,35193,44206,46295,53582,56984,56405,,,,,,,,,59431
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,44.70%,,,,45.68%,,,,46.15%,,,,46.20%,,,,49.17%,44.16%,41.92%,42.26%,42.62%,48.21%
Shareholding Pattern (Yearly),FIIs,1.84%,,,,1.60%,,,,1.64%,,,,3.33%,,,,5.69%,3.58%,4.58%,5.36%,5.54%,2.58%
Shareholding Pattern (Yearly),DIIs,0.19%,,,,0.23%,,,,3.31%,,,,1.03%,,,,0.66%,0.31%,0.28%,0.49%,0.21%,1.03%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,53.27%,,,,52.48%,,,,48.90%,,,,49.43%,,,,44.48%,51.25%,53.21%,51.88%,51.63%,48.18%
Shareholding Pattern (Yearly),No. of Shareholders,40643,,,,37549,,,,44206,,,,56405,,,,30369,27485,26895,25771,35402,59431
,,,,,,,,,,,,,,,,,,,,,,,
